"time","country","type","value"
2010,"USA","Gas Usage (Quads)",6.6166840114749
2010,"USA","Coal Usage (Quads)",20.205159273507
2010,"USA","Coal Price",2.46021714619959
2010,"USA","Gas Price",5.41831979617875
2012,"USA","Gas Usage (Quads)",8.4009068136201
2012,"USA","Coal Usage (Quads)",15.4838567479107
2012,"USA","Coal Price",2.42787909657722
2012,"USA","Gas Price",3.6694605246158
2014,"USA","Gas Usage (Quads)",8.02049910780833
2014,"USA","Coal Usage (Quads)",16.5233410446155
2014,"USA","Coal Price",2.35360853432611
2014,"USA","Gas Price",5.20769939628198
2016,"USA","Gas Usage (Quads)",10.5188004185347
2016,"USA","Coal Usage (Quads)",11.5370939889559
2016,"USA","Coal Price",2.09816504390553
2016,"USA","Gas Price",3.937831490514
2018,"USA","Gas Usage (Quads)",8.69231777003835
2018,"USA","Coal Usage (Quads)",13.1682663465455
2018,"USA","Coal Price",2.19344442857188
2018,"USA","Gas Price",4.28796782985087
2020,"USA","Gas Usage (Quads)",7.14985249843448
2020,"USA","Coal Usage (Quads)",13.9742438369698
2020,"USA","Coal Price",2.28065611310042
2020,"USA","Gas Price",4.62970493075011
2022,"USA","Gas Usage (Quads)",7.14336687835209
2022,"USA","Coal Usage (Quads)",14.3523756909235
2022,"USA","Coal Price",2.27805876837879
2022,"USA","Gas Price",4.69240111952105
2024,"USA","Gas Usage (Quads)",7.49955462514442
2024,"USA","Coal Usage (Quads)",14.1337650029734
2024,"USA","Coal Price",2.28871851259394
2024,"USA","Gas Price",5.07530009539212
2026,"USA","Gas Usage (Quads)",8.84727074970572
2026,"USA","Coal Usage (Quads)",12.1241714488105
2026,"USA","Coal Price",2.28070573275991
2026,"USA","Gas Price",5.38311862287526
2028,"USA","Gas Usage (Quads)",9.31563052322436
2028,"USA","Coal Usage (Quads)",10.6571911905744
2028,"USA","Coal Price",2.27112958020248
2028,"USA","Gas Price",5.36921607063292
2030,"USA","Gas Usage (Quads)",9.53012842195989
2030,"USA","Coal Usage (Quads)",9.3289152436219
2030,"USA","Coal Price",2.25613885323828
2030,"USA","Gas Price",5.37999129032291
2032,"USA","Gas Usage (Quads)",9.95001351904605
2032,"USA","Coal Usage (Quads)",8.06093984872935
2032,"USA","Coal Price",2.25442973961021
2032,"USA","Gas Price",5.40539309802774
2034,"USA","Gas Usage (Quads)",10.6528098258852
2034,"USA","Coal Usage (Quads)",6.63741266632107
2034,"USA","Coal Price",2.26404381255501
2034,"USA","Gas Price",5.47109358912396
2036,"USA","Gas Usage (Quads)",11.1275454435099
2036,"USA","Coal Usage (Quads)",5.34156769647352
2036,"USA","Coal Price",2.27506209213414
2036,"USA","Gas Price",5.52782954868024
2038,"USA","Gas Usage (Quads)",11.7618011123833
2038,"USA","Coal Usage (Quads)",3.9557466669385
2038,"USA","Coal Price",2.29490179577023
2038,"USA","Gas Price",5.57774171164295
2040,"USA","Gas Usage (Quads)",12.0750648913479
2040,"USA","Coal Usage (Quads)",2.75123768964442
2040,"USA","Coal Price",2.31498221367529
2040,"USA","Gas Price",5.59636223643276
2042,"USA","Gas Usage (Quads)",12.2030615488929
2042,"USA","Coal Usage (Quads)",1.65342437465277
2042,"USA","Coal Price",2.33556732528502
2042,"USA","Gas Price",5.6616069689717
2044,"USA","Gas Usage (Quads)",12.0401959093675
2044,"USA","Coal Usage (Quads)",0.711366710164136
2044,"USA","Coal Price",2.33836505570935
2044,"USA","Gas Price",5.65142449360298
2046,"USA","Gas Usage (Quads)",11.3865008557442
2046,"USA","Coal Usage (Quads)",0.0752483687577952
2046,"USA","Coal Price",2.49773340975087
2046,"USA","Gas Price",5.50676789582345
2048,"USA","Gas Usage (Quads)",9.8480620269602
2048,"USA","Coal Usage (Quads)",0.0332435458466012
2048,"USA","Coal Price",2.858502616668
2048,"USA","Gas Price",5.15160046441663
2050,"USA","Gas Usage (Quads)",8.94687835757006
2050,"USA","Coal Usage (Quads)",0.0332435458466012
2050,"USA","Coal Price",2.858502616668
2050,"USA","Gas Price",4.95795680087039
