"time","type","value"
2010,"consumption",1529.56801666901
2010,"withdrawal",45926.7511715462
2012,"consumption",1383.65411659653
2012,"withdrawal",37960.0759729628
2014,"consumption",1407.60499832158
2014,"withdrawal",38836.7388313202
2016,"consumption",1251.77073911295
2016,"withdrawal",31061.4870625093
2018,"consumption",1294.01650749551
2018,"withdrawal",31909.48943568
2020,"consumption",1289.99709762685
2020,"withdrawal",32666.3154470395
2022,"consumption",1313.84609724908
2022,"withdrawal",32731.7391637003
2024,"consumption",1326.02902027827
2024,"withdrawal",33115.8261165839
2026,"consumption",1290.11957855495
2026,"withdrawal",32286.3860280492
2028,"consumption",1257.55366794938
2028,"withdrawal",31451.7113878966
2030,"consumption",1243.53477273687
2030,"withdrawal",29972.1362946861
2032,"consumption",1233.65849833342
2032,"withdrawal",28858.66460622
2034,"consumption",1242.95612502604
2034,"withdrawal",27808.580121095
2036,"consumption",1248.61679695529
2036,"withdrawal",27021.5654417934
2038,"consumption",1247.19591404862
2038,"withdrawal",26772.0944340237
2040,"consumption",1248.81325737319
2040,"withdrawal",26259.1018335048
2042,"consumption",1251.94077774454
2042,"withdrawal",25563.8632855136
2044,"consumption",1256.58286484114
2044,"withdrawal",24694.2052082502
2046,"consumption",1254.89719654799
2046,"withdrawal",22916.8740668563
2048,"consumption",1217.99286144237
2048,"withdrawal",21096.5265683805
2050,"consumption",1168.03571149623
2050,"withdrawal",19455.4345791606
