"time","type","value"
2010,"price",106.16244689134
2012,"price",105.729863546952
2014,"price",110.758636722801
2016,"price",108.738764975535
2018,"price",107.944562425762
2020,"price",107.382292998736
2022,"price",107.053514336156
2024,"price",112.388785114304
2026,"price",115.758430107533
2028,"price",117.08632250495
2030,"price",118.704939663019
2032,"price",118.700229803102
2034,"price",119.085966182611
2036,"price",121.071044878909
2038,"price",122.550385448163
2040,"price",122.806877721471
2042,"price",123.458950466342
2044,"price",125.166764469401
2046,"price",127.968730627611
2048,"price",130.09706563122
2050,"price",130.664182267646
2010,"comp_p",106.16244689134
2012,"comp_p",94.0405760411031
2014,"comp_p",106.820620694865
2016,"comp_p",95.3746983136244
2018,"comp_p",97.4738988921517
2020,"comp_p",102.638095006377
2022,"comp_p",104.056047851106
2024,"comp_p",118.97139876917
2026,"comp_p",129.074634101224
2028,"comp_p",135.430230286547
2030,"comp_p",136.339078482619
2032,"comp_p",135.097541805336
2034,"comp_p",137.387482269722
2036,"comp_p",139.075366055094
2038,"comp_p",141.429943640676
2040,"comp_p",141.641505628737
2042,"comp_p",142.76938016022
2044,"comp_p",144.054057817257
2046,"comp_p",147.129987366053
2048,"comp_p",149.742708152175
2050,"comp_p",150.674271460976
