"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,31.3481631744
"AL","Nuclear",2036,22.6233881856
"AL","Nuclear",2038,6.980136192
"AL","Nuclear",2040,6.980136192
"AL","Nuclear",2042,0
"AL","Nuclear",2044,0
"AL","Nuclear",2046,0
"AL","Nuclear",2048,0
"AL","Nuclear",2050,0
"AL","Coal",2010,26.833842930161
"AL","Coal",2012,2.52893734561648
"AL","Coal",2014,6.58214915668198
"AL","Coal",2016,3.9590544
"AL","Coal",2018,8.42918522028361
"AL","Coal",2020,19.3411198240325
"AL","Coal",2022,23.4145640820288
"AL","Coal",2024,16.6826459392792
"AL","Coal",2026,14.7500494908886
"AL","Coal",2028,14.0563597763048
"AL","Coal",2030,10.271999233008
"AL","Coal",2032,5.03139160481319
"AL","Coal",2034,3.73418580263736
"AL","Coal",2036,3.74881969991209
"AL","Coal",2038,3.16221988626374
"AL","Coal",2040,1.75837241351648
"AL","Coal",2042,1.21858109604396
"AL","Coal",2044,0.808558531516483
"AL","Coal",2046,0.93561216952381
"AL","Coal",2048,0
"AL","Coal",2050,0
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,62.9613496011093
"AL","NG-CC",2012,73.2394887238269
"AL","NG-CC",2014,71.1541746425243
"AL","NG-CC",2016,73.2363300103269
"AL","NG-CC",2018,62.8599547236545
"AL","NG-CC",2020,49.7041114726594
"AL","NG-CC",2022,48.0881716985319
"AL","NG-CC",2024,48.7395719550314
"AL","NG-CC",2026,42.3343154705609
"AL","NG-CC",2028,35.3665378094379
"AL","NG-CC",2030,38.4122777595872
"AL","NG-CC",2032,61.8222942407969
"AL","NG-CC",2034,73.4277440326573
"AL","NG-CC",2036,80.7631997480975
"AL","NG-CC",2038,91.897693520495
"AL","NG-CC",2040,99.3270424541288
"AL","NG-CC",2042,98.951573506746
"AL","NG-CC",2044,101.076430440624
"AL","NG-CC",2046,103.735523559894
"AL","NG-CC",2048,110.360604642712
"AL","NG-CC",2050,115.470796678872
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.157198737236046
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.157615300633228
"AL","NG-CT",2018,0.127774793482129
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.15674130749265
"AL","NG-CT",2024,0.101258005477945
"AL","NG-CT",2026,0.156577937236046
"AL","NG-CT",2028,0.142485777236046
"AL","NG-CT",2030,0.0963218048225278
"AL","NG-CT",2032,0.0879046412551332
"AL","NG-CT",2034,0.109516667446415
"AL","NG-CT",2036,0.0743808016917317
"AL","NG-CT",2038,0
"AL","NG-CT",2040,0
"AL","NG-CT",2042,0.00278765187750435
"AL","NG-CT",2044,0.0102663377226199
"AL","NG-CT",2046,0.0214759415996448
"AL","NG-CT",2048,0.0214759415996448
"AL","NG-CT",2050,0.0214759415996448
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.37612668616747
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.47163036084043
"AL","Hydro",2026,8.54537385419249
"AL","Hydro",2028,8.61442601099456
"AL","Hydro",2030,8.61442601099456
"AL","Hydro",2032,8.61442601099456
"AL","Hydro",2034,8.61442601099456
"AL","Hydro",2036,8.61442601099456
"AL","Hydro",2038,8.61442601099456
"AL","Hydro",2040,8.61442601099456
"AL","Hydro",2042,8.61442601099456
"AL","Hydro",2044,8.61442601099455
"AL","Hydro",2046,8.61442601099455
"AL","Hydro",2048,8.61442601099455
"AL","Hydro",2050,8.61442601099456
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,2.172456782496
"AL","Biopower",2014,1.737749841696
"AL","Biopower",2016,1.737749841696
"AL","Biopower",2018,1.737749841696
