"time","tech","value"
2010,"Nuclear",0.19993393773262
2010,"Coal",0.475597561985469
2010,"Oil-Gas-Steam",0.00448847701317203
2010,"NG-CC",0.203327809257282
2010,"NG-CT",0.00156052424664414
2010,"Hydro",0.0668271972869399
2010,"Imports",0.00644011368991723
2010,"Geothermal",0.00467738999430056
2010,"Biopower",0.00974928208114387
2010,"Land-based Wind",0.0261581590532007
2010,"CSP",0.000311563871740868
2010,"Utility PV",0.000432056408166559
2010,"Rooftop PV",0.000495927379402517
2012,"Nuclear",0.204503895446012
2012,"Coal",0.375528296286033
2012,"Oil-Gas-Steam",0.00252044703845944
2012,"NG-CC",0.270267899826772
2012,"NG-CT",0.00153932429397209
2012,"Hydro",0.0757648474405946
2012,"Imports",0.0119601414566214
2012,"Geothermal",0.00502965826092129
2012,"Biopower",0.00992155824299591
2012,"Land-based Wind",0.0389734652200528
2012,"CSP",0.000355365200847129
2012,"Utility PV",0.00200720389693295
2012,"Rooftop PV",0.00162789738978534
2014,"Nuclear",0.194871838515359
2014,"Coal",0.395892072842253
2014,"Oil-Gas-Steam",0.00253310199442855
2014,"NG-CC",0.256404293778266
2014,"NG-CT",0.00132641728923392
2014,"Hydro",0.0664579701381792
2014,"Imports",0.0116218928950881
2014,"Geothermal",0.00511740456639462
2014,"Biopower",0.0108356920903526
2014,"Land-based Wind",0.0452486250094302
2014,"CSP",0.00117930050474252
2014,"Utility PV",0.00556356081592994
2014,"Rooftop PV",0.00294782956034189
2016,"Nuclear",0.19804960806936
2016,"Coal",0.280846105205852
2016,"Oil-Gas-Steam",0.0019005287592771
2016,"NG-CC",0.339107055088703
2016,"NG-CT",0.00143887868683096
2016,"Hydro",0.0697796628922593
2016,"Imports",0.0122161552169722
2016,"Geothermal",0.00553977651993061
2016,"Biopower",0.0108488035430955
2016,"Land-based Wind",0.0635360731542411
2016,"CSP",0.00128957715823197
2016,"Utility PV",0.0103649778508439
2016,"Rooftop PV",0.00508279785440214
2018,"Nuclear",0.1926042375592
2018,"Coal",0.313536363012631
2018,"Oil-Gas-Steam",0.0017069882404548
2018,"NG-CC",0.279681038237443
2018,"NG-CT",0.00137149198670153
2018,"Hydro",0.0696522401647825
2018,"Imports",0.00940023853156018
2018,"Geothermal",0.00710154195925447
2018,"Biopower",0.0106914384649812
2018,"Land-based Wind",0.0939455850610541
2018,"CSP",0.00126931339070684
2018,"Utility PV",0.011069972246065
2018,"Rooftop PV",0.00796955114516467
2020,"Nuclear",0.187009705883002
2020,"Coal",0.32866805494059
2020,"Oil-Gas-Steam",0.000878326145606619
2020,"NG-CC",0.227587046567966
2020,"NG-CT",0.0014106616816006
2020,"Hydro",0.0686254046135636
2020,"Imports",0.00906786937522486
2020,"Geothermal",0.0106643668719626
2020,"Biopower",0.0107424333657868
2020,"Land-based Wind",0.128572871797274
2020,"CSP",0.00124991655396921
2020,"Utility PV",0.0137107185993844
2020,"Rooftop PV",0.0118126236040685
2022,"Nuclear",0.184089641597977
2022,"Coal",0.333071771633697
2022,"Oil-Gas-Steam",0.000420527630720707
2022,"NG-CC",0.224809632800615
2022,"NG-CT",0.00142872615816684
2022,"Hydro",0.0677884964355049
2022,"Imports",0.00966053016490964
2022,"Geothermal",0.0104978476777996
2022,"Biopower",0.0107742883234439
2022,"Land-based Wind",0.125845764287093
2022,"CSP",0.00122970471713159
2022,"Utility PV",0.0159269045744304
2022,"Rooftop PV",0.0144561639985102
2024,"Nuclear",0.180296677320806
2024,"Coal",0.323744429793304
2024,"Oil-Gas-Steam",0.000215546566748567
2024,"NG-CC",0.23162892892198
2024,"NG-CT",0.00149978250198143
2024,"Hydro",0.0666866218278254
2024,"Imports",0.0100843809944392
2024,"Geothermal",0.012153289599062
2024,"Biopower",0.0107323253775434
2024,"Land-based Wind",0.123322000561396
2024,"CSP",0.00120447943418086
2024,"Utility PV",0.0213036497397376
2024,"Rooftop PV",0.0171278873609956
2026,"Nuclear",0.177269022998619
2026,"Coal",0.294813956105932
2026,"Oil-Gas-Steam",0.000489924819380589
2026,"NG-CC",0.254369814613645
2026,"NG-CT",0.00172731315671322
2026,"Hydro",0.0663078510214199
2026,"Imports",0.0114975855229246
2026,"Geothermal",0.0124290490725489
2026,"Biopower",0.0106425885047324
2026,"Land-based Wind",0.121015268313825
2026,"CSP",0.00118349770980134
2026,"Utility PV",0.0277258908533907
2026,"Rooftop PV",0.0205282373070674
2028,"Nuclear",0.174414437176016
2028,"Coal",0.272032617169397
2028,"Oil-Gas-Steam",0
2028,"NG-CC",0.26702609873152
2028,"NG-CT",0.00164024194895239
2028,"Hydro",0.0654108990213171
2028,"Imports",0.0113503546792311
2028,"Geothermal",0.0124440384830493
2028,"Biopower",0.0104889158015167
2028,"Land-based Wind",0.122431759508604
2028,"CSP",0.00116453079305056
2028,"Utility PV",0.0373971810982984
2028,"Rooftop PV",0.0241989255890467
2030,"Nuclear",0.168073765860642
2030,"Coal",0.247861996431534
2030,"Oil-Gas-Steam",0
2030,"NG-CC",0.285581066134287
2030,"NG-CT",0.00130868332427179
2030,"Hydro",0.064501460892428
2030,"Imports",0.0112025519558529
2030,"Geothermal",0.0132508398343671
2030,"Biopower",0.0103230819362306
2030,"Land-based Wind",0.124763654380655
2030,"CSP",0.00113640353475434
2030,"Utility PV",0.0439505891890963
2030,"Rooftop PV",0.0280459065258811
2032,"Nuclear",0.156099002603899
2032,"Coal",0.229718365634896
2032,"Oil-Gas-Steam",0
2032,"NG-CC",0.30638617028252
2032,"NG-CT",0.0011527910494611
2032,"Hydro",0.0634539944869275
2032,"Imports",0.0110587390449735
2032,"Geothermal",0.0130791029299975
2032,"Biopower",0.0101409271311902
2032,"Land-based Wind",0.128388126357892
2032,"CSP",0.00111470620237065
2032,"Utility PV",0.0480270787946194
2032,"Rooftop PV",0.0313809954812531
2034,"Nuclear",0.131481642663227
2034,"Coal",0.214311694277573
2034,"Oil-Gas-Steam",0
2034,"NG-CC",0.329047692771281
2034,"NG-CT",0.00105896584271545
2034,"Hydro",0.0621277772004933
