"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,31.3481631744
"AL","Nuclear",2036,22.6233881856
"AL","Nuclear",2038,6.980136192
"AL","Nuclear",2040,6.980136192
"AL","Nuclear",2042,0
"AL","Nuclear",2044,0
"AL","Nuclear",2046,0
"AL","Nuclear",2048,0
"AL","Nuclear",2050,0
"AL","Coal",2010,26.8342535765289
"AL","Coal",2012,2.61021787118597
"AL","Coal",2014,6.82469958631187
"AL","Coal",2016,4.03377445544401
"AL","Coal",2018,6.85461698906803
"AL","Coal",2020,15.7184254003507
"AL","Coal",2022,17.0001324837095
"AL","Coal",2024,20.8755169922041
"AL","Coal",2026,15.3852109519943
"AL","Coal",2028,13.7525612289655
"AL","Coal",2030,12.3157866960518
"AL","Coal",2032,6.45222002031172
"AL","Coal",2034,4.19015160263736
"AL","Coal",2036,3.45243396263736
"AL","Coal",2038,2.97581959582418
"AL","Coal",2040,2.25492074643326
"AL","Coal",2042,1.56267105032967
"AL","Coal",2044,0.823699663120879
"AL","Coal",2046,1.23492884883516
"AL","Coal",2048,0
"AL","Coal",2050,0
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,62.9606843873389
"AL","NG-CC",2012,73.2394905771069
"AL","NG-CC",2014,71.1494641060277
"AL","NG-CC",2016,73.236513359844
"AL","NG-CC",2018,63.763944302105
"AL","NG-CC",2020,49.9313016826696
"AL","NG-CC",2022,47.3272576073543
"AL","NG-CC",2024,43.5496414764645
"AL","NG-CC",2026,48.3125996315049
"AL","NG-CC",2028,41.5231203879539
"AL","NG-CC",2030,18.6176311763409
"AL","NG-CC",2032,38.0668151589562
"AL","NG-CC",2034,55.5903421637056
"AL","NG-CC",2036,69.6117343650311
"AL","NG-CC",2038,80.1309699066646
"AL","NG-CC",2040,82.3919533661014
"AL","NG-CC",2042,89.970102640344
"AL","NG-CC",2044,95.3549004865932
"AL","NG-CC",2046,95.4911754243973
"AL","NG-CC",2048,96.8770717353453
"AL","NG-CC",2050,97.9774720419094
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.157198737236046
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.157615300633228
"AL","NG-CT",2018,0.112718417236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.09860632
"AL","NG-CT",2026,0.247879916518182
"AL","NG-CT",2028,0.117765204291631
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.0920128778103456
"AL","NG-CT",2034,0.0933264037600858
"AL","NG-CT",2036,0.0898562582307172
"AL","NG-CT",2038,0.0613335812749463
"AL","NG-CT",2040,0
"AL","NG-CT",2042,0
"AL","NG-CT",2044,0
"AL","NG-CT",2046,0
"AL","NG-CT",2048,0
"AL","NG-CT",2050,0
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.37612668616747
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.47163036084043
"AL","Hydro",2028,8.55867108612406
"AL","Hydro",2030,8.55867108612406
"AL","Hydro",2032,8.55867108612406
"AL","Hydro",2034,8.5872796564681
"AL","Hydro",2036,8.61442601099456
"AL","Hydro",2038,8.61442601099456
"AL","Hydro",2040,8.61442601099456
"AL","Hydro",2042,8.61442601099456
"AL","Hydro",2044,8.61442601099456
"AL","Hydro",2046,8.61442601099456
"AL","Hydro",2048,8.61442601099456
"AL","Hydro",2050,8.61442601099456
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,2.172456782496
"AL","Biopower",2014,1.737749841696
"AL","Biopower",2016,1.737749841696
"AL","Biopower",2018,1.737749841696
"AL","Biopower",2020,1.737749841696
