"time","tech","value"
2010,"Nuclear",0.199042530626228
2010,"Coal",0.473837855976268
2010,"Oil-Gas-Steam",0.00419892716121301
2010,"NG-CC",0.206808935392423
2010,"NG-CT",0.00153431341716288
2010,"Hydro",0.0665292476779969
2010,"Imports",0.00641140039004293
2010,"Geothermal",0.00465653581252646
2010,"Biopower",0.00970469973442778
2010,"Land-based Wind",0.0260415326858385
2010,"CSP",0.000310174761655234
2010,"Utility PV",0.000430130081115886
2010,"Rooftop PV",0.000493716283101073
2012,"Nuclear",0.203587300894234
2012,"Coal",0.374253289182897
2012,"Oil-Gas-Steam",0.00246647300099707
2012,"NG-CC",0.273192470188966
2012,"NG-CT",0.00151523913159246
2012,"Hydro",0.0754252663962879
2012,"Imports",0.0119065356293401
2012,"Geothermal",0.00500735208604907
2012,"Biopower",0.00987693981553568
2012,"Land-based Wind",0.0387965040694912
2012,"CSP",0.000353778117807218
2012,"Utility PV",0.00199825045216252
2012,"Rooftop PV",0.00162060103463979
2014,"Nuclear",0.194293503213939
2014,"Coal",0.394611331310936
2014,"Oil-Gas-Steam",0.00270923174057149
2014,"NG-CC",0.258473604431129
2014,"NG-CT",0.0013193440828693
2014,"Hydro",0.0662607379958416
2014,"Imports",0.0115874017598796
2014,"Geothermal",0.00510225732184293
2014,"Biopower",0.0108714627305895
2014,"Land-based Wind",0.0451093855765951
2014,"CSP",0.00117580263058119
2014,"Utility PV",0.00554684979252476
2014,"Rooftop PV",0.00293908741270059
2016,"Nuclear",0.197895041086573
2016,"Coal",0.280832596661417
2016,"Oil-Gas-Steam",0.00199842612202429
2016,"NG-CC",0.339268838411445
2016,"NG-CT",0.00143010260065631
2016,"Hydro",0.0696089825693431
2016,"Imports",0.0122066211700657
2016,"Geothermal",0.00553545302466926
2016,"Biopower",0.010847200697656
2016,"Land-based Wind",0.0636559205519788
2016,"CSP",0.00128857724858467
2016,"Utility PV",0.0103533068917756
2016,"Rooftop PV",0.00507893296381117
2018,"Nuclear",0.192716249786915
2018,"Coal",0.309562184164645
2018,"Oil-Gas-Steam",0.00189748811262333
2018,"NG-CC",0.28463827045369
2018,"NG-CT",0.00142561277736948
2018,"Hydro",0.0695913003701209
2018,"Imports",0.00940570539808562
2018,"Geothermal",0.00710567198019869
2018,"Biopower",0.0106898282964233
2018,"Land-based Wind",0.092542685314693
2018,"CSP",0.00126827504296912
2018,"Utility PV",0.0111821144706935
2018,"Rooftop PV",0.00797461383157378
2020,"Nuclear",0.187056980183769
2020,"Coal",0.328697453626721
2020,"Oil-Gas-Steam",0.00089569778520676
2020,"NG-CC",0.232539769318903
2020,"NG-CT",0.00147462713462797
2020,"Hydro",0.0685125430084712
2020,"Imports",0.00907016164760788
2020,"Geothermal",0.0106670627239485
2020,"Biopower",0.010745076481697
2020,"Land-based Wind",0.121887690490096
2020,"CSP",0.00124851305523636
2020,"Utility PV",0.0153944429025302
2020,"Rooftop PV",0.0118099816411851
2022,"Nuclear",0.184419802082828
2022,"Coal",0.331480568044851
2022,"Oil-Gas-Steam",0.000630177019327198
2022,"NG-CC",0.229939893549169
2022,"NG-CT",0.00139765146876446
2022,"Hydro",0.0680778133925656
2022,"Imports",0.00967785610077155
2022,"Geothermal",0.0116073522670092
2022,"Biopower",0.0107778430448387
2022,"Land-based Wind",0.119423981549002
2022,"CSP",0.00123036540385435
2022,"Utility PV",0.0168615902282314
2022,"Rooftop PV",0.0144751058487871
2024,"Nuclear",0.181296287367544
2024,"Coal",0.324964753548761
2024,"Oil-Gas-Steam",0.000465847380837328
2024,"NG-CC",0.234647842230753
2024,"NG-CT",0.00152747330012703
2024,"Hydro",0.0671212441504516
2024,"Imports",0.0101402913345906
2024,"Geothermal",0.0114176473297674
2024,"Biopower",0.0107921780266236
2024,"Land-based Wind",0.117165947635088
2024,"CSP",0.0012091832315649
2024,"Utility PV",0.0220435462472008
2024,"Rooftop PV",0.0172077582166905
2026,"Nuclear",0.178712220218317
2026,"Coal",0.297083744122728
2026,"Oil-Gas-Steam",6.59171435312204e-05
2026,"NG-CC",0.25868508888131
2026,"NG-CT",0.00159018961060185
2026,"Hydro",0.0665016253510129
2026,"Imports",0.011591190616354
2026,"Geothermal",0.0114753485530253
2026,"Biopower",0.0106518499431975
2026,"Land-based Wind",0.114853496060173
2026,"CSP",0.00119152099471165
2026,"Utility PV",0.0269012174275471
2026,"Rooftop PV",0.0206965910774902
2028,"Nuclear",0.1763894558475
2028,"Coal",0.272477361712507
2028,"Oil-Gas-Steam",1.20440519750551e-05
2028,"NG-CC",0.275890053012778
2028,"NG-CT",0.00166418359473955
2028,"Hydro",0.0658678293251267
2028,"Imports",0.0114788828147594
2028,"Geothermal",0.0115448662233712
2028,"Biopower",0.0105836293630598
2028,"Land-based Wind",0.114241132172391
2028,"CSP",0.00117582706816925
2028,"Utility PV",0.0342024838321391
2028,"Rooftop PV",0.0244722509814831
2030,"Nuclear",0.170637710184546
2030,"Coal",0.250535508656867
2030,"Oil-Gas-Steam",0
2030,"NG-CC",0.290830386604196
2030,"NG-CT",0.00146994071433021
2030,"Hydro",0.0654348293663317
2030,"Imports",0.011373445487948
2030,"Geothermal",0.0131462892542161
2030,"Biopower",0.0104637630951195
2030,"Land-based Wind",0.114499212889285
2030,"CSP",0.00116048529605131
2030,"Utility PV",0.0418733965658656
2030,"Rooftop PV",0.0285750318852433
2032,"Nuclear",0.159169742085565
2032,"Coal",0.236313662504888
2032,"Oil-Gas-Steam",0
2032,"NG-CC",0.305108737388451
2032,"NG-CT",0.00123558826251864
2032,"Hydro",0.0646598819257765
2032,"Imports",0.011276283718779
2032,"Geothermal",0.0129727350795223
2032,"Biopower",0.0103195514688211
2032,"Land-based Wind",0.118316890788941
2032,"CSP",0.00114234912044638
2032,"Utility PV",0.0474237663601418
2032,"Rooftop PV",0.0320608112961487
2034,"Nuclear",0.134676114089126
2034,"Coal",0.221700349844017
2034,"Oil-Gas-Steam",0
2034,"NG-CC",0.329788685663984
2034,"NG-CT",0.0011343637436397
2034,"Hydro",0.0636329643676432
2034,"Imports",0.0109936801343456
2034,"Geothermal",0.0127492560457894
2034,"Biopower",0.0101220793277984
2034,"Land-based Wind",0.124639864346506
2034,"CSP",0.00112245077213147
2034,"Utility PV",0.0536363073977026
2034,"Rooftop PV",0.0358038842673166
2036,"Nuclear",0.116359753710728
2036,"Coal",0.208464238366538
2036,"Oil-Gas-Steam",0
2036,"NG-CC",0.348423232450599
2036,"NG-CT",0.00111930174709022
2036,"Hydro",0.0624482325584148
2036,"Imports",0.0104832304090236
2036,"Geothermal",0.0125040266368041
2036,"Biopower",0.00993707026054186
2036,"Land-based Wind",0.127198097694775
2036,"CSP",0.00109877955723284
2036,"Utility PV",0.0624597868073472
2036,"Rooftop PV",0.0395042498009056
2038,"Nuclear",0.100855157822561
2038,"Coal",0.19717845481045
2038,"Oil-Gas-Steam",0
2038,"NG-CC",0.360026608230745
2038,"NG-CT",0.00120727684087312
2038,"Hydro",0.0612409709402477
2038,"Imports",0.0101769413289604
2038,"Geothermal",0.0122798130811637
2038,"Biopower",0.00972500432010583
2038,"Land-based Wind",0.128036421424099
2038,"CSP",0.00107586783953345
2038,"Utility PV",0.0751201915576
2038,"Rooftop PV",0.0430772918036612
2040,"Nuclear",0.0941359489045256
2040,"Coal",0.188507230369391
2040,"Oil-Gas-Steam",0
2040,"NG-CC",0.36327507633132
2040,"NG-CT",0.0014146800282017
2040,"Hydro",0.059957480210322
2040,"Imports",0.00988908306962106
2040,"Geothermal",0.0120308526594334
2040,"Biopower",0.00948805033850201
2040,"Land-based Wind",0.129957313230088
2040,"CSP",0.0010504867972229
2040,"Utility PV",0.083890013271798
2040,"Rooftop PV",0.0464037847895743
2042,"Nuclear",0.0818246621069414
2042,"Coal",0.179426114303126
2042,"Oil-Gas-Steam",0
2042,"NG-CC",0.370602190924232
2042,"NG-CT",0.00174702119736096
2042,"Hydro",0.05918049114636
2042,"Imports",0.00970903675269172
2042,"Geothermal",0.0118600767638278
2042,"Biopower",0.00930616560123967
2042,"Land-based Wind",0.131119670663285
2042,"CSP",0.00103090535265895
2042,"Utility PV",0.0948577083939184
2042,"Rooftop PV",0.0493359567943576
2044,"Nuclear",0.0679470640446741
2044,"Coal",0.173396847396462
2044,"Oil-Gas-Steam",0
2044,"NG-CC",0.369749546825338
2044,"NG-CT",0.00195762093822624
2044,"Hydro",0.0580985439945537
2044,"Imports",0.00953059799062223
2044,"Geothermal",0.0116404931745608
2044,"Biopower",0.00911519339373863
2044,"Land-based Wind",0.137181135517157
2044,"CSP",0.00082416535427422
2044,"Utility PV",0.109242127136083
2044,"Rooftop PV",0.0513166642343094
2046,"Nuclear",0.0408413108861071
2046,"Coal",0.157326469113762
2046,"Oil-Gas-Steam",0
2046,"NG-CC",0.394295065703151
2046,"NG-CT",0.00282998235845115
2046,"Hydro",0.0571217843026628
2046,"Imports",0.00936065762804025
2046,"Geothermal",0.0115821323402455
2046,"Biopower",0.00893811800478411
2046,"Land-based Wind",0.139745488445035
2046,"CSP",0.00126611711756585
2046,"Utility PV",0.12338229060548
2046,"Rooftop PV",0.053310583494714
2048,"Nuclear",0.0210810510425078
2048,"Coal",0.136032841808494
2048,"Oil-Gas-Steam",0
2048,"NG-CC",0.422806735454813
2048,"NG-CT",0.00320735406263854
2048,"Hydro",0.0560593528873898
2048,"Imports",0.00918655493056583
2048,"Geothermal",0.0113640443243244
2048,"Biopower",0.00868180748987669
2048,"Land-based Wind",0.146461678799004
2048,"CSP",0.00164175209842007
2048,"Utility PV",0.12843398567424
2048,"Rooftop PV",0.0550428414277265
2050,"Nuclear",0.0119166071723604
2050,"Coal",0.113461923342621
2050,"Oil-Gas-Steam",0
2050,"NG-CC",0.434739986903665
2050,"NG-CT",0.00298762184067561
2050,"Hydro",0.0550431733946268
2050,"Imports",0.00902003162537654
2050,"Geothermal",0.0111523076636391
2050,"Biopower",0.00849316019158926
2050,"Land-based Wind",0.151589876473107
2050,"CSP",0.00174086974063413
2050,"Utility PV",0.143254996653614
2050,"Rooftop PV",0.0565994449980912
