"time","type","value"
2010,"consumption",1529.56801666901
2010,"withdrawal",45926.7511715462
2012,"consumption",1383.65411659653
2012,"withdrawal",37960.0759729628
2014,"consumption",1407.60499832158
2014,"withdrawal",38836.7388313202
2016,"consumption",1251.77073911295
2016,"withdrawal",31061.4870625093
2018,"consumption",1265.80409719644
2018,"withdrawal",31290.8941096278
2020,"consumption",1256.03614514383
2020,"withdrawal",31817.5832690418
2022,"consumption",1268.8881825892
2022,"withdrawal",31843.4719914498
2024,"consumption",1303.91655636013
2024,"withdrawal",32873.0344643615
2026,"consumption",1302.19883307267
2026,"withdrawal",32966.2844495673
2028,"consumption",1281.22894986966
2028,"withdrawal",32419.3474819849
2030,"consumption",1253.14879796066
2030,"withdrawal",30816.5532594088
2032,"consumption",1200.25622347848
2032,"withdrawal",28751.460965494
2034,"consumption",1176.3819826471
2034,"withdrawal",23996.0513129892
2036,"consumption",1156.08982208518
2036,"withdrawal",20593.0109589471
2038,"consumption",1130.30845310839
2038,"withdrawal",18408.7321701011
2040,"consumption",1120.86343294695
2040,"withdrawal",17451.057553623
2042,"consumption",1093.01825811396
2042,"withdrawal",16238.2230202806
2044,"consumption",1064.11059497085
2044,"withdrawal",14301.8506498734
2046,"consumption",1006.1169250043
2046,"withdrawal",10029.9685989379
2048,"consumption",911.896361373255
2048,"withdrawal",7934.62402897826
2050,"consumption",840.385543546687
2050,"withdrawal",5856.08242789753
