"gid","time","value","type"
"AL",2010,1884.08580164521,"withdrawal"
"AL",2012,1299.52050092079,"withdrawal"
"AL",2014,1393.41229759105,"withdrawal"
"AL",2016,1299.36113242474,"withdrawal"
"AL",2018,1378.31098581089,"withdrawal"
"AL",2020,1500.0355571425,"withdrawal"
"AL",2022,1532.29861680027,"withdrawal"
"AL",2024,1614.41026813607,"withdrawal"
"AL",2026,1644.49064513055,"withdrawal"
"AL",2028,1490.61065498943,"withdrawal"
"AL",2030,1426.77315765604,"withdrawal"
"AL",2032,1300.03980954168,"withdrawal"
"AL",2034,851.278958110705,"withdrawal"
"AL",2036,450.035992565538,"withdrawal"
"AL",2038,53.2567582222998,"withdrawal"
"AL",2040,53.1252087580588,"withdrawal"
"AL",2042,45.9765005287332,"withdrawal"
"AL",2044,45.5868719386091,"withdrawal"
"AL",2046,44.4499884307336,"withdrawal"
"AL",2048,44.1227165322993,"withdrawal"
"AL",2050,44.1917273880369,"withdrawal"
"AR",2010,73.5493693567778,"withdrawal"
"AR",2012,71.2716766754241,"withdrawal"
"AR",2014,72.919429396631,"withdrawal"
"AR",2016,37.6459869644534,"withdrawal"
"AR",2018,60.6034591391911,"withdrawal"
"AR",2020,59.8857888692232,"withdrawal"
"AR",2022,59.8939212506228,"withdrawal"
"AR",2024,68.6483276404844,"withdrawal"
"AR",2026,61.9302034799971,"withdrawal"
"AR",2028,51.5800463249108,"withdrawal"
"AR",2030,36.9019589927058,"withdrawal"
"AR",2032,29.2720610071855,"withdrawal"
"AR",2034,20.0982563845711,"withdrawal"
"AR",2036,19.5894639442804,"withdrawal"
"AR",2038,12.3872367598916,"withdrawal"
"AR",2040,3.21261435361117,"withdrawal"
"AR",2042,2.3712135681564,"withdrawal"
"AR",2044,2.1070528483604,"withdrawal"
"AR",2046,2.23266041910757,"withdrawal"
"AR",2048,1.58068363866926,"withdrawal"
"AR",2050,1.54336004344692,"withdrawal"
"AZ",2010,88.9980638999854,"withdrawal"
"AZ",2012,90.0386806231522,"withdrawal"
"AZ",2014,78.313778012314,"withdrawal"
"AZ",2016,86.1954775123459,"withdrawal"
"AZ",2018,90.2165316763594,"withdrawal"
"AZ",2020,85.0203654377687,"withdrawal"
"AZ",2022,83.9289476121008,"withdrawal"
"AZ",2024,71.0284393963007,"withdrawal"
"AZ",2026,68.4245585803864,"withdrawal"
"AZ",2028,61.8694143318277,"withdrawal"
"AZ",2030,62.7856408849809,"withdrawal"
"AZ",2032,63.1562286455453,"withdrawal"
"AZ",2034,60.5926700155838,"withdrawal"
"AZ",2036,61.0593749585221,"withdrawal"
"AZ",2038,56.7364634578587,"withdrawal"
"AZ",2040,54.7030563572696,"withdrawal"
"AZ",2042,53.2251044937603,"withdrawal"
"AZ",2044,50.6739043305484,"withdrawal"
"AZ",2046,44.5360120335488,"withdrawal"
"AZ",2048,50.2281032597019,"withdrawal"
"AZ",2050,50.2448373172727,"withdrawal"
"CA",2010,1856.28650503933,"withdrawal"
"CA",2012,1813.75553648806,"withdrawal"
"CA",2014,1075.46614554739,"withdrawal"
"CA",2016,1075.07595038695,"withdrawal"
"CA",2018,1065.69027590544,"withdrawal"
"CA",2020,1056.16131792579,"withdrawal"
"CA",2022,1056.23581858234,"withdrawal"
"CA",2024,1057.83591637007,"withdrawal"
"CA",2026,982.000618347371,"withdrawal"
"CA",2028,1004.02463535546,"withdrawal"
"CA",2030,1016.72616745393,"withdrawal"
"CA",2032,995.305095334231,"withdrawal"
"CA",2034,955.700078247878,"withdrawal"
"CA",2036,737.642048667764,"withdrawal"
"CA",2038,762.957011666642,"withdrawal"
"CA",2040,760.577217116505,"withdrawal"
"CA",2042,747.804947525019,"withdrawal"
"CA",2044,753.240394012438,"withdrawal"
"CA",2046,146.483611158738,"withdrawal"
"CA",2048,146.000917959734,"withdrawal"
"CA",2050,143.642919334532,"withdrawal"
"CO",2010,78.1686284705647,"withdrawal"
"CO",2012,74.8808871439409,"withdrawal"
"CO",2014,74.4941266079103,"withdrawal"
"CO",2016,73.1476618172807,"withdrawal"
"CO",2018,56.2755492360728,"withdrawal"
"CO",2020,51.2282965375266,"withdrawal"
"CO",2022,52.8899021872286,"withdrawal"
"CO",2024,53.4750995937109,"withdrawal"
"CO",2026,49.0691621423383,"withdrawal"
"CO",2028,32.7994855091031,"withdrawal"
"CO",2030,23.8731213700042,"withdrawal"
"CO",2032,15.8496439062646,"withdrawal"
"CO",2034,12.796796303135,"withdrawal"
"CO",2036,6.10754866395665,"withdrawal"
