"time","type","value"
2010,"price",106.16244689134
2012,"price",105.726064170646
2014,"price",110.754950083195
2016,"price",108.706122930309
2018,"price",107.86086136749
2020,"price",107.281211542201
2022,"price",106.895365683165
2024,"price",105.534367962733
2026,"price",106.556216118958
2028,"price",105.667494316013
2030,"price",106.906061899976
2032,"price",106.875220029093
2034,"price",108.565631978954
2036,"price",110.83603630584
2038,"price",112.809353974982
2040,"price",112.631877636318
2042,"price",112.342172237054
2044,"price",112.335188627741
2046,"price",112.989180815755
2048,"price",112.115207515277
2050,"price",113.384044231
2010,"comp_p",106.16244689134
2012,"comp_p",94.0405760410998
2014,"comp_p",106.820620148683
2016,"comp_p",95.359462032671
2018,"comp_p",97.3595260879161
2020,"comp_p",101.503353337955
2022,"comp_p",101.0980777299
2024,"comp_p",104.0222745818
2026,"comp_p",106.426708876773
2028,"comp_p",114.18659972786
2030,"comp_p",122.553113797742
2032,"comp_p",120.433477905373
2034,"comp_p",119.930671527851
2036,"comp_p",122.631748529741
2038,"comp_p",124.980363470704
2040,"comp_p",124.742722404759
2042,"comp_p",126.492439676978
2044,"comp_p",126.185890506927
2046,"comp_p",128.294113451171
2048,"comp_p",127.500531119976
2050,"comp_p",128.903061561823
