"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,31.3481631744
"AL","Nuclear",2036,22.6233881856
"AL","Nuclear",2038,6.980136192
"AL","Nuclear",2040,6.980136192
"AL","Nuclear",2042,0
"AL","Nuclear",2044,0
"AL","Nuclear",2046,0
"AL","Nuclear",2048,0
"AL","Nuclear",2050,0
"AL","Coal",2010,26.8338429301629
"AL","Coal",2012,2.52893734560463
"AL","Coal",2014,6.5821491564196
"AL","Coal",2016,3.9590544
"AL","Coal",2018,6.75753740441186
"AL","Coal",2020,14.5876524867591
"AL","Coal",2022,15.1953495526447
"AL","Coal",2024,25.8429914114995
"AL","Coal",2026,23.4605473000058
"AL","Coal",2028,18.3757095940116
"AL","Coal",2030,16.1876864800091
"AL","Coal",2032,11.7167287482051
"AL","Coal",2034,10.9752149777476
"AL","Coal",2036,6.221238874693
"AL","Coal",2038,4.74523934843116
"AL","Coal",2040,4.13947194371429
"AL","Coal",2042,3.41123935821978
"AL","Coal",2044,1.74174638250549
"AL","Coal",2046,2.75348113773099
"AL","Coal",2048,0.0103012344
"AL","Coal",2050,0
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,62.9613496011211
"AL","NG-CC",2012,73.2394887238269
"AL","NG-CC",2014,71.1541746425264
"AL","NG-CC",2016,73.2363300103269
"AL","NG-CC",2018,63.8195205281801
"AL","NG-CC",2020,50.3147826439302
"AL","NG-CC",2022,47.5034047101367
"AL","NG-CC",2024,37.366178756317
"AL","NG-CC",2026,39.2594050809519
"AL","NG-CC",2028,38.3234244515933
"AL","NG-CC",2030,27.6978132927196
"AL","NG-CC",2032,33.3903593197705
"AL","NG-CC",2034,58.3749362255508
"AL","NG-CC",2036,72.7065838759144
"AL","NG-CC",2038,86.1460143657448
"AL","NG-CC",2040,92.4583860277627
"AL","NG-CC",2042,91.9686489818824
"AL","NG-CC",2044,95.2933656013316
"AL","NG-CC",2046,95.8482146149439
"AL","NG-CC",2048,99.0517031950318
"AL","NG-CC",2050,97.973147275712
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.157198737236046
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.157615300633228
"AL","NG-CT",2018,0.112718417236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.140003158146063
"AL","NG-CT",2026,0.09798552
"AL","NG-CT",2028,0.08389336
"AL","NG-CT",2030,0.135063836088385
"AL","NG-CT",2032,0.105169342832118
"AL","NG-CT",2034,0.105804324341176
"AL","NG-CT",2036,0.054126
"AL","NG-CT",2038,0.054126
"AL","NG-CT",2040,0.0185383304180865
"AL","NG-CT",2042,0
"AL","NG-CT",2044,0
"AL","NG-CT",2046,0
"AL","NG-CT",2048,0
"AL","NG-CT",2050,0
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.37612668616747
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.37612668616747
"AL","Hydro",2028,8.47163036084043
"AL","Hydro",2030,8.54537385419249
"AL","Hydro",2032,8.54537385419248
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.55867108612406
"AL","Hydro",2044,8.55867108612406
"AL","Hydro",2046,8.5872796564681
"AL","Hydro",2048,8.5872796564681
"AL","Hydro",2050,8.61442601099455
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,2.172456782496
"AL","Biopower",2014,1.737749841696
"AL","Biopower",2016,1.737749841696
"AL","Biopower",2018,1.737749841696
"AL","Biopower",2020,1.737749841696
