"gid","time","value","type"
"AL",2010,1884.08580164521,"withdrawal"
"AL",2012,1299.52050092069,"withdrawal"
"AL",2014,1393.41229758425,"withdrawal"
"AL",2016,1299.36113242474,"withdrawal"
"AL",2018,1378.31137297314,"withdrawal"
"AL",2020,1500.01118664839,"withdrawal"
"AL",2022,1534.64789396104,"withdrawal"
"AL",2024,1609.21770378519,"withdrawal"
"AL",2026,1514.31986907013,"withdrawal"
"AL",2028,1510.07026838445,"withdrawal"
"AL",2030,1501.0124280668,"withdrawal"
"AL",2032,1432.28489305087,"withdrawal"
"AL",2034,1017.12309670796,"withdrawal"
"AL",2036,604.247662784551,"withdrawal"
"AL",2038,184.163398403099,"withdrawal"
"AL",2040,156.369132167877,"withdrawal"
"AL",2042,128.170127411174,"withdrawal"
"AL",2044,95.5154047425714,"withdrawal"
"AL",2046,130.649017551947,"withdrawal"
"AL",2048,63.3978021835349,"withdrawal"
"AL",2050,63.2433401295924,"withdrawal"
"AR",2010,73.5493693567738,"withdrawal"
"AR",2012,71.27167667543,"withdrawal"
"AR",2014,72.9194293966341,"withdrawal"
"AR",2016,37.6436963413984,"withdrawal"
"AR",2018,60.585043966023,"withdrawal"
"AR",2020,59.8870423373228,"withdrawal"
"AR",2022,59.8960999023502,"withdrawal"
"AR",2024,68.6099641876864,"withdrawal"
"AR",2026,66.0272637914495,"withdrawal"
"AR",2028,55.9471306826178,"withdrawal"
"AR",2030,56.1170726598776,"withdrawal"
"AR",2032,55.7195065636434,"withdrawal"
"AR",2034,50.3569107998951,"withdrawal"
"AR",2036,49.9506464836828,"withdrawal"
"AR",2038,42.8061691279768,"withdrawal"
"AR",2040,32.5971808763175,"withdrawal"
"AR",2042,31.2462573197378,"withdrawal"
"AR",2044,28.9924249343676,"withdrawal"
"AR",2046,31.9679528319972,"withdrawal"
"AR",2048,36.2560292236442,"withdrawal"
"AR",2050,36.389249459823,"withdrawal"
"AZ",2010,88.9980638999843,"withdrawal"
"AZ",2012,90.0386806231392,"withdrawal"
"AZ",2014,78.3137780123172,"withdrawal"
"AZ",2016,86.195655978856,"withdrawal"
"AZ",2018,90.2089297411707,"withdrawal"
"AZ",2020,85.028839400401,"withdrawal"
"AZ",2022,83.9468438483429,"withdrawal"
"AZ",2024,71.111932557204,"withdrawal"
"AZ",2026,68.9139376586024,"withdrawal"
"AZ",2028,66.2752265994308,"withdrawal"
"AZ",2030,64.7119170969836,"withdrawal"
"AZ",2032,64.2221420820091,"withdrawal"
"AZ",2034,63.9355471376066,"withdrawal"
"AZ",2036,63.8308644346025,"withdrawal"
"AZ",2038,64.0721682129329,"withdrawal"
