"time","type","value"
2010,"price",106.16244689134
2012,"price",105.726064170645
2014,"price",110.754950083189
2016,"price",108.68794657979
2018,"price",107.914568937795
2020,"price",107.342225351864
2022,"price",107.029010906354
2024,"price",107.699131098033
2026,"price",110.211748822379
2028,"price",110.785475968658
2030,"price",112.581785615799
2032,"price",112.276959186662
2034,"price",113.467185404717
2036,"price",114.08253701031
2038,"price",113.894820116332
2040,"price",114.02744972913
2042,"price",114.371886077876
2044,"price",115.596258127264
2046,"price",116.050407729624
2048,"price",116.509597932943
2050,"price",116.953564123563
2010,"comp_p",106.16244689134
2012,"comp_p",94.0405760411001
2014,"comp_p",106.820620149011
2016,"comp_p",95.6008424457033
2018,"comp_p",97.5137991403349
2020,"comp_p",101.840033497946
2022,"comp_p",102.671766804414
2024,"comp_p",114.232080393857
2026,"comp_p",122.33023114986
2028,"comp_p",127.010278072157
2030,"comp_p",125.751663345792
2032,"comp_p",125.768819566854
2034,"comp_p",127.168388157536
2036,"comp_p",127.799364872601
2038,"comp_p",127.461885312415
2040,"comp_p",128.060875888477
2042,"comp_p",129.74191493811
2044,"comp_p",129.90821857847
2046,"comp_p",130.703839571543
2048,"comp_p",131.219832163195
2050,"comp_p",131.17828905658
