"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,31.3481631744
"AL","Nuclear",2036,22.6233881856
"AL","Nuclear",2038,6.980136192
"AL","Nuclear",2040,6.980136192
"AL","Nuclear",2042,0
"AL","Nuclear",2044,0
"AL","Nuclear",2046,0
"AL","Nuclear",2048,0
"AL","Nuclear",2050,0
"AL","Coal",2010,26.833842930161
"AL","Coal",2012,2.52893734561648
"AL","Coal",2014,6.58214915668198
"AL","Coal",2016,5.9084465096512
"AL","Coal",2018,6.88776788210318
"AL","Coal",2020,15.5219536634525
"AL","Coal",2022,20.3081645444574
"AL","Coal",2024,25.4420494447082
"AL","Coal",2026,18.3614989948551
"AL","Coal",2028,15.5395317823274
"AL","Coal",2030,13.9710664391413
"AL","Coal",2032,11.7104667231781
"AL","Coal",2034,9.17555615815143
"AL","Coal",2036,7.50293956813187
"AL","Coal",2038,5.40002935431145
"AL","Coal",2040,0
"AL","Coal",2042,0
"AL","Coal",2044,0
"AL","Coal",2046,0
"AL","Coal",2048,0
"AL","Coal",2050,0
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,62.9613496011093
"AL","NG-CC",2012,73.2394887238269
"AL","NG-CC",2014,71.1541746425243
"AL","NG-CC",2016,73.24004736
"AL","NG-CC",2018,65.0131329636301
"AL","NG-CC",2020,50.658599687536
"AL","NG-CC",2022,48.2798574878689
"AL","NG-CC",2024,42.4662230087487
"AL","NG-CC",2026,41.2846309008408
"AL","NG-CC",2028,37.760422203009
"AL","NG-CC",2030,23.1089271875867
"AL","NG-CC",2032,47.1019752515731
"AL","NG-CC",2034,63.8087723033855
"AL","NG-CC",2036,72.2573993165256
"AL","NG-CC",2038,87.8008937878835
"AL","NG-CC",2040,93.3214864096529
"AL","NG-CC",2042,92.8810821477512
"AL","NG-CC",2044,92.8055606671271
"AL","NG-CC",2046,94.5298241813204
"AL","NG-CC",2048,90.5341253185663
"AL","NG-CC",2050,92.6759244776517
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.157198737236046
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.157615300633228
"AL","NG-CT",2018,0.136873120089325
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.207905672615775
"AL","NG-CT",2026,0.139789314733288
"AL","NG-CT",2028,0.08389336
"AL","NG-CT",2030,0.0925187795091664
"AL","NG-CT",2032,0.0935901071079687
"AL","NG-CT",2034,0.0601710939658841
"AL","NG-CT",2036,0.054126
"AL","NG-CT",2038,0.054126
"AL","NG-CT",2040,0
"AL","NG-CT",2042,0
"AL","NG-CT",2044,0
"AL","NG-CT",2046,0
"AL","NG-CT",2048,0
"AL","NG-CT",2050,0
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.37612668616747
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.51814112319663
"AL","Hydro",2028,8.55867108612406
"AL","Hydro",2030,8.55867108612406
"AL","Hydro",2032,8.55867108612406
"AL","Hydro",2034,8.55867108612406
"AL","Hydro",2036,8.5872796564681
"AL","Hydro",2038,8.5872796564681
"AL","Hydro",2040,8.61442601099456
"AL","Hydro",2042,8.61442601099456
"AL","Hydro",2044,8.61442601099456
"AL","Hydro",2046,8.61442601099456
"AL","Hydro",2048,8.61442601099456
"AL","Hydro",2050,8.61442601099455
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,2.172456782496
"AL","Biopower",2014,1.737749841696
"AL","Biopower",2016,1.737749841696
"AL","Biopower",2018,1.737749841696
"AL","Biopower",2020,1.737749841696
"AL","Biopower",2022,1.737749841696
"AL","Biopower",2024,1.737749841696
