"time","type","value"
2010,"consumption",1529.56801666901
2010,"withdrawal",45926.7511715462
2012,"consumption",1383.65411659653
2012,"withdrawal",37960.0759729628
2014,"consumption",1407.60499832158
2014,"withdrawal",38836.7388313202
2016,"consumption",1248.95299040818
2016,"withdrawal",31033.4320180896
2018,"consumption",1290.34070530957
2018,"withdrawal",31735.507056382
2020,"consumption",1283.27220103712
2020,"withdrawal",32435.0626997763
2022,"consumption",1310.69393628888
2022,"withdrawal",32280.747933847
2024,"consumption",1338.75374686681
2024,"withdrawal",32156.3470580006
2026,"consumption",1309.21755288235
2026,"withdrawal",30950.6820338383
2028,"consumption",1277.48352273801
2028,"withdrawal",29935.1550011248
2030,"consumption",1249.38491490783
2030,"withdrawal",28365.1053462391
2032,"consumption",1221.09803780552
2032,"withdrawal",26272.2570990046
2034,"consumption",1194.42614371228
2034,"withdrawal",21307.1614150763
2036,"consumption",1177.30095157991
2036,"withdrawal",17006.8244881477
2038,"consumption",1160.13376403149
2038,"withdrawal",13299.8246900263
2040,"consumption",1114.91294681485
2040,"withdrawal",11506.3899784208
2042,"consumption",1057.16578698143
2042,"withdrawal",10101.8523687369
2044,"consumption",993.599840040402
2044,"withdrawal",8075.89764091316
2046,"consumption",881.952919351853
2046,"withdrawal",4832.49999504045
2048,"consumption",775.943011796901
2048,"withdrawal",3813.17664129328
2050,"consumption",718.3609422543
2050,"withdrawal",2455.49177879368
