"time","type","value"
2010,"consumption",1529.56801666901
2010,"withdrawal",45926.7511715462
2012,"consumption",1383.65411659653
2012,"withdrawal",37960.0759729628
2014,"consumption",1407.60499832158
2014,"withdrawal",38836.7388313202
2016,"consumption",1251.77073911295
2016,"withdrawal",31061.4870625093
2018,"consumption",1294.01650749551
2018,"withdrawal",31909.48943568
2020,"consumption",1289.99709762685
2020,"withdrawal",32666.3154470395
2022,"consumption",1313.84609724908
2022,"withdrawal",32731.7391637003
2024,"consumption",1326.02902027827
2024,"withdrawal",33115.8261165839
2026,"consumption",1290.11957855495
2026,"withdrawal",32286.3860280492
2028,"consumption",1257.55366794938
2028,"withdrawal",31451.7113878966
2030,"consumption",1235.00973639645
2030,"withdrawal",29703.9929510834
2032,"consumption",1207.73387897662
2032,"withdrawal",27772.2467036315
2034,"consumption",1183.6123401167
2034,"withdrawal",22904.3549631106
2036,"consumption",1162.07049541099
2036,"withdrawal",19564.9378252222
2038,"consumption",1136.51980215257
2038,"withdrawal",17398.2797402597
2040,"consumption",1127.32307652052
2040,"withdrawal",16494.7249785943
2042,"consumption",1099.07326656844
2042,"withdrawal",15309.011656348
2044,"consumption",1068.47232093341
2044,"withdrawal",13596.0417010151
2046,"consumption",1010.37230218947
2046,"withdrawal",9221.67884103684
2048,"consumption",936.547141533685
2048,"withdrawal",7275.35291778962
2050,"consumption",871.036838500494
2050,"withdrawal",5279.49510018177
