"gid","time","value","type"
"AL",2010,1884.08941039129,"withdrawal"
"AL",2012,1299.57506252641,"withdrawal"
"AL",2014,1392.26061183926,"withdrawal"
"AL",2016,1297.52638483361,"withdrawal"
"AL",2018,1293.87650663896,"withdrawal"
"AL",2020,1371.95560139231,"withdrawal"
"AL",2022,1387.24450947667,"withdrawal"
"AL",2024,1465.42048328568,"withdrawal"
"AL",2026,1340.99112135808,"withdrawal"
"AL",2028,1322.88387401675,"withdrawal"
"AL",2030,1329.53880894148,"withdrawal"
"AL",2032,1316.33649886615,"withdrawal"
"AL",2034,910.882002788647,"withdrawal"
"AL",2036,511.544979575726,"withdrawal"
"AL",2038,109.339055975589,"withdrawal"
"AL",2040,95.7781357268514,"withdrawal"
"AL",2042,80.5996605091018,"withdrawal"
"AL",2044,46.0556410991337,"withdrawal"
"AL",2046,48.2434548335921,"withdrawal"
"AL",2048,48.4011628558055,"withdrawal"
"AL",2050,43.9208822734946,"withdrawal"
"AR",2010,73.5528916872466,"withdrawal"
"AR",2012,71.2993516269591,"withdrawal"
"AR",2014,72.9215559914689,"withdrawal"
"AR",2016,37.4798525969512,"withdrawal"
"AR",2018,60.1538097796905,"withdrawal"
"AR",2020,59.8830021493097,"withdrawal"
"AR",2022,59.9402934857292,"withdrawal"
"AR",2024,73.3130356449835,"withdrawal"
"AR",2026,71.3621730896534,"withdrawal"
"AR",2028,55.9838919554793,"withdrawal"
"AR",2030,56.5626226763336,"withdrawal"
"AR",2032,55.4768742009611,"withdrawal"
"AR",2034,49.7000446157632,"withdrawal"
"AR",2036,51.7136451159486,"withdrawal"
"AR",2038,40.4236689320785,"withdrawal"
"AR",2040,30.7529124083118,"withdrawal"
"AR",2042,29.5299766539738,"withdrawal"
"AR",2044,28.3101946946679,"withdrawal"
"AR",2046,27.6975668699019,"withdrawal"
"AR",2048,33.7103842101235,"withdrawal"
"AR",2050,33.5221038082211,"withdrawal"
"AZ",2010,88.9980409845587,"withdrawal"
"AZ",2012,90.0372026615891,"withdrawal"
"AZ",2014,78.3124678565444,"withdrawal"
"AZ",2016,86.253698339352,"withdrawal"
"AZ",2018,90.1966374169265,"withdrawal"
"AZ",2020,84.9893194230641,"withdrawal"
"AZ",2022,83.937934782157,"withdrawal"
"AZ",2024,71.1424143338863,"withdrawal"
"AZ",2026,69.0622776492805,"withdrawal"
"AZ",2028,66.8783688733543,"withdrawal"
"AZ",2030,65.2680336628691,"withdrawal"
"AZ",2032,64.4921592359346,"withdrawal"
"AZ",2034,63.9423616917842,"withdrawal"
"AZ",2036,64.0012726076903,"withdrawal"
"AZ",2038,64.2522789081679,"withdrawal"
"AZ",2040,65.1318606366199,"withdrawal"
"AZ",2042,67.3758466103332,"withdrawal"
"AZ",2044,66.8219659419229,"withdrawal"
"AZ",2046,51.0429672109558,"withdrawal"
"AZ",2048,43.1881149142919,"withdrawal"
"AZ",2050,39.0428762961894,"withdrawal"
"CA",2010,1856.28664195571,"withdrawal"
"CA",2012,1813.75435883713,"withdrawal"
"CA",2014,1075.46651344635,"withdrawal"
"CA",2016,1075.0707322962,"withdrawal"
"CA",2018,1065.56135637303,"withdrawal"
"CA",2020,1056.23422343286,"withdrawal"
"CA",2022,1056.32706434678,"withdrawal"
"CA",2024,1058.02601829082,"withdrawal"
"CA",2026,1059.17662723963,"withdrawal"
"CA",2028,1058.65949239002,"withdrawal"
"CA",2030,1042.41412713222,"withdrawal"
"CA",2032,1026.11555485449,"withdrawal"
"CA",2034,1016.88288095394,"withdrawal"
"CA",2036,1017.25485591982,"withdrawal"
"CA",2038,1017.13133348676,"withdrawal"
"CA",2040,1016.40722381257,"withdrawal"
"CA",2042,1005.84526973018,"withdrawal"
"CA",2044,992.878205059673,"withdrawal"
"CA",2046,186.463688644731,"withdrawal"
"CA",2048,164.717034233472,"withdrawal"
"CA",2050,149.416533512108,"withdrawal"
"CO",2010,78.1690488375534,"withdrawal"
"CO",2012,74.880872287755,"withdrawal"
"CO",2014,74.4929059171383,"withdrawal"
"CO",2016,73.1409110448969,"withdrawal"
"CO",2018,56.2336704719317,"withdrawal"
"CO",2020,51.2766668954004,"withdrawal"
"CO",2022,53.2773079192966,"withdrawal"
"CO",2024,54.0565021254033,"withdrawal"
"CO",2026,54.0949549496739,"withdrawal"
"CO",2028,49.7409414195644,"withdrawal"
"CO",2030,46.8176022557045,"withdrawal"
"CO",2032,47.4943315558317,"withdrawal"
"CO",2034,48.8816824353329,"withdrawal"
"CO",2036,46.9847035454877,"withdrawal"
"CO",2038,46.7829845588418,"withdrawal"
"CO",2040,46.6614756725297,"withdrawal"
"CO",2042,48.6000922583141,"withdrawal"
"CO",2044,47.4697171584894,"withdrawal"
"CO",2046,48.3670959456844,"withdrawal"
"CO",2048,49.3590792360844,"withdrawal"
"CO",2050,47.3828323805524,"withdrawal"
"CT",2010,832.081998223888,"withdrawal"
"CT",2012,741.482386140144,"withdrawal"
"CT",2014,847.995312293628,"withdrawal"
"CT",2016,755.69716952005,"withdrawal"
"CT",2018,755.040779031817,"withdrawal"
"CT",2020,767.876375488607,"withdrawal"
"CT",2022,798.58383965751,"withdrawal"
"CT",2024,788.578020906068,"withdrawal"
"CT",2026,755.184944874901,"withdrawal"
"CT",2028,751.151597483701,"withdrawal"
"CT",2030,741.361128538234,"withdrawal"
"CT",2032,742.152560145144,"withdrawal"
"CT",2034,742.414695834922,"withdrawal"
"CT",2036,436.972696086938,"withdrawal"
"CT",2038,436.904148608362,"withdrawal"
"CT",2040,436.773853073705,"withdrawal"
"CT",2042,436.777922411746,"withdrawal"
"CT",2044,436.896961940979,"withdrawal"
"CT",2046,8.28648132721141,"withdrawal"
"CT",2048,9.09237217017772,"withdrawal"
"CT",2050,8.91482165249204,"withdrawal"
"DE",2010,65.1348789513971,"withdrawal"
"DE",2012,26.5362722335382,"withdrawal"
"DE",2014,3.38850671713252,"withdrawal"
"DE",2016,3.09080707208682,"withdrawal"
"DE",2018,3.58375443140821,"withdrawal"
