"time","type","value"
2010,"price",106.16244689134
2012,"price",105.726064170645
2014,"price",110.754950083189
2016,"price",108.70756545829
2018,"price",107.860211709715
2020,"price",107.276309579142
2022,"price",106.86340374276
2024,"price",108.020059210171
2026,"price",110.763918401209
2028,"price",111.997275970354
2030,"price",112.528005601549
2032,"price",111.939454191039
2034,"price",111.247621472736
2036,"price",110.667929499627
2038,"price",111.068650570747
2040,"price",110.489412769309
2042,"price",109.100536300492
2044,"price",108.922822154502
2046,"price",108.041130455289
2048,"price",108.542906046898
2050,"price",109.339660011589
2010,"comp_p",106.16244689134
2012,"comp_p",94.0405760411001
2014,"comp_p",106.820620149011
2016,"comp_p",95.3496004726149
2018,"comp_p",97.3579380939985
2020,"comp_p",101.514919362797
2022,"comp_p",101.379523101952
2024,"comp_p",109.474217316931
2026,"comp_p",117.935610137233
2028,"comp_p",127.061802051819
2030,"comp_p",127.044097231134
2032,"comp_p",124.811320693539
2034,"comp_p",125.241041812234
2036,"comp_p",125.327179909735
2038,"comp_p",125.637994154469
2040,"comp_p",124.745314101397
2042,"comp_p",125.14079301978
2044,"comp_p",123.859056096527
2046,"comp_p",124.729307875635
2048,"comp_p",126.184609649291
2050,"comp_p",127.330062381266
