"time","country","type","value"
2010,"USA","Gas Usage (Quads)",6.616684011475
2010,"USA","Coal Usage (Quads)",20.205159273507
2010,"USA","Coal Price",2.46021714619961
2010,"USA","Gas Price",5.41831979617874
2012,"USA","Gas Usage (Quads)",8.40090681362024
2012,"USA","Coal Usage (Quads)",15.4838567479107
2012,"USA","Coal Price",2.42787909657719
2012,"USA","Gas Price",3.66946052461583
2014,"USA","Gas Usage (Quads)",8.02049910780862
2014,"USA","Coal Usage (Quads)",16.5233410711639
2014,"USA","Coal Price",2.35360853774068
2014,"USA","Gas Price",5.20769939458075
2016,"USA","Gas Usage (Quads)",10.5227160791839
2016,"USA","Coal Usage (Quads)",11.5477372680834
2016,"USA","Coal Price",2.09821656830065
2016,"USA","Gas Price",3.93860462571974
2018,"USA","Gas Usage (Quads)",8.77780852726264
2018,"USA","Coal Usage (Quads)",13.3293025784427
2018,"USA","Coal Price",2.19202391149138
2018,"USA","Gas Price",4.30783747109358
2020,"USA","Gas Usage (Quads)",7.22164469493608
2020,"USA","Coal Usage (Quads)",14.9148701983665
2020,"USA","Coal Price",2.2784241091482
2020,"USA","Gas Price",4.63819301590467
2022,"USA","Gas Usage (Quads)",7.35036324692753
2022,"USA","Coal Usage (Quads)",15.2550140022376
2022,"USA","Coal Price",2.27495546293263
2022,"USA","Gas Price",4.73024006791756
2024,"USA","Gas Usage (Quads)",8.82247226052706
2024,"USA","Coal Usage (Quads)",13.5030322969856
2024,"USA","Coal Price",2.27884187666229
2024,"USA","Gas Price",5.3740799667026
2026,"USA","Gas Usage (Quads)",9.97654020514379
2026,"USA","Coal Usage (Quads)",12.2473718444202
2026,"USA","Coal Price",2.27312435803202
2026,"USA","Gas Price",5.63269994941176
2028,"USA","Gas Usage (Quads)",10.6548831542077
2028,"USA","Coal Usage (Quads)",11.2096224137323
2028,"USA","Coal Price",2.25509126833546
2028,"USA","Gas Price",5.67149553653794
2030,"USA","Gas Usage (Quads)",11.4026487764631
2030,"USA","Coal Usage (Quads)",10.1124227184014
2030,"USA","Coal Price",2.24271380980253
2030,"USA","Gas Price",5.81801670822465
2032,"USA","Gas Usage (Quads)",12.013090300029
2032,"USA","Coal Usage (Quads)",9.63053814042409
2032,"USA","Coal Price",2.25111021854211
2032,"USA","Gas Price",5.90022143214795
2034,"USA","Gas Usage (Quads)",13.2146212324322
2034,"USA","Coal Usage (Quads)",8.96119335724858
2034,"USA","Coal Price",2.26750799887288
2034,"USA","Gas Price",6.09085551830818
2036,"USA","Gas Usage (Quads)",14.3897292786434
2036,"USA","Coal Usage (Quads)",8.30617715791525
2036,"USA","Coal Price",2.28059143966453
2036,"USA","Gas Price",6.31467365536204
2038,"USA","Gas Usage (Quads)",15.4067515670964
2038,"USA","Coal Usage (Quads)",7.74195803420872
2038,"USA","Coal Price",2.29717223829969
2038,"USA","Gas Price",6.46087485200298
2040,"USA","Gas Usage (Quads)",16.0917336050762
2040,"USA","Coal Usage (Quads)",7.36305615294978
2040,"USA","Coal Price",2.31168475605193
2040,"USA","Gas Price",6.55399838397663
2042,"USA","Gas Usage (Quads)",16.7761653207462
2042,"USA","Coal Usage (Quads)",6.98332800142258
2042,"USA","Coal Price",2.31028483967673
2042,"USA","Gas Price",6.73256575401247
2044,"USA","Gas Usage (Quads)",17.4918495677531
2044,"USA","Coal Usage (Quads)",6.58875377807734
2044,"USA","Coal Price",2.31571468391235
2044,"USA","Gas Price",6.91429886032387
2046,"USA","Gas Usage (Quads)",18.7880945406477
2046,"USA","Coal Usage (Quads)",5.84919102780813
2046,"USA","Coal Price",2.31384291540171
2046,"USA","Gas Price",7.21000963568831
2048,"USA","Gas Usage (Quads)",19.9165952183892
2048,"USA","Coal Usage (Quads)",5.23581128952408
2048,"USA","Coal Price",2.31071800749316
2048,"USA","Gas Price",7.4902050194979
2050,"USA","Gas Usage (Quads)",20.7801287485516
2050,"USA","Coal Usage (Quads)",4.73879197783295
2050,"USA","Coal Price",2.29416186286275
2050,"USA","Gas Price",7.69498747200712
