"time","country","type","value"
2010,"USA","Gas Usage (Quads)",6.616684011475
2010,"USA","Coal Usage (Quads)",20.205159273507
2010,"USA","Coal Price",2.46021714619961
2010,"USA","Gas Price",5.41831979617874
2012,"USA","Gas Usage (Quads)",8.40090681362024
2012,"USA","Coal Usage (Quads)",15.4838567479107
2012,"USA","Coal Price",2.4278790965772
2012,"USA","Gas Price",3.66946052461582
2014,"USA","Gas Usage (Quads)",8.02049910780848
2014,"USA","Coal Usage (Quads)",16.5233410446126
2014,"USA","Coal Price",2.35360853432602
2014,"USA","Gas Price",5.20769939628199
2016,"USA","Gas Usage (Quads)",10.5187990604811
2016,"USA","Coal Usage (Quads)",11.5371166343299
2016,"USA","Coal Price",2.09816514764375
2016,"USA","Gas Price",3.93783121510454
2018,"USA","Gas Usage (Quads)",8.896038617141
2018,"USA","Coal Usage (Quads)",13.4272992089931
2018,"USA","Coal Price",2.1965872753951
2018,"USA","Gas Price",4.33752741685643
2020,"USA","Gas Usage (Quads)",7.31087068596996
2020,"USA","Coal Usage (Quads)",14.5237415358111
2020,"USA","Coal Price",2.28789166400471
2020,"USA","Gas Price",4.66807958768199
2022,"USA","Gas Usage (Quads)",7.39416024638481
2022,"USA","Coal Usage (Quads)",15.1790155149065
2022,"USA","Coal Price",2.28536082651683
2022,"USA","Gas Price",4.7533368102096
2024,"USA","Gas Usage (Quads)",8.81570497887986
2024,"USA","Coal Usage (Quads)",13.5517917055449
2024,"USA","Coal Price",2.28715308949328
2024,"USA","Gas Price",5.38340469220781
2026,"USA","Gas Usage (Quads)",9.41357847887523
2026,"USA","Coal Usage (Quads)",12.5940192979546
2026,"USA","Coal Price",2.28475467358448
2026,"USA","Gas Price",5.50339023005979
2028,"USA","Gas Usage (Quads)",9.67443840717324
2028,"USA","Coal Usage (Quads)",11.7835294088377
2028,"USA","Coal Price",2.26884508200012
2028,"USA","Gas Price",5.43961551303319
2030,"USA","Gas Usage (Quads)",10.1086537492153
2030,"USA","Coal Usage (Quads)",10.8645881482045
2030,"USA","Coal Price",2.25016936272249
2030,"USA","Gas Price",5.50644684964765
2032,"USA","Gas Usage (Quads)",10.6960672495053
2032,"USA","Coal Usage (Quads)",10.3570215561192
2032,"USA","Coal Price",2.25046016646416
2032,"USA","Gas Price",5.58549851435888
2034,"USA","Gas Usage (Quads)",11.6476397084073
2034,"USA","Coal Usage (Quads)",9.82343083718436
2034,"USA","Coal Price",2.26375195619467
2034,"USA","Gas Price",5.7110196231296
2036,"USA","Gas Usage (Quads)",12.3199217408269
2036,"USA","Coal Usage (Quads)",9.4486509807467
2036,"USA","Coal Price",2.27250158887803
2036,"USA","Gas Price",5.81151035046651
2038,"USA","Gas Usage (Quads)",12.8678792810034
2038,"USA","Coal Usage (Quads)",9.14098371713296
2038,"USA","Coal Price",2.29260109585347
2038,"USA","Gas Price",5.83051431566573
2040,"USA","Gas Usage (Quads)",13.4401904896321
2040,"USA","Coal Usage (Quads)",8.82529840629465
2040,"USA","Coal Price",2.30637758457511
2040,"USA","Gas Price",5.89702756346315
2042,"USA","Gas Usage (Quads)",13.8049121333051
2042,"USA","Coal Usage (Quads)",8.61937525821918
2042,"USA","Coal Price",2.30515863176702
2042,"USA","Gas Price",5.99566772929159
2044,"USA","Gas Usage (Quads)",14.1705761687224
2044,"USA","Coal Usage (Quads)",8.41346001909717
2044,"USA","Coal Price",2.30947623227109
2044,"USA","Gas Price",6.08638984081634
2046,"USA","Gas Usage (Quads)",15.3921433453017
2046,"USA","Coal Usage (Quads)",7.72305442009745
2046,"USA","Coal Price",2.31514089454945
2046,"USA","Gas Price",6.36100485566736
2048,"USA","Gas Usage (Quads)",16.6025420357252
2048,"USA","Coal Usage (Quads)",7.04702827904488
2048,"USA","Coal Price",2.31273401326147
2048,"USA","Gas Price",6.6635055691788
2050,"USA","Gas Usage (Quads)",17.6691680500637
2050,"USA","Coal Usage (Quads)",6.06822049883392
2050,"USA","Coal Price",2.30420164419669
2050,"USA","Gas Price",6.92779030378174
