"time","country","type","value"
2010,"USA","Gas Usage (Quads)",6.616684011475
2010,"USA","Coal Usage (Quads)",20.205159273507
2010,"USA","Coal Price",2.46021714619961
2010,"USA","Gas Price",5.41831979617874
2012,"USA","Gas Usage (Quads)",8.40090681362024
2012,"USA","Coal Usage (Quads)",15.4838567479107
2012,"USA","Coal Price",2.4278790965772
2012,"USA","Gas Price",3.66946052461582
2014,"USA","Gas Usage (Quads)",8.02049910780869
2014,"USA","Coal Usage (Quads)",16.5233410446149
2014,"USA","Coal Price",2.35360853432612
2014,"USA","Gas Price",5.20769939628205
2016,"USA","Gas Usage (Quads)",10.5131460761938
2016,"USA","Coal Usage (Quads)",11.5453759763387
2016,"USA","Coal Price",2.09821299438705
2016,"USA","Gas Price",3.93652394460468
2018,"USA","Gas Usage (Quads)",7.19979811140249
2018,"USA","Coal Usage (Quads)",15.0244535806521
2018,"USA","Coal Price",2.21930242050267
2018,"USA","Gas Price",4.58253858915116
2020,"USA","Gas Usage (Quads)",4.55222695104785
2020,"USA","Coal Usage (Quads)",17.0670929288945
2020,"USA","Coal Price",2.33123076635403
2020,"USA","Gas Price",5.49868118961005
2022,"USA","Gas Usage (Quads)",4.52898063297767
2022,"USA","Coal Usage (Quads)",16.9972869110598
2022,"USA","Coal Price",2.32660379148879
2022,"USA","Gas Price",6.15770014391435
2024,"USA","Gas Usage (Quads)",5.18388122394566
2024,"USA","Coal Usage (Quads)",15.5549224614919
2024,"USA","Coal Price",2.32958183673474
2024,"USA","Gas Price",6.80914289122746
2026,"USA","Gas Usage (Quads)",4.69792426646797
2026,"USA","Coal Usage (Quads)",15.190361486461
2026,"USA","Coal Price",2.33041314251697
2026,"USA","Gas Price",6.93536716571806
2028,"USA","Gas Usage (Quads)",4.31818708236158
2028,"USA","Coal Usage (Quads)",14.7519014175885
2028,"USA","Coal Price",2.30888392483925
2028,"USA","Gas Price",6.7843689174031
2030,"USA","Gas Usage (Quads)",3.74128262158482
2030,"USA","Coal Usage (Quads)",14.4137579665638
2030,"USA","Coal Price",2.28387393709907
2030,"USA","Gas Price",6.71824729599894
2032,"USA","Gas Usage (Quads)",3.56101921507885
2032,"USA","Coal Usage (Quads)",14.3556843150689
2032,"USA","Coal Price",2.30184729887013
2032,"USA","Gas Price",7.09543037422712
2034,"USA","Gas Usage (Quads)",3.81271268971134
2034,"USA","Coal Usage (Quads)",14.2154107135392
2034,"USA","Coal Price",2.32947305412961
2034,"USA","Gas Price",7.46597305044103
2036,"USA","Gas Usage (Quads)",3.98486100153736
2036,"USA","Coal Usage (Quads)",14.1166780127916
2036,"USA","Coal Price",2.35259281839821
2036,"USA","Gas Price",7.86159850060034
2038,"USA","Gas Usage (Quads)",4.24709486771374
2038,"USA","Coal Usage (Quads)",13.9682796942802
2038,"USA","Coal Price",2.38150991977069
2038,"USA","Gas Price",8.17984228677884
2040,"USA","Gas Usage (Quads)",4.57142510453594
2040,"USA","Coal Usage (Quads)",13.7877662827788
2040,"USA","Coal Price",2.40687043311976
2040,"USA","Gas Price",8.17882582419902
2042,"USA","Gas Usage (Quads)",5.07827289482583
2042,"USA","Coal Usage (Quads)",13.4936308185262
2042,"USA","Coal Price",2.40997398625235
2042,"USA","Gas Price",8.31742212645525
2044,"USA","Gas Usage (Quads)",5.82111590957325
2044,"USA","Coal Usage (Quads)",13.0765172080928
2044,"USA","Coal Price",2.4071888976459
2044,"USA","Gas Price",8.51263519111239
2046,"USA","Gas Usage (Quads)",7.19316161836923
2046,"USA","Coal Usage (Quads)",12.0414174146599
2046,"USA","Coal Price",2.40624460176025
2046,"USA","Gas Price",8.81625882539062
2048,"USA","Gas Usage (Quads)",8.15367085190254
2048,"USA","Coal Usage (Quads)",10.4882518814588
2048,"USA","Coal Price",2.39807662091305
2048,"USA","Gas Price",9.07599538554089
2050,"USA","Gas Usage (Quads)",8.91719050119509
2050,"USA","Coal Usage (Quads)",9.19780255788734
2050,"USA","Coal Price",2.40241153876136
2050,"USA","Gas Price",9.27096743993829
