"time","type","value"
2010,"consumption",1529.56801666901
2010,"withdrawal",45926.7511715462
2012,"consumption",1383.65411659653
2012,"withdrawal",37960.0759729628
2014,"consumption",1407.60499832181
2014,"withdrawal",38836.7388313319
2016,"consumption",1251.71254097188
2016,"withdrawal",31096.4333767914
2018,"consumption",1350.69249155592
2018,"withdrawal",34005.5940467916
2020,"consumption",1372.38730053219
2020,"withdrawal",36138.8571759235
2022,"consumption",1373.44781051483
2022,"withdrawal",35880.2189349253
2024,"consumption",1318.62217577835
2024,"withdrawal",34650.5804975802
2026,"consumption",1290.45156083341
2026,"withdrawal",34022.972698749
2028,"consumption",1255.12636343105
2028,"withdrawal",33665.6660757636
2030,"consumption",1239.0887798429
2030,"withdrawal",32088.1481945295
2032,"consumption",1221.00401826339
2032,"withdrawal",31178.3758957065
2034,"consumption",1204.79769285861
2034,"withdrawal",26665.8570215651
2036,"consumption",1193.9757980566
2036,"withdrawal",23749.0346539059
2038,"consumption",1181.92513767338
2038,"withdrawal",21837.4318745771
2040,"consumption",1175.52726940781
2040,"withdrawal",20922.4512113303
2042,"consumption",1149.27920300529
2042,"withdrawal",19587.3907374162
2044,"consumption",1125.81833284934
2044,"withdrawal",17173.3109807702
2046,"consumption",1055.54881180771
2046,"withdrawal",12344.4565354474
2048,"consumption",955.079965989551
2048,"withdrawal",9167.00467042427
2050,"consumption",889.758137751219
2050,"withdrawal",6949.87785525674
