"time","type","value"
2010,"consumption",1534.31759135602
2010,"withdrawal",45855.1888334891
2012,"consumption",1388.26293835173
2012,"withdrawal",38079.7285519092
2014,"consumption",1410.75942108618
2014,"withdrawal",38996.1774909246
2016,"consumption",1251.42815438243
2016,"withdrawal",31443.0161997328
2018,"consumption",1286.7695155702
2018,"withdrawal",32359.3932323167
2020,"consumption",1296.03556627275
2020,"withdrawal",33091.5127486763
2022,"consumption",1316.44512372071
2022,"withdrawal",33305.3684703174
2024,"consumption",1317.08541436627
2024,"withdrawal",33666.0390986903
2026,"consumption",1284.6974245741
2026,"withdrawal",32575.9359645483
2028,"consumption",1253.65324356518
2028,"withdrawal",31499.210967921
2030,"consumption",1231.76221245702
2030,"withdrawal",29695.5661894506
2032,"consumption",1203.36354173972
2032,"withdrawal",28058.3129194864
2034,"consumption",1180.23247781282
2034,"withdrawal",23052.6970059514
2036,"consumption",1158.78357680668
2036,"withdrawal",19699.5577411983
2038,"consumption",1133.23398979312
2038,"withdrawal",17516.371267329
2040,"consumption",1123.31547634585
2040,"withdrawal",16545.4541453198
2042,"consumption",1097.33123845121
2042,"withdrawal",15229.8696199466
2044,"consumption",1066.47847933072
2044,"withdrawal",13614.2962626231
2046,"consumption",1010.0324306873
2046,"withdrawal",9253.02355495153
2048,"consumption",938.909078209856
2048,"withdrawal",7248.84013600308
2050,"consumption",876.097819480878
2050,"withdrawal",5340.34231434787
