"gid","time","tech","value"
"AL",2010,"Nuclear",0.281714791579409
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0152812235198326
"AL",2010,"NG-CT",0.00110574767705137
"AL",2010,"CSP",0
"AL",2010,"Rooftop PV",7.92296880271909e-07
"AL",2010,"Land-based Wind",5.91537554844871e-07
"AL",2010,"Coal",0.188751258490282
"AL",2010,"Geothermal",0
"AL",2010,"NG-CC",0.442874842950596
"AL",2010,"Utility PV",0
"AL",2010,"Hydro",0.0702707519483942
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Land-based Wind",5.59487278112571e-07
"AL",2012,"Geothermal",0
"AL",2012,"Rooftop PV",8.85429498859246e-07
"AL",2012,"NG-CC",0.58153005607247
"AL",2012,"Nuclear",0.318001764575569
"AL",2012,"Coal",0.0200800565654641
"AL",2012,"NG-CT",0.00124817625125855
"AL",2012,"Biopower",0.0172495594460494
"AL",2012,"Hydro",0.0618889421724123
"AL",2012,"CSP",0
"AL",2012,"Utility PV",0
"AL",2014,"Imports",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0814131667207627
"AL",2014,"CSP",0
"AL",2014,"Rooftop PV",1.40418655902215e-06
"AL",2014,"Biopower",0.013342592834157
"AL",2014,"Nuclear",0.307507451049644
"AL",2014,"Geothermal",0
"AL",2014,"NG-CT",0.000868660117624386
"AL",2014,"Utility PV",0
"AL",2014,"Land-based Wind",5.4102374877299e-07
"AL",2014,"Coal",0.0505383076804569
"AL",2014,"NG-CC",0.546327876387047
"AL",2016,"Imports",0
"AL",2016,"Geothermal",0
"AL",2016,"Rooftop PV",2.04172114938205e-06
"AL",2016,"Nuclear",0.314182088780306
"AL",2016,"Coal",0.0310577667615482
"AL",2016,"NG-CT",0.00123645162469051
"AL",2016,"NG-CC",0.574520232895133
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Hydro",0.0643408854177945
"AL",2016,"CSP",0
"AL",2016,"Utility PV",0.00102777804159069
"AL",2016,"Biopower",0.0136322019907864
"AL",2016,"Land-based Wind",5.52767000893934e-07
"AL",2018,"NG-CT",0.00131955301248436
"AL",2018,"Hydro",0.0701390245044636
"AL",2018,"Nuclear",0.335366093433684
"AL",2018,"Imports",0
"AL",2018,"Biopower",0.0145513652426754
"AL",2018,"Utility PV",0.00108462432603487
"AL",2018,"Rooftop PV",3.17858071702281e-06
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Land-based Wind",6.50651007697915e-05
"AL",2018,"Geothermal",0
"AL",2018,"NG-CC",0.537038492198834
"AL",2018,"Coal",0.0404326036003368
"AL",2018,"CSP",0
"AL",2020,"Rooftop PV",4.44091254330728e-06
"AL",2020,"NG-CT",0.00100222907144437
"AL",2020,"Utility PV",0.00114152640169399
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Geothermal",0
"AL",2020,"Coal",0.107210621845544
"AL",2020,"Land-based Wind",0.00239624532182357
"AL",2020,"NG-CC",0.442215704940014
"AL",2020,"CSP",0
"AL",2020,"Hydro",0.0744758299204852
"AL",2020,"Imports",0
"AL",2020,"Biopower",0.0154510988794175
"AL",2020,"Nuclear",0.356102302707034
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"NG-CC",0.428520669697793
"AL",2022,"Utility PV",0.00116031332703898
"AL",2022,"Coal",0.108978362362345
"AL",2022,"Land-based Wind",0.00242817550701933
"AL",2022,"Imports",0
"AL",2022,"NG-CT",0.00102885431802987
"AL",2022,"Rooftop PV",5.16777783352745e-06
"AL",2022,"CSP",0
"AL",2022,"Nuclear",0.365562526810864
"AL",2022,"Geothermal",0
"AL",2022,"Hydro",0.0764543569786102
"AL",2022,"Biopower",0.0158615732204666
"AL",2024,"Rooftop PV",5.58466170297902e-06
"AL",2024,"Utility PV",0.00112793550799083
"AL",2024,"Nuclear",0.358928899582671
"AL",2024,"Coal",0.219580168521305
"AL",2024,"Land-based Wind",0.00229713456287387
"AL",2024,"NG-CT",0.00101018436277634
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Biopower",0.0155737434888056
"AL",2024,"Geothermal",0
"AL",2024,"CSP",0
"AL",2024,"NG-CC",0.326409360203248
"AL",2024,"Hydro",0.0750669891086269
"AL",2024,"Imports",0
"AL",2026,"Utility PV",0.00109924954955734
"AL",2026,"CSP",0
"AL",2026,"Coal",0.221688559016535
"AL",2026,"Nuclear",0.353171227156008
"AL",2026,"Rooftop PV",6.1512489427246e-06
"AL",2026,"Imports",0
"AL",2026,"Biopower",0.0153239209931256
"AL",2026,"Land-based Wind",0.00234922387965178
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0738628198877982
"AL",2026,"NG-CT",0.00105187521891491
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"NG-CC",0.331446973049466
"AL",2028,"Nuclear",0.354263282012269
"AL",2028,"Rooftop PV",6.96109061254785e-06
"AL",2028,"CSP",0
"AL",2028,"Utility PV",0.00109164960940207
"AL",2028,"Coal",0.169284817958322
"AL",2028,"Imports",0
"AL",2028,"Land-based Wind",0.00236747177794557
"AL",2028,"Hydro",0.074091214063069
"AL",2028,"Biopower",0.0153713047012274
"AL",2028,"Geothermal",0
"AL",2028,"NG-CC",0.382478837548812
"AL",2028,"NG-CT",0.00104446123834003
"AL",2028,"Oil-Gas-Steam",0
"AL",2030,"Rooftop PV",8.59838344746139e-06
"AL",2030,"Utility PV",0.00117782475691245
"AL",2030,"CSP",0
"AL",2030,"Biopower",0.0167647312715357
"AL",2030,"Land-based Wind",0.00260790054684739
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.082440459980434
"AL",2030,"Imports",0
"AL",2030,"NG-CT",0.00114205802688221
"AL",2030,"Nuclear",0.386377658744461
"AL",2030,"Coal",0.142017312597789
"AL",2030,"NG-CC",0.367463455691691
"AL",2030,"Oil-Gas-Steam",0
"AL",2032,"Rooftop PV",1.16363307665333e-05
"AL",2032,"CSP",0
"AL",2032,"Utility PV",0.00207433320583977
"AL",2032,"Geothermal",0
"AL",2032,"Imports",0
"AL",2032,"Land-based Wind",0.00309825373249462
"AL",2032,"Nuclear",0.463443055434347
"AL",2032,"Hydro",0.0988837159707881
"AL",2032,"Biopower",0.0201085598718708
"AL",2032,"NG-CC",0.293569643203297
"AL",2032,"Coal",0.11785474355794
"AL",2032,"NG-CT",0.000956058692656244
"AL",2032,"Oil-Gas-Steam",0
"AL",2034,"Utility PV",0.00278808110058517
