"time","type","value"
2010,"consumption",1529.56801666901
2010,"withdrawal",45926.7511715462
2012,"consumption",1383.65411659653
2012,"withdrawal",37960.0759729628
2014,"consumption",1407.60499832181
2014,"withdrawal",38836.7388313319
2016,"consumption",1251.71254097157
2016,"withdrawal",31096.4333768015
2018,"consumption",1243.07564216036
2018,"withdrawal",30324.139145172
2020,"consumption",1193.22505254881
2020,"withdrawal",29006.7313721504
2022,"consumption",1190.00564872484
2022,"withdrawal",28807.3201881663
2024,"consumption",1192.40605216744
2024,"withdrawal",28895.9672699611
2026,"consumption",1208.82498266065
2026,"withdrawal",29366.9730521424
2028,"consumption",1193.57428184696
2028,"withdrawal",28340.5457066292
2030,"consumption",1183.85716390868
2030,"withdrawal",26642.7931859087
2032,"consumption",1169.67944220483
2032,"withdrawal",24998.5612886579
2034,"consumption",1175.59285366241
2034,"withdrawal",20434.4254493639
2036,"consumption",1163.89473753856
2036,"withdrawal",16958.5007058073
2038,"consumption",1139.90277269612
2038,"withdrawal",14418.3474270394
2040,"consumption",1127.2694143822
2040,"withdrawal",13502.4585583067
2042,"consumption",1097.82197823766
2042,"withdrawal",12245.5545193086
2044,"consumption",1064.3138880152
2044,"withdrawal",10689.5203735303
2046,"consumption",1005.75099641537
2046,"withdrawal",6723.54897714479
2048,"consumption",944.568476867752
2048,"withdrawal",5298.15554653236
2050,"consumption",918.443478602443
2050,"withdrawal",4453.32508483877
