"time","country","type","value"
2010,"USA","Gas Usage (Quads)",6.61668401147541
2010,"USA","Coal Usage (Quads)",20.2051592735079
2010,"USA","Coal Price",2.46021714619959
2010,"USA","Gas Price",5.41831979617872
2012,"USA","Gas Usage (Quads)",8.40090681361896
2012,"USA","Coal Usage (Quads)",15.4838567479088
2012,"USA","Coal Price",2.42787909657734
2012,"USA","Gas Price",3.66946052461514
2014,"USA","Gas Usage (Quads)",8.02049910780901
2014,"USA","Coal Usage (Quads)",16.523341044612
2014,"USA","Coal Price",2.35360853432617
2014,"USA","Gas Price",5.20769939628211
2016,"USA","Gas Usage (Quads)",10.5187990605064
2016,"USA","Coal Usage (Quads)",11.5371166343236
2016,"USA","Coal Price",2.09816514764357
2016,"USA","Gas Price",3.93783121511063
2018,"USA","Gas Usage (Quads)",8.6924114862962
2018,"USA","Coal Usage (Quads)",13.1683917193182
2018,"USA","Coal Price",2.19344461181499
2018,"USA","Gas Price",4.28797408170533
2020,"USA","Gas Usage (Quads)",7.14985921607331
2020,"USA","Coal Usage (Quads)",13.9698180489019
2020,"USA","Coal Price",2.28072124926399
2020,"USA","Gas Price",4.62979406080529
2022,"USA","Gas Usage (Quads)",7.14344393394285
2022,"USA","Coal Usage (Quads)",14.3438732416788
2022,"USA","Coal Price",2.27815469355979
2022,"USA","Gas Price",4.69258073033471
2024,"USA","Gas Usage (Quads)",7.2479015916741
2024,"USA","Coal Usage (Quads)",14.5412869788774
2024,"USA","Coal Price",2.28977506029891
2024,"USA","Gas Price",5.01441845974182
2026,"USA","Gas Usage (Quads)",6.37116921678936
2026,"USA","Coal Usage (Quads)",13.8991850547823
2026,"USA","Coal Price",2.30122715502419
2026,"USA","Gas Price",4.78949544896562
2028,"USA","Gas Usage (Quads)",6.2797950636524
2028,"USA","Coal Usage (Quads)",11.7707027573355
2028,"USA","Coal Price",2.29108718742762
2028,"USA","Gas Price",4.64728586740686
2030,"USA","Gas Usage (Quads)",6.17180814661043
2030,"USA","Coal Usage (Quads)",9.62064857653425
2030,"USA","Coal Price",2.27539008110188
2030,"USA","Gas Price",4.56150744895002
2032,"USA","Gas Usage (Quads)",6.41908654741562
2032,"USA","Coal Usage (Quads)",7.33900939701318
2032,"USA","Coal Price",2.26995829253816
2032,"USA","Gas Price",4.58045749794837
2034,"USA","Gas Usage (Quads)",6.89349698455167
2034,"USA","Coal Usage (Quads)",5.65957567640451
2034,"USA","Coal Price",2.27749862944623
2034,"USA","Gas Price",4.61868075959732
2036,"USA","Gas Usage (Quads)",7.20490649819803
2036,"USA","Coal Usage (Quads)",4.10111564129105
2036,"USA","Coal Price",2.2945877012321
2036,"USA","Gas Price",4.67205286662857
2038,"USA","Gas Usage (Quads)",7.48976665994231
2038,"USA","Coal Usage (Quads)",2.88698050138975
2038,"USA","Coal Price",2.30626757979946
2038,"USA","Gas Price",4.64556138318836
2040,"USA","Gas Usage (Quads)",7.45657682390014
2040,"USA","Coal Usage (Quads)",1.79170068177135
2040,"USA","Coal Price",2.29520679629314
2040,"USA","Gas Price",4.57247154730999
2042,"USA","Gas Usage (Quads)",7.24721443956484
2042,"USA","Coal Usage (Quads)",1.19726678289457
2042,"USA","Coal Price",2.30814426160028
2042,"USA","Gas Price",4.5326395456963
2044,"USA","Gas Usage (Quads)",7.12567824976062
2044,"USA","Coal Usage (Quads)",0.724348654253407
2044,"USA","Coal Price",2.30189219378864
2044,"USA","Gas Price",4.52707270478273
2046,"USA","Gas Usage (Quads)",7.3917919264544
2046,"USA","Coal Usage (Quads)",0.43654432358925
2046,"USA","Coal Price",2.3326993845444
2046,"USA","Gas Price",4.58906406281954
2048,"USA","Gas Usage (Quads)",7.4084294754317
2048,"USA","Coal Usage (Quads)",0.307954131505349
2048,"USA","Coal Price",2.37661353289941
2048,"USA","Gas Price",4.60419935216195
2050,"USA","Gas Usage (Quads)",7.4642052744473
2050,"USA","Coal Usage (Quads)",0.294524276674734
2050,"USA","Coal Price",2.38258671293714
2050,"USA","Gas Price",4.60821263343364
