"gid","time","tech","value"
"AL",2010,"Nuclear",0.281714791579409
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0152812235198326
"AL",2010,"NG-CT",0.00110574767705137
"AL",2010,"CSP",0
"AL",2010,"Rooftop PV",7.92296880271909e-07
"AL",2010,"Land-based Wind",5.91537554844871e-07
"AL",2010,"Coal",0.188751258490282
"AL",2010,"Geothermal",0
"AL",2010,"NG-CC",0.442874842950596
"AL",2010,"Utility PV",0
"AL",2010,"Hydro",0.0702707519483942
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Land-based Wind",5.59487278112571e-07
"AL",2012,"Geothermal",0
"AL",2012,"Rooftop PV",8.85429498859246e-07
"AL",2012,"NG-CC",0.58153005607247
"AL",2012,"Nuclear",0.318001764575569
"AL",2012,"Coal",0.0200800565654641
"AL",2012,"NG-CT",0.00124817625125855
"AL",2012,"Biopower",0.0172495594460494
"AL",2012,"Hydro",0.0618889421724123
"AL",2012,"CSP",0
"AL",2012,"Utility PV",0
"AL",2014,"Imports",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0814131667207627
"AL",2014,"CSP",0
"AL",2014,"Rooftop PV",1.40418655902215e-06
"AL",2014,"Biopower",0.013342592834157
"AL",2014,"Nuclear",0.307507451049644
"AL",2014,"Geothermal",0
"AL",2014,"NG-CT",0.000868660117624386
"AL",2014,"Utility PV",0
"AL",2014,"Land-based Wind",5.4102374877299e-07
"AL",2014,"Coal",0.0505383076804569
"AL",2014,"NG-CC",0.546327876387047
"AL",2016,"Imports",0
"AL",2016,"Geothermal",0
"AL",2016,"Rooftop PV",2.04172114938205e-06
"AL",2016,"Nuclear",0.314182088780306
"AL",2016,"Coal",0.0310577667615482
"AL",2016,"NG-CT",0.00123645162469051
"AL",2016,"NG-CC",0.574520232895133
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Hydro",0.0643408854177945
"AL",2016,"CSP",0
"AL",2016,"Utility PV",0.00102777804159069
"AL",2016,"Biopower",0.0136322019907864
"AL",2016,"Land-based Wind",5.52767000893934e-07
"AL",2018,"NG-CT",0.000932874704351426
"AL",2018,"Hydro",0.069322093918382
"AL",2018,"Nuclear",0.331459982375022
"AL",2018,"Imports",0
"AL",2018,"Biopower",0.014381881058657
"AL",2018,"Utility PV",0.00107230694210171
"AL",2018,"Rooftop PV",3.14209562392302e-06
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Land-based Wind",6.43164784637922e-05
"AL",2018,"Geothermal",0
"AL",2018,"NG-CC",0.526837006807046
"AL",2018,"Coal",0.0559263956203528
"AL",2018,"CSP",0
"AL",2020,"Rooftop PV",4.32530282760874e-06
"AL",2020,"NG-CT",0.000976142111622333
"AL",2020,"Utility PV",0.00111177021197949
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Geothermal",0
"AL",2020,"Coal",0.125018130319572
"AL",2020,"Land-based Wind",0.00233663185821432
"AL",2020,"NG-CC",0.436133436551513
"AL",2020,"CSP",0
"AL",2020,"Hydro",0.0725373030525218
"AL",2020,"Imports",0
"AL",2020,"Biopower",0.0150489231621508
"AL",2020,"Nuclear",0.346833337429598
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"NG-CC",0.414376402426822
"AL",2022,"Utility PV",0.00110998678654256
"AL",2022,"Coal",0.142718533355111
"AL",2022,"Land-based Wind",0.00231187408022294
"AL",2022,"Imports",0
"AL",2022,"NG-CT",0.00137289214079695
"AL",2022,"Rooftop PV",4.94401441729744e-06
"AL",2022,"CSP",0
"AL",2022,"Nuclear",0.349776021539546
"AL",2022,"Geothermal",0
"AL",2022,"Hydro",0.0731527409185962
"AL",2022,"Biopower",0.0151766047379453
"AL",2024,"Rooftop PV",5.37576475925857e-06
"AL",2024,"Utility PV",0.00108561717339228
"AL",2024,"Nuclear",0.345485136825453
"AL",2024,"Coal",0.249586301516182
"AL",2024,"Land-based Wind",0.002269056064402
"AL",2024,"NG-CT",0.0013560501575326
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Biopower",0.0149904254195482
"AL",2024,"Geothermal",0
"AL",2024,"CSP",0
"AL",2024,"NG-CC",0.312966698950697
"AL",2024,"Hydro",0.0722553381280334
"AL",2024,"Imports",0
"AL",2026,"Utility PV",0.00106884813473665
"AL",2026,"CSP",0
"AL",2026,"Coal",0.227624959716424
"AL",2026,"Nuclear",0.343403731499945
"AL",2026,"Rooftop PV",5.98123434218429e-06
"AL",2026,"Imports",0
"AL",2026,"Biopower",0.0149001142947728
"AL",2026,"Land-based Wind",0.00229462274622958
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.071820029544405
"AL",2026,"NG-CT",0.000840164339078763
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"NG-CC",0.338041548490067
"AL",2028,"Nuclear",0.367868495695044
"AL",2028,"Rooftop PV",7.2288300933311e-06
"AL",2028,"CSP",0
"AL",2028,"Utility PV",0.00113357365211366
"AL",2028,"Coal",0.23040239559905
"AL",2028,"Imports",0
"AL",2028,"Land-based Wind",0.00246186978013349
"AL",2028,"Hydro",0.0784912049417105
"AL",2028,"Biopower",0.0159616280445199
"AL",2028,"Geothermal",0
"AL",2028,"NG-CC",0.302903023840181
"AL",2028,"NG-CT",0.000770579617154848
"AL",2028,"Oil-Gas-Steam",0
"AL",2030,"Rooftop PV",8.74724323531425e-06
"AL",2030,"Utility PV",0.00119857366754714
"AL",2030,"CSP",0
"AL",2030,"Biopower",0.0170469264035342
"AL",2030,"Land-based Wind",0.0026455482058424
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0838281527569766
"AL",2030,"Imports",0
"AL",2030,"NG-CT",0.000944458472983759
"AL",2030,"Nuclear",0.392881425052708
"AL",2030,"Coal",0.271115186468056
"AL",2030,"NG-CC",0.230330981729117
"AL",2030,"Oil-Gas-Steam",0
"AL",2032,"Rooftop PV",9.80492109254325e-06
"AL",2032,"CSP",0
"AL",2032,"Utility PV",0.0011788161764838
"AL",2032,"Geothermal",0
"AL",2032,"Imports",0
"AL",2032,"Land-based Wind",0.00263481037897987
"AL",2032,"Nuclear",0.390636930080744
"AL",2032,"Hydro",0.0833492503315267
"AL",2032,"Biopower",0.0169495389014525
"AL",2032,"NG-CC",0.249816174912413
"AL",2032,"Coal",0.254642435717654
"AL",2032,"NG-CT",0.000782238579653173
"AL",2032,"Oil-Gas-Steam",0
"AL",2034,"Utility PV",0.00112231228586637
