"time","type","value"
2010,"consumption",1529.61010924964
2010,"withdrawal",45925.1185807399
2012,"consumption",1383.65411659654
2012,"withdrawal",37960.0759729628
2014,"consumption",1407.60499832206
2014,"withdrawal",38836.7388313161
2016,"consumption",1251.78462473038
2016,"withdrawal",31057.6932434922
2018,"consumption",1293.93687565806
2018,"withdrawal",31908.6283702371
2020,"consumption",1290.11207265041
2020,"withdrawal",32656.7010510051
2022,"consumption",1309.38691614297
2022,"withdrawal",32655.8842311827
2024,"consumption",1289.3971209656
2024,"withdrawal",32207.0635884504
2026,"consumption",1250.10993332908
2026,"withdrawal",31115.6995961213
2028,"consumption",1206.28001451968
2028,"withdrawal",29935.8918795346
2030,"consumption",1167.41596844057
2030,"withdrawal",28101.1536590576
2032,"consumption",1162.57891125614
2032,"withdrawal",27060.207589245
2034,"consumption",1177.21293353218
2034,"withdrawal",23709.2602283039
2036,"consumption",1164.28361710626
2036,"withdrawal",20484.0603553248
2038,"consumption",1138.83035500242
2038,"withdrawal",18042.9563999856
2040,"consumption",1130.70626688631
2040,"withdrawal",16978.5617660408
2042,"consumption",1102.35389939465
2042,"withdrawal",15816.6257891041
2044,"consumption",1074.53454272643
2044,"withdrawal",13794.9850919606
2046,"consumption",1019.10892868379
2046,"withdrawal",9264.26475634337
2048,"consumption",933.239505662589
2048,"withdrawal",7070.78723024318
2050,"consumption",868.127435357456
2050,"withdrawal",5063.30463730549
