"gid","time","value","type"
"AL",2010,1884.08550276032,"withdrawal"
"AL",2012,1299.51286716208,"withdrawal"
"AL",2014,1393.79893167162,"withdrawal"
"AL",2016,1299.36112909679,"withdrawal"
"AL",2018,1381.91752972278,"withdrawal"
"AL",2020,1523.59691523163,"withdrawal"
"AL",2022,1556.56644024772,"withdrawal"
"AL",2024,1581.54311377786,"withdrawal"
"AL",2026,1513.17672514894,"withdrawal"
"AL",2028,1480.94026056797,"withdrawal"
"AL",2030,1457.58567916072,"withdrawal"
"AL",2032,1415.83845800898,"withdrawal"
"AL",2034,990.214594769867,"withdrawal"
"AL",2036,587.459783404205,"withdrawal"
"AL",2038,173.900472882303,"withdrawal"
"AL",2040,147.784341313977,"withdrawal"
"AL",2042,120.880110657529,"withdrawal"
"AL",2044,89.6763416213885,"withdrawal"
"AL",2046,108.533608158819,"withdrawal"
"AL",2048,55.4309814540466,"withdrawal"
"AL",2050,55.7347729455021,"withdrawal"
"AR",2010,73.5471801074189,"withdrawal"
"AR",2012,71.2819638721496,"withdrawal"
"AR",2014,72.9221756145006,"withdrawal"
"AR",2016,37.6068460631186,"withdrawal"
"AR",2018,60.5832116472914,"withdrawal"
"AR",2020,59.8063975481043,"withdrawal"
"AR",2022,60.4308460600108,"withdrawal"
"AR",2024,62.85819838537,"withdrawal"
"AR",2026,62.0227205962818,"withdrawal"
"AR",2028,56.9354238432521,"withdrawal"
"AR",2030,55.9505345204284,"withdrawal"
"AR",2032,54.078670608825,"withdrawal"
"AR",2034,48.3509390079692,"withdrawal"
"AR",2036,49.0473775668183,"withdrawal"
"AR",2038,37.5662604288579,"withdrawal"
"AR",2040,24.9892011030646,"withdrawal"
"AR",2042,22.1944312385632,"withdrawal"
"AR",2044,22.9408176786481,"withdrawal"
"AR",2046,23.2453834376333,"withdrawal"
"AR",2048,25.3523495680304,"withdrawal"
"AR",2050,25.0785698579528,"withdrawal"
"AZ",2010,88.9863141480237,"withdrawal"
"AZ",2012,90.0367635911117,"withdrawal"
"AZ",2014,78.2975637118602,"withdrawal"
"AZ",2016,86.331757928965,"withdrawal"
"AZ",2018,90.2307730817564,"withdrawal"
"AZ",2020,85.2607622142132,"withdrawal"
"AZ",2022,83.9964054306349,"withdrawal"
"AZ",2024,71.1822331971434,"withdrawal"
"AZ",2026,69.1391388354894,"withdrawal"
"AZ",2028,65.3567096935246,"withdrawal"
"AZ",2030,63.006365110644,"withdrawal"
"AZ",2032,63.0117166250841,"withdrawal"
"AZ",2034,63.5059510137823,"withdrawal"
"AZ",2036,64.1980393020728,"withdrawal"
"AZ",2038,64.2390805894529,"withdrawal"
"AZ",2040,65.2921676568945,"withdrawal"
"AZ",2042,65.9977330015997,"withdrawal"
"AZ",2044,66.0573179252456,"withdrawal"
"AZ",2046,51.5371722040962,"withdrawal"
"AZ",2048,44.4099900800744,"withdrawal"
"AZ",2050,39.030694579314,"withdrawal"
"CA",2010,1856.43859566058,"withdrawal"
"CA",2012,1813.83105761838,"withdrawal"
"CA",2014,1075.49275713424,"withdrawal"
"CA",2016,1075.29033617219,"withdrawal"
"CA",2018,1066.02239328212,"withdrawal"
"CA",2020,1062.2605484403,"withdrawal"
"CA",2022,1056.98100369218,"withdrawal"
"CA",2024,1059.22907594231,"withdrawal"
"CA",2026,1059.27980206006,"withdrawal"
"CA",2028,1046.60697991314,"withdrawal"
"CA",2030,1048.0950872891,"withdrawal"
"CA",2032,1025.66000731003,"withdrawal"
