"gid","time","tech","value"
"AL",2010,"Nuclear",0.281714791579409
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0152812235198326
"AL",2010,"NG-CT",0.00110574767705137
"AL",2010,"CSP",0
"AL",2010,"Rooftop PV",7.92296880271909e-07
"AL",2010,"Land-based Wind",5.91537554844871e-07
"AL",2010,"Coal",0.188751258490282
"AL",2010,"Geothermal",0
"AL",2010,"NG-CC",0.442874842950596
"AL",2010,"Utility PV",0
"AL",2010,"Hydro",0.0702707519483942
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Land-based Wind",5.59487278112571e-07
"AL",2012,"Geothermal",0
"AL",2012,"Rooftop PV",8.85429498859246e-07
"AL",2012,"NG-CC",0.58153005607247
"AL",2012,"Nuclear",0.318001764575569
"AL",2012,"Coal",0.0200800565654641
"AL",2012,"NG-CT",0.00124817625125855
"AL",2012,"Biopower",0.0172495594460494
"AL",2012,"Hydro",0.0618889421724123
"AL",2012,"CSP",0
"AL",2012,"Utility PV",0
"AL",2014,"Imports",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0814131667207627
"AL",2014,"CSP",0
"AL",2014,"Rooftop PV",1.40418655902215e-06
"AL",2014,"Biopower",0.013342592834157
"AL",2014,"Nuclear",0.307507451049644
"AL",2014,"Geothermal",0
"AL",2014,"NG-CT",0.000868660117624386
"AL",2014,"Utility PV",0
"AL",2014,"Land-based Wind",5.4102374877299e-07
"AL",2014,"Coal",0.0505383076804569
"AL",2014,"NG-CC",0.546327876387047
"AL",2016,"Imports",0
"AL",2016,"Geothermal",0
"AL",2016,"Rooftop PV",2.04172114938205e-06
"AL",2016,"Nuclear",0.314182088780306
"AL",2016,"Coal",0.0310577667615482
"AL",2016,"NG-CT",0.00123645162469051
"AL",2016,"NG-CC",0.574520232895133
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Hydro",0.0643408854177945
"AL",2016,"CSP",0
"AL",2016,"Utility PV",0.00102777804159069
"AL",2016,"Biopower",0.0136322019907864
"AL",2016,"Land-based Wind",5.52767000893934e-07
"AL",2018,"NG-CT",0.000931640168958778
"AL",2018,"Hydro",0.0692303553622442
"AL",2018,"Nuclear",0.3310213392458
"AL",2018,"Imports",0
"AL",2018,"Biopower",0.0143628485550454
"AL",2018,"Utility PV",0.00107088788671771
"AL",2018,"Rooftop PV",3.13793747895809e-06
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Land-based Wind",6.42313641728551e-05
"AL",2018,"Geothermal",0
"AL",2018,"NG-CC",0.527463174993259
"AL",2018,"Coal",0.0558523844863233
"AL",2018,"CSP",0
"AL",2020,"Rooftop PV",4.32177080436404e-06
"AL",2020,"NG-CT",0.000975338608164478
"AL",2020,"Utility PV",0.00111086286207944
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Geothermal",0
"AL",2020,"Coal",0.126316115393316
"AL",2020,"Land-based Wind",0.00233511834256661
"AL",2020,"NG-CC",0.435196268317327
"AL",2020,"CSP",0
"AL",2020,"Hydro",0.0724775945601495
"AL",2020,"Imports",0
"AL",2020,"Biopower",0.0150365357631708
"AL",2020,"Nuclear",0.346547844382422
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"NG-CC",0.416523876719214
"AL",2022,"Utility PV",0.00111490749363189
"AL",2022,"Coal",0.138595499115684
"AL",2022,"Land-based Wind",0.00233203535317485
"AL",2022,"Imports",0
"AL",2022,"NG-CT",0.00137898519701992
"AL",2022,"Rooftop PV",4.96595989415836e-06
"AL",2022,"CSP",0
"AL",2022,"Nuclear",0.351328368516671
"AL",2022,"Geothermal",0
"AL",2022,"Hydro",0.0734774013562489
"AL",2022,"Biopower",0.015243960288461
"AL",2024,"Rooftop PV",5.43519983487263e-06
"AL",2024,"Utility PV",0.00109762570588001
"AL",2024,"Nuclear",0.349305190362625
"AL",2024,"Coal",0.200875511079067
"AL",2024,"Land-based Wind",0.00229331588901162
"AL",2024,"NG-CT",0.00137104409981464
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Biopower",0.0151561756112173
"AL",2024,"Geothermal",0
"AL",2024,"CSP",0
"AL",2024,"NG-CC",0.356841431552109
"AL",2024,"Hydro",0.0730542705004409
"AL",2024,"Imports",0
"AL",2026,"Utility PV",0.00108608109380731
"AL",2026,"CSP",0
"AL",2026,"Coal",0.133830211861333
"AL",2026,"Nuclear",0.349177591223464
"AL",2026,"Rooftop PV",6.07956600981619e-06
"AL",2026,"Imports",0
"AL",2026,"Biopower",0.0151506391490796
"AL",2026,"Land-based Wind",0.00235417978696036
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0730275842035147
"AL",2026,"NG-CT",0.00085429054270898
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"NG-CC",0.424513342573122
"AL",2028,"Nuclear",0.368522153309155
"AL",2028,"Rooftop PV",7.2390929348021e-06
"AL",2028,"CSP",0
"AL",2028,"Utility PV",0.00228022407006354
"AL",2028,"Coal",0.138162921366742
"AL",2028,"Imports",0
"AL",2028,"Land-based Wind",0.00248683529930086
"AL",2028,"Hydro",0.0786306742747774
"AL",2028,"Biopower",0.0159899899179257
"AL",2028,"Geothermal",0
"AL",2028,"NG-CC",0.393148013825605
"AL",2028,"NG-CT",0.000771948843495039
"AL",2028,"Oil-Gas-Steam",0
"AL",2030,"Rooftop PV",1.02275013759132e-05
"AL",2030,"Utility PV",0.00430414708417518
"AL",2030,"CSP",0
"AL",2030,"Biopower",0.0199320087284631
"AL",2030,"Land-based Wind",0.00308994436453777
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0980155268398763
"AL",2030,"Imports",0
"AL",2030,"NG-CT",0.00129288141612759
"AL",2030,"Nuclear",0.459374071784465
"AL",2030,"Coal",0.162196702279567
"AL",2030,"NG-CC",0.251784490001412
"AL",2030,"Oil-Gas-Steam",0
"AL",2032,"Rooftop PV",1.10047867839616e-05
"AL",2032,"CSP",0
"AL",2032,"Utility PV",0.0040655560651415
"AL",2032,"Geothermal",0
"AL",2032,"Imports",0
"AL",2032,"Land-based Wind",0.00295410331182465
"AL",2032,"Nuclear",0.438318161172718
"AL",2032,"Hydro",0.093522878476666
"AL",2032,"Biopower",0.0190184034122797
"AL",2032,"NG-CC",0.341080201366461
"AL",2032,"Coal",0.0999964156719056
"AL",2032,"NG-CT",0.00103327573621944
"AL",2032,"Oil-Gas-Steam",0
"AL",2034,"Utility PV",0.00387415991009256
