"time","type","value"
2010,"price",106.16244689134
2012,"price",105.926090278969
2014,"price",111.754991883348
2016,"price",109.747760027224
2018,"price",108.821663621377
2020,"price",108.173504944748
2022,"price",107.654608879295
2024,"price",108.517193700922
2026,"price",111.354666056577
2028,"price",112.752111356187
2030,"price",113.441280495866
2032,"price",112.979917440412
2034,"price",112.974683639603
2036,"price",114.009372964018
2038,"price",114.592792601181
2040,"price",113.647243617882
2042,"price",112.997541878063
2044,"price",113.158560024307
2046,"price",113.920893951558
2048,"price",113.554573653819
2050,"price",114.493138559408
2010,"comp_p",106.16244689134
2012,"comp_p",94.0272049323083
2014,"comp_p",106.965036484658
2016,"comp_p",95.3299211800521
2018,"comp_p",97.3429343393515
2020,"comp_p",101.434145555974
2022,"comp_p",101.399467204856
2024,"comp_p",109.328741407594
2026,"comp_p",117.413548778256
2028,"comp_p",127.485201087438
2030,"comp_p",127.610970709189
2032,"comp_p",126.412783842981
2034,"comp_p",127.582117637634
2036,"comp_p",128.270387772066
2038,"comp_p",129.067585121428
2040,"comp_p",128.060385336537
2042,"comp_p",128.474358617935
2044,"comp_p",127.818623804026
2046,"comp_p",129.882496885516
2048,"comp_p",129.422260153884
2050,"comp_p",130.331704821735
