"gid","time","value","type"
"AL",2010,1884.08580164521,"withdrawal"
"AL",2012,1299.52050092077,"withdrawal"
"AL",2014,1393.41229759383,"withdrawal"
"AL",2016,1299.36113242474,"withdrawal"
"AL",2018,1378.31078337728,"withdrawal"
"AL",2020,1500.01672494049,"withdrawal"
"AL",2022,1532.30140473347,"withdrawal"
"AL",2024,1602.78632371671,"withdrawal"
"AL",2026,1514.34344492217,"withdrawal"
"AL",2028,1511.23339285238,"withdrawal"
"AL",2030,1498.7682384856,"withdrawal"
"AL",2032,1429.89199721954,"withdrawal"
"AL",2034,1400.29882081131,"withdrawal"
"AL",2036,1377.2831655908,"withdrawal"
"AL",2038,1356.147590902,"withdrawal"
"AL",2040,1327.40990077165,"withdrawal"
"AL",2042,1306.53340770762,"withdrawal"
"AL",2044,1272.50624538128,"withdrawal"
"AL",2046,1302.25624911322,"withdrawal"
"AL",2048,1227.90512570251,"withdrawal"
"AL",2050,1227.2474700215,"withdrawal"
"AR",2010,73.5493693567752,"withdrawal"
"AR",2012,71.2716766754348,"withdrawal"
"AR",2014,72.9194293966513,"withdrawal"
"AR",2016,37.6459869644163,"withdrawal"
"AR",2018,60.6011254331577,"withdrawal"
"AR",2020,59.8857977797769,"withdrawal"
"AR",2022,59.8916793939093,"withdrawal"
"AR",2024,67.8445926173131,"withdrawal"
"AR",2026,64.6721438804376,"withdrawal"
"AR",2028,55.8906134162621,"withdrawal"
"AR",2030,58.5428663686507,"withdrawal"
"AR",2032,55.8889214460866,"withdrawal"
"AR",2034,56.3229529016287,"withdrawal"
"AR",2036,57.8251032745168,"withdrawal"
"AR",2038,58.9760999474079,"withdrawal"
"AR",2040,56.6502828103397,"withdrawal"
"AR",2042,53.6303541636328,"withdrawal"
"AR",2044,54.2972572356914,"withdrawal"
"AR",2046,64.1391358869746,"withdrawal"
"AR",2048,65.5552902412917,"withdrawal"
"AR",2050,65.2036014390817,"withdrawal"
"AZ",2010,88.9980639000342,"withdrawal"
"AZ",2012,90.0386806231467,"withdrawal"
"AZ",2014,78.3137780123156,"withdrawal"
"AZ",2016,86.195477512385,"withdrawal"
"AZ",2018,90.208910326795,"withdrawal"
"AZ",2020,85.035788480292,"withdrawal"
"AZ",2022,83.9313322627396,"withdrawal"
"AZ",2024,71.1200253968973,"withdrawal"
"AZ",2026,68.8850889801446,"withdrawal"
"AZ",2028,65.9733358558959,"withdrawal"
"AZ",2030,64.5464492216902,"withdrawal"
"AZ",2032,64.3314978613092,"withdrawal"
"AZ",2034,66.6458399813962,"withdrawal"
"AZ",2036,68.7850471464181,"withdrawal"
"AZ",2038,68.3567863284997,"withdrawal"
"AZ",2040,69.1260348395009,"withdrawal"
"AZ",2042,70.5302683881789,"withdrawal"
"AZ",2044,70.4243127441723,"withdrawal"
"AZ",2046,72.782272125636,"withdrawal"
"AZ",2048,73.3284238778702,"withdrawal"
"AZ",2050,69.0510089002684,"withdrawal"
"CA",2010,1856.28650503934,"withdrawal"
"CA",2012,1813.75553648811,"withdrawal"
"CA",2014,1075.4661455474,"withdrawal"
"CA",2016,1075.07595038694,"withdrawal"
"CA",2018,1065.63101862593,"withdrawal"
"CA",2020,1056.25463010028,"withdrawal"
"CA",2022,1056.23185902033,"withdrawal"
"CA",2024,1058.62109385838,"withdrawal"
"CA",2026,1057.88545528163,"withdrawal"
"CA",2028,1046.06352990202,"withdrawal"
"CA",2030,1045.582176695,"withdrawal"
"CA",2032,1026.64241701895,"withdrawal"
"CA",2034,1017.11976890923,"withdrawal"
"CA",2036,1016.51564952395,"withdrawal"
"CA",2038,1015.64469652501,"withdrawal"
"CA",2040,1019.08032352557,"withdrawal"
"CA",2042,1012.90668524111,"withdrawal"
"CA",2044,998.949437386591,"withdrawal"
"CA",2046,1001.80330296629,"withdrawal"
"CA",2048,989.70374550205,"withdrawal"
"CA",2050,971.720994887136,"withdrawal"
"CO",2010,78.1686284705652,"withdrawal"
"CO",2012,74.8808871439412,"withdrawal"
"CO",2014,74.4941266079033,"withdrawal"
"CO",2016,73.1476618172794,"withdrawal"
"CO",2018,56.2656735623445,"withdrawal"
"CO",2020,51.1563908783037,"withdrawal"
"CO",2022,52.9352605301651,"withdrawal"
"CO",2024,53.2442311498379,"withdrawal"
"CO",2026,53.8111117590146,"withdrawal"
"CO",2028,50.0437177131589,"withdrawal"
"CO",2030,47.5348475471418,"withdrawal"
"CO",2032,48.6816166905314,"withdrawal"
"CO",2034,53.4831674639452,"withdrawal"
"CO",2036,53.8229522885733,"withdrawal"
"CO",2038,53.4457453878038,"withdrawal"
"CO",2040,52.650773048679,"withdrawal"
"CO",2042,53.8761313005711,"withdrawal"
"CO",2044,51.5572665220309,"withdrawal"
"CO",2046,53.4236571383947,"withdrawal"
"CO",2048,51.4026294746752,"withdrawal"
"CO",2050,48.9046449098775,"withdrawal"
"CT",2010,832.081998229593,"withdrawal"
"CT",2012,741.482386140179,"withdrawal"
"CT",2014,848.016423814117,"withdrawal"
"CT",2016,755.697169520096,"withdrawal"
"CT",2018,755.040585543921,"withdrawal"
"CT",2020,759.178847015167,"withdrawal"
"CT",2022,798.58384476034,"withdrawal"
"CT",2024,782.48582004874,"withdrawal"
"CT",2026,755.229785841241,"withdrawal"
"CT",2028,751.403357075327,"withdrawal"
"CT",2030,741.455946106211,"withdrawal"
"CT",2032,742.342765477155,"withdrawal"
"CT",2034,742.733154557972,"withdrawal"
"CT",2036,742.612681434046,"withdrawal"
"CT",2038,742.575741292724,"withdrawal"
"CT",2040,742.438303203966,"withdrawal"
"CT",2042,742.409711607769,"withdrawal"
"CT",2044,742.340889732502,"withdrawal"
"CT",2046,742.440642933223,"withdrawal"
"CT",2048,743.161486132928,"withdrawal"
"CT",2050,743.198278175975,"withdrawal"
"DE",2010,65.1348789513971,"withdrawal"
"DE",2012,26.5338236831595,"withdrawal"
"DE",2014,3.32665813872694,"withdrawal"
"DE",2016,3.08976946021127,"withdrawal"
"DE",2018,3.53179598967213,"withdrawal"
"DE",2020,3.21831257579163,"withdrawal"
"DE",2022,3.33801498759193,"withdrawal"
"DE",2024,3.28555070755571,"withdrawal"
"DE",2026,3.57885203314842,"withdrawal"
"DE",2028,3.65236322230971,"withdrawal"
"DE",2030,3.59663867105948,"withdrawal"
"DE",2032,3.47257322276064,"withdrawal"
"DE",2034,3.45822248790717,"withdrawal"
"DE",2036,3.4703339848584,"withdrawal"
"DE",2038,3.50149025131549,"withdrawal"
"DE",2040,3.44889060438954,"withdrawal"
"DE",2042,3.57443467555471,"withdrawal"
"DE",2044,3.65379573330177,"withdrawal"
"DE",2046,3.73402549997533,"withdrawal"
"DE",2048,3.65814810990872,"withdrawal"
"DE",2050,3.56633432502776,"withdrawal"
"FL",2010,2397.2829339235,"withdrawal"
"FL",2012,2073.48974663811,"withdrawal"
"FL",2014,2271.36409230953,"withdrawal"
"FL",2016,2202.09486434654,"withdrawal"
"FL",2018,2068.13696309763,"withdrawal"
"FL",2020,2059.25807628871,"withdrawal"
"FL",2022,2054.20206691874,"withdrawal"
"FL",2024,2103.05694115637,"withdrawal"
"FL",2026,2072.05175838277,"withdrawal"
"FL",2028,2063.38872390781,"withdrawal"
"FL",2030,1996.96943168242,"withdrawal"
"FL",2032,1937.21553786981,"withdrawal"
"FL",2034,1848.78850241227,"withdrawal"
"FL",2036,1716.01631698066,"withdrawal"
"FL",2038,1698.1919978836,"withdrawal"
"FL",2040,1683.85454933184,"withdrawal"
"FL",2042,1674.05377062582,"withdrawal"
"FL",2044,1698.45238353718,"withdrawal"
"FL",2046,1591.27204268054,"withdrawal"
"FL",2048,1434.89633638837,"withdrawal"
"FL",2050,1399.37948111039,"withdrawal"
"GA",2010,606.761553093722,"withdrawal"
"GA",2012,192.723702544789,"withdrawal"
"GA",2014,314.314499476515,"withdrawal"
"GA",2016,96.1013538627012,"withdrawal"
"GA",2018,126.047611890952,"withdrawal"
"GA",2020,195.40001992868,"withdrawal"
"GA",2022,199.39758086731,"withdrawal"
"GA",2024,202.495538385527,"withdrawal"
"GA",2026,184.011018799957,"withdrawal"
"GA",2028,172.616050589618,"withdrawal"
"GA",2030,165.776119485366,"withdrawal"
"GA",2032,163.050449286017,"withdrawal"
"GA",2034,143.329356304555,"withdrawal"
"GA",2036,115.11611639346,"withdrawal"
"GA",2038,107.375387579883,"withdrawal"
"GA",2040,104.194388949415,"withdrawal"
"GA",2042,102.233639453591,"withdrawal"
"GA",2044,111.32136255593,"withdrawal"
"GA",2046,112.804659956928,"withdrawal"
"GA",2048,109.13007802036,"withdrawal"
"GA",2050,98.4372212700384,"withdrawal"
"IA",2010,945.919328318963,"withdrawal"
"IA",2012,905.335513498954,"withdrawal"
"IA",2014,875.821499535862,"withdrawal"
"IA",2016,633.567853607706,"withdrawal"
"IA",2018,636.656517823392,"withdrawal"
"IA",2020,596.056969481709,"withdrawal"
"IA",2022,707.263801434557,"withdrawal"
"IA",2024,715.371347975778,"withdrawal"
"IA",2026,677.896547228844,"withdrawal"
"IA",2028,639.859442652402,"withdrawal"
"IA",2030,569.454564408708,"withdrawal"
"IA",2032,482.642170757097,"withdrawal"
"IA",2034,487.546016440183,"withdrawal"
"IA",2036,439.359060202041,"withdrawal"
"IA",2038,403.695531695335,"withdrawal"
"IA",2040,343.438553199846,"withdrawal"
"IA",2042,348.154779597,"withdrawal"
"IA",2044,421.876419232299,"withdrawal"
"IA",2046,525.487873259625,"withdrawal"
"IA",2048,529.298599813607,"withdrawal"
"IA",2050,393.285320588146,"withdrawal"
"ID",2010,0.260149148796289,"withdrawal"
"ID",2012,0.474446695864615,"withdrawal"
"ID",2014,1.27466491423969,"withdrawal"
"ID",2016,0.768392639665372,"withdrawal"
"ID",2018,0.593492447215569,"withdrawal"
"ID",2020,0.588368959830172,"withdrawal"
"ID",2022,0.623807656312143,"withdrawal"
"ID",2024,0.598936005042005,"withdrawal"
"ID",2026,0.989917303048768,"withdrawal"
"ID",2028,1.03485475611809,"withdrawal"
"ID",2030,0.999790830089712,"withdrawal"
"ID",2032,1.21759657102533,"withdrawal"
"ID",2034,1.61843499307626,"withdrawal"
"ID",2036,1.81862725576345,"withdrawal"
"ID",2038,2.04375013470391,"withdrawal"
"ID",2040,2.27466782299309,"withdrawal"
"ID",2042,2.93685855339747,"withdrawal"
"ID",2044,2.89451513553341,"withdrawal"
"ID",2046,3.18302078942083,"withdrawal"
"ID",2048,3.55685876535878,"withdrawal"
"ID",2050,3.44816617256787,"withdrawal"
"IL",2010,3094.77837040974,"withdrawal"
"IL",2012,2247.26154324515,"withdrawal"
"IL",2014,2472.87694240757,"withdrawal"
"IL",2016,1788.08441292953,"withdrawal"
"IL",2018,1443.93226815051,"withdrawal"
"IL",2020,1616.32165908211,"withdrawal"
"IL",2022,1599.20753426097,"withdrawal"
"IL",2024,1617.81033547198,"withdrawal"
"IL",2026,1605.51268751178,"withdrawal"
"IL",2028,1492.22946888163,"withdrawal"
"IL",2030,1412.90835365195,"withdrawal"
"IL",2032,1395.17232952589,"withdrawal"
"IL",2034,1315.36888288431,"withdrawal"
"IL",2036,1306.74467992394,"withdrawal"
"IL",2038,1299.03929947949,"withdrawal"
"IL",2040,1147.08061355661,"withdrawal"
"IL",2042,1028.05451049318,"withdrawal"
"IL",2044,931.082063801369,"withdrawal"
"IL",2046,882.939028168708,"withdrawal"
"IL",2048,694.961851915523,"withdrawal"
"IL",2050,576.17652980968,"withdrawal"
"IN",2010,1607.22722467952,"withdrawal"
"IN",2012,1048.48806915977,"withdrawal"
"IN",2014,1505.12192180705,"withdrawal"
"IN",2016,885.955305342619,"withdrawal"
"IN",2018,913.534763708985,"withdrawal"
"IN",2020,1056.02170656022,"withdrawal"
"IN",2022,1428.63587486653,"withdrawal"
"IN",2024,1424.09572830643,"withdrawal"
"IN",2026,1416.95400335971,"withdrawal"
"IN",2028,1392.2094766587,"withdrawal"
"IN",2030,1143.28944894801,"withdrawal"
