"time","type","value"
2010,"price",106.16244689134
2012,"price",105.726064170645
2014,"price",110.754950286504
2016,"price",108.728737214371
2018,"price",108.069936031396
2020,"price",108.323484952771
2022,"price",111.388977495854
2024,"price",116.590341539222
2026,"price",117.021027466609
2028,"price",118.074834966691
2030,"price",119.476208120693
2032,"price",119.414836607223
2034,"price",119.654367487539
2036,"price",120.335138256691
2038,"price",120.23576817713
2040,"price",119.365400718942
2042,"price",117.484343512206
2044,"price",116.469369845782
2046,"price",116.666653772091
2048,"price",118.674473376644
2050,"price",119.890606733414
2010,"comp_p",106.16244689134
2012,"comp_p",94.0405760411001
2014,"comp_p",106.820620148711
2016,"comp_p",95.3506879088778
2018,"comp_p",98.7556891548132
2020,"comp_p",105.013256981047
2022,"comp_p",111.071113503679
2024,"comp_p",124.545258516449
2026,"comp_p",127.671444958244
2028,"comp_p",132.314335394603
2030,"comp_p",141.85918278023
2032,"comp_p",140.415774368043
2034,"comp_p",139.915022161092
2036,"comp_p",141.34256201018
2038,"comp_p",142.415831316395
2040,"comp_p",140.680805355678
2042,"comp_p",139.999662145252
2044,"comp_p",138.051131047089
2046,"comp_p",140.141827423251
2048,"comp_p",141.809556447584
2050,"comp_p",142.989094717943
