"time","tech","value"
2010,"Nuclear",100.9359945
2010,"Coal",310.140557490317
2010,"Oil-Gas-Steam",107.044663
2010,"NG-CC",206.608353858517
2010,"NG-CT",135.847126
2010,"Hydro",75.873188
2010,"Geothermal",2.50691
2010,"Biopower",6.91822
2010,"Land-based Wind",39.72323
2010,"CSP",0.48414
2010,"Utility PV",0.69852
2010,"Rooftop PV",1.04195406146384
2010,"Storage",22.24305
2012,"Nuclear",102.092324738588
2012,"Coal",304.447108444427
2012,"Oil-Gas-Steam",98.927716
2012,"NG-CC",221.586134107049
2012,"NG-CT",142.650049082962
2012,"Hydro",75.96487
2012,"Geothermal",2.65331
2012,"Biopower",7.313649
2012,"Land-based Wind",58.295475
2012,"CSP",0.550187
2012,"Utility PV",3.29592454545455
2012,"Rooftop PV",3.69807674167427
2012,"Storage",22.24305
2014,"Nuclear",98.3569788181855
2014,"Coal",296.577466
2014,"Oil-Gas-Steam",92.998501
2014,"NG-CC",234.316146073962
2014,"NG-CT",145.092033015417
2014,"Hydro",76.29487
2014,"Geothermal",2.74211
2014,"Biopower",7.830401
2014,"Land-based Wind",64.886171
2014,"CSP",1.714187
2014,"Utility PV",9.11294545454545
2014,"Rooftop PV",6.7498440608511
2014,"Storage",22.24305
2016,"Nuclear",99.618528147127
2016,"Coal",277.133066
2016,"Oil-Gas-Steam",92.883631
2016,"NG-CC",243.700646073962
2016,"NG-CT",144.323856568959
2016,"Hydro",77.589038644
2016,"Geothermal",2.958244
2016,"Biopower",7.863367
2016,"Land-based Wind",82.3240195510209
2016,"CSP",1.824187
2016,"Utility PV",17.4894555636364
2016,"Rooftop PV",11.6729951417606
2016,"Storage",22.24305
2018,"Nuclear",98.566028147127
2018,"Coal",266.195934
2018,"Oil-Gas-Steam",75.768519
2018,"NG-CC",258.976446073962
2018,"NG-CT",143.449333568959
2018,"Hydro",78.660714644
2018,"Geothermal",3.858244
2018,"Biopower",7.835267
2018,"Land-based Wind",112.460024977455
2018,"CSP",1.82633021752272
2018,"Utility PV",19.6687424435674
2018,"Rooftop PV",19.0753721022872
2018,"Storage",22.2439277547849
2020,"Nuclear",97.178528147127
2020,"Coal",262.623934
