time,type,value
2010,price,106.1624469
2012,price,105.7276184
2014,price,110.7568723
2016,price,108.6949711
2018,price,107.644414
2020,price,107.0775655
2022,price,106.822281
2024,price,105.9900563
2026,price,106.9038378
2028,price,107.6139825
2030,price,109.138012
2032,price,107.9260105
2034,price,107.6174608
2036,price,107.6302845
2038,price,107.8287754
2040,price,107.4819073
2042,price,107.3276215
2044,price,107.1733357
2046,price,107.9095212
2048,price,108.7134752
2050,price,109.9274802
2010,comp_p,106.1624469
2012,comp_p,94.04057604
2014,comp_p,106.8206201
2016,comp_p,95.3321517
2018,comp_p,96.97910611
2020,comp_p,99.50122402
2022,comp_p,99.65968186
2024,comp_p,104.6467215
2026,comp_p,109.3511928
2028,comp_p,119.9684107
2030,comp_p,120.0817581
2032,comp_p,117.9043244
2034,comp_p,117.8343557
2036,comp_p,117.866564
2038,comp_p,118.1352663
2040,comp_p,117.9588857
2042,comp_p,118.3962519
2044,comp_p,118.2603296
2046,comp_p,119.5120849
2048,comp_p,120.7304575
2050,comp_p,121.0562429
