"time","tech","value"
2010,"Nuclear",797.901458986368
2010,"Coal",1897.84415612897
2010,"Oil-Gas-Steam",17.8835264138131
2010,"NG-CC",811.072811593195
2010,"NG-CT",6.2268068538295
2010,"Hydro",266.695683683919
2010,"Imports",25.70137
2010,"Geothermal",18.6666473087312
2010,"Biopower",38.9076836320679
2010,"Land-based Wind",104.39264844
2010,"CSP",1.24339704728839
2010,"Utility PV",1.72426173540152
2010,"Rooftop PV",1.97915963674832
2010,"Storage",-0.718804553086603
2010,"Curtailment",-0.0450409607613839
2012,"Nuclear",803.263675802331
2012,"Coal",1473.52394536739
2012,"Oil-Gas-Steam",9.84562219523849
2012,"NG-CC",1061.16604773137
2012,"NG-CT",6.03611007689645
2012,"Hydro",297.594086014862
2012,"Imports",46.97782
2012,"Geothermal",19.7558183920578
2012,"Biopower",38.9704725976159
2012,"Land-based Wind",153.0806483975
2012,"CSP",1.39582635787057
2012,"Utility PV",7.88402454489989
2012,"Rooftop PV",6.39416039362621
2012,"Storage",-0.485532884186654
2012,"Curtailment",-0.376623180514706
2014,"Nuclear",777.514278125248
2014,"Coal",1576.3245966892
2014,"Oil-Gas-Steam",10.0373639678297
2014,"NG-CC",1022.35571155297
2014,"NG-CT",5.29197727489109
2014,"Hydro",265.158994092331
2014,"Imports",46.3699
2014,"Geothermal",20.417964845864
2014,"Biopower",43.2238758400469
2014,"Land-based Wind",180.531273681048
2014,"CSP",4.70526141496886
2014,"Utility PV",22.1977291587317
2014,"Rooftop PV",11.7614610691863
2014,"Storage",-0.106588978685782
2014,"Curtailment",-0.155100131314316
2016,"Nuclear",787.486855847715
2016,"Coal",1112.32313224535
2016,"Oil-Gas-Steam",7.36225277892532
2016,"NG-CC",1345.84900177235
2016,"NG-CT",5.68826646419195
2016,"Hydro",277.445209162867
2016,"Imports",48.574
2016,"Geothermal",22.0273154605352
2016,"Biopower",43.1364508435666
2016,"Land-based Wind",252.553936490128
2016,"CSP",5.12765069057154
2016,"Utility PV",41.2149822303782
2016,"Rooftop PV",20.4942487757929
2016,"Storage",-0.1691774864092
2016,"Curtailment",-2.00594469208567
2018,"Nuclear",779.166818087715
2018,"Coal",1219.56296932336
2018,"Oil-Gas-Steam",5.39407161328412
2018,"NG-CC",1116.02355783216
2018,"NG-CT",5.61511648649253
2018,"Hydro",281.746280228164
2018,"Imports",38.028
2018,"Geothermal",28.7287856281352
2018,"Biopower",43.0782361415012
2018,"Land-based Wind",428.525039213412
2018,"CSP",5.13473918834072
2018,"Utility PV",49.7956230792523
2018,"Rooftop PV",34.5832140957361
2018,"Storage",-0.219219130255379
2018,"Curtailment",-7.03878807641192
2020,"Nuclear",768.198597287715
2020,"Coal",1207.62218769686
2020,"Oil-Gas-Steam",3.09367114160322
2020,"NG-CC",903.886853781425
2020,"NG-CT",5.7094972844306
2020,"Hydro",281.747973420491
2020,"Imports",37.249
2020,"Geothermal",43.8070935052352
2020,"Biopower",44.0256737260009
2020,"Land-based Wind",669.71330230454
2020,"CSP",5.13385498113318
2020,"Utility PV",67.1683332538863
2020,"Rooftop PV",56.0328788952773
2020,"Storage",-0.39874098850362
2020,"Curtailment",-21.5857917858868
2022,"Nuclear",768.198597287715
2022,"Coal",1226.4974121415
2022,"Oil-Gas-Steam",1.32773456277548
2022,"NG-CC",899.141509565115
2022,"NG-CT",5.83248591479379
2022,"Hydro",281.747973420491
2022,"Imports",40.313
2022,"Geothermal",43.8070919722752
2022,"Biopower",44.2423862205811
2022,"Land-based Wind",665.373415673162
2022,"CSP",5.12785987161915
2022,"Utility PV",97.5868227507501
2022,"Rooftop PV",76.4736176641087
2022,"Storage",-0.83892435768895
2022,"Curtailment",-36.2272640833567
2024,"Nuclear",768.198597287715
2024,"Coal",1324.67646423646
2024,"Oil-Gas-Steam",0.430788766553841
2024,"NG-CC",820.436567923179
2024,"NG-CT",5.77162454315576
2024,"Hydro",284.68083984397
2024,"Imports",42.967
