"gid","time","tech","value"
"AL",2010,"Nuclear",0.281714791579408
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0152812235198325
"AL",2010,"NG-CT",0.00110574767705137
"AL",2010,"CSP",0
"AL",2010,"Rooftop PV",7.92296880271907e-07
"AL",2010,"Land-based Wind",5.91537554844869e-07
"AL",2010,"Coal",0.188751258490303
"AL",2010,"Geothermal",0
"AL",2010,"NG-CC",0.442874842950576
"AL",2010,"Utility PV",0
"AL",2010,"Hydro",0.0702707519483939
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Land-based Wind",5.59487278112559e-07
"AL",2012,"Geothermal",0
"AL",2012,"Rooftop PV",8.85429498859226e-07
"AL",2012,"NG-CC",0.581530056072457
"AL",2012,"Nuclear",0.318001764575561
"AL",2012,"Coal",0.020080056565486
"AL",2012,"NG-CT",0.00124817625125853
"AL",2012,"Biopower",0.017249559446049
"AL",2012,"Hydro",0.0618889421724109
"AL",2012,"CSP",0
"AL",2012,"Utility PV",0
"AL",2014,"Imports",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0814131667208093
"AL",2014,"CSP",0
"AL",2014,"Rooftop PV",1.40418655902296e-06
"AL",2014,"Biopower",0.0133425928341647
"AL",2014,"Nuclear",0.30750745104982
"AL",2014,"Geothermal",0
"AL",2014,"NG-CT",0.000868660117624883
"AL",2014,"Utility PV",0
"AL",2014,"Land-based Wind",5.410237487733e-07
"AL",2014,"Coal",0.0505383076799004
"AL",2014,"NG-CC",0.546327876387373
"AL",2016,"Imports",0
"AL",2016,"Geothermal",0
"AL",2016,"Rooftop PV",2.04172114938205e-06
"AL",2016,"Nuclear",0.314182088780306
"AL",2016,"Coal",0.0310577667615482
"AL",2016,"NG-CT",0.00123645162469051
"AL",2016,"NG-CC",0.574520232895133
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Hydro",0.0643408854177945
"AL",2016,"CSP",0
"AL",2016,"Utility PV",0.0010277780415907
"AL",2016,"Biopower",0.0136322019907864
"AL",2016,"Land-based Wind",5.52767000893934e-07
"AL",2018,"NG-CT",0.000931634083185759
"AL",2018,"Hydro",0.0692299031273119
"AL",2018,"Nuclear",0.33101917690802
"AL",2018,"Imports",0
"AL",2018,"Biopower",0.0143627547323023
"AL",2018,"Utility PV",0.00107088089133376
"AL",2018,"Rooftop PV",3.13791698094177e-06
