"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.833842930161
"AL","Coal",2012,2.52893734561648
"AL","Coal",2014,6.58214915668198
"AL","Coal",2016,3.9590544
"AL","Coal",2018,6.75753642652995
"AL","Coal",2020,14.5981636319469
"AL","Coal",2022,15.7993265588842
"AL","Coal",2024,23.0316272740927
"AL","Coal",2026,15.3500738277634
"AL","Coal",2028,15.0151811205431
"AL","Coal",2030,13.9781755222757
"AL","Coal",2032,9.55500014655253
"AL","Coal",2034,4.89845089871886
"AL","Coal",2036,4.19015160263736
"AL","Coal",2038,3.57096130608533
"AL","Coal",2040,2.74358315967033
"AL","Coal",2042,2.14410515182418
"AL","Coal",2044,1.21052915074048
"AL","Coal",2046,2.0482411248
"AL","Coal",2048,0
"AL","Coal",2050,0
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,62.9613496011093
"AL","NG-CC",2012,73.2394887238269
"AL","NG-CC",2014,71.1541746425243
"AL","NG-CC",2016,73.2363300103269
"AL","NG-CC",2018,63.8173580492862
"AL","NG-CC",2020,50.2949787295719
"AL","NG-CC",2022,47.4820379438614
"AL","NG-CC",2024,40.9140905395227
"AL","NG-CC",2026,48.6908827142846
"AL","NG-CC",2028,42.7262870267756
"AL","NG-CC",2030,22.6903079304746
"AL","NG-CC",2032,31.5247230409513
"AL","NG-CC",2034,41.2233869725526
"AL","NG-CC",2036,52.3339623065947
"AL","NG-CC",2038,58.0824452343373
"AL","NG-CC",2040,63.8279663226576
"AL","NG-CC",2042,67.7779652016549
"AL","NG-CC",2044,68.011013779357
"AL","NG-CC",2046,64.7446872933634
"AL","NG-CC",2048,66.440966350393
"AL","NG-CC",2050,63.8733529872498
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.157198737236046
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.157615300633228
"AL","NG-CT",2018,0.112718417236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.157198737236046
"AL","NG-CT",2026,0.09798552
"AL","NG-CT",2028,0.08389336
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.0949819414784499
"AL","NG-CT",2034,0.0953650891928392
"AL","NG-CT",2036,0.0961491104614566
"AL","NG-CT",2038,0.0648366143284827
"AL","NG-CT",2040,0.054126
"AL","NG-CT",2042,0.0258336969890017
"AL","NG-CT",2044,0
"AL","NG-CT",2046,0
"AL","NG-CT",2048,0
"AL","NG-CT",2050,0.00522544673592311
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.37612668616747
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.37612668616747
"AL","Hydro",2028,8.54537385419249
"AL","Hydro",2030,8.54537385419249
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.55867108612406
"AL","Hydro",2038,8.55867108612406
"AL","Hydro",2040,8.55867108612406
"AL","Hydro",2042,8.55867108612406
"AL","Hydro",2044,8.55867108612406
"AL","Hydro",2046,8.55867108612406
"AL","Hydro",2048,8.55867108612406
"AL","Hydro",2050,8.55867108612406
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,2.172456782496
"AL","Biopower",2014,1.737749841696
"AL","Biopower",2016,1.737749841696
