"time","country","type","value"
2010,"USA","Gas Usage (Quads)",6.616684011475
2010,"USA","Coal Usage (Quads)",20.205159273507
2010,"USA","Coal Price",2.46021714619961
2010,"USA","Gas Price",5.41831979617874
2012,"USA","Gas Usage (Quads)",8.40090681362024
2012,"USA","Coal Usage (Quads)",15.4838567479107
2012,"USA","Coal Price",2.4278790965772
2012,"USA","Gas Price",3.66946052461582
2014,"USA","Gas Usage (Quads)",8.02049910780848
2014,"USA","Coal Usage (Quads)",16.5233410446126
2014,"USA","Coal Price",2.35360853432602
2014,"USA","Gas Price",5.20769939628199
2016,"USA","Gas Usage (Quads)",10.5187990604811
2016,"USA","Coal Usage (Quads)",11.5371166343299
2016,"USA","Coal Price",2.09816514764375
2016,"USA","Gas Price",3.93783121510454
2018,"USA","Gas Usage (Quads)",8.60609999512284
2018,"USA","Coal Usage (Quads)",12.6516307836894
2018,"USA","Coal Price",2.18752854409548
2018,"USA","Gas Price",4.26878455053638
2020,"USA","Gas Usage (Quads)",7.02545342643077
2020,"USA","Coal Usage (Quads)",13.334897592634
2020,"USA","Coal Price",2.27315374947173
2020,"USA","Gas Price",4.5976829592646
2022,"USA","Gas Usage (Quads)",6.95123520161786
2022,"USA","Coal Usage (Quads)",13.5692039634032
2022,"USA","Coal Price",2.2692697905293
2022,"USA","Gas Price",4.65272662802998
2024,"USA","Gas Usage (Quads)",6.34449033555962
2024,"USA","Coal Usage (Quads)",14.5507860744493
2024,"USA","Coal Price",2.28553975655951
2024,"USA","Gas Price",4.78436235612643
2026,"USA","Gas Usage (Quads)",6.43984072856358
2026,"USA","Coal Usage (Quads)",14.4950233680597
2026,"USA","Coal Price",2.28446348258409
2026,"USA","Gas Price",4.78135002845621
2028,"USA","Gas Usage (Quads)",6.92571207759051
2028,"USA","Coal Usage (Quads)",13.8091175063098
2028,"USA","Coal Price",2.26065960937925
2028,"USA","Gas Price",4.79125906797558
2030,"USA","Gas Usage (Quads)",7.5511340664207
2030,"USA","Coal Usage (Quads)",12.7862867932951
2030,"USA","Coal Price",2.24519940932579
2030,"USA","Gas Price",4.90240129906584
2032,"USA","Gas Usage (Quads)",8.55938192564094
2032,"USA","Coal Usage (Quads)",11.5395671770153
2032,"USA","Coal Price",2.25379409598471
2032,"USA","Gas Price",5.072227538598
2034,"USA","Gas Usage (Quads)",9.35395722703272
2034,"USA","Coal Usage (Quads)",11.0941981661803
2034,"USA","Coal Price",2.26755641643553
2034,"USA","Gas Price",5.16203907975447
2036,"USA","Gas Usage (Quads)",10.0503125716844
2036,"USA","Coal Usage (Quads)",10.7018120193688
2036,"USA","Coal Price",2.2726942168749
2036,"USA","Gas Price",5.2747117483181
2038,"USA","Gas Usage (Quads)",10.650518480363
2038,"USA","Coal Usage (Quads)",10.3650572290732
2038,"USA","Coal Price",2.29293932822046
2038,"USA","Gas Price",5.30768121776261
2040,"USA","Gas Usage (Quads)",10.9920215853565
2040,"USA","Coal Usage (Quads)",10.1723330078335
2040,"USA","Coal Price",2.30680097630177
2040,"USA","Gas Price",5.31428173996843
2042,"USA","Gas Usage (Quads)",11.4786038932958
2042,"USA","Coal Usage (Quads)",9.89860445307241
2042,"USA","Coal Price",2.3058367203338
2042,"USA","Gas Price",5.44282113761533
2044,"USA","Gas Usage (Quads)",11.9337950317456
2044,"USA","Coal Usage (Quads)",9.64332385330524
2044,"USA","Coal Price",2.31067691457377
2044,"USA","Gas Price",5.55508186095539
2046,"USA","Gas Usage (Quads)",13.0416749045338
2046,"USA","Coal Usage (Quads)",9.02596311491977
2046,"USA","Coal Price",2.32198470136926
2046,"USA","Gas Price",5.80642242326431
2048,"USA","Gas Usage (Quads)",14.0238672309094
2048,"USA","Coal Usage (Quads)",7.84974325277137
2048,"USA","Coal Price",2.31283012962676
2048,"USA","Gas Price",6.05041998786419
2050,"USA","Gas Usage (Quads)",14.5972301605778
2050,"USA","Coal Usage (Quads)",6.65186435009195
2050,"USA","Coal Price",2.30931402071568
2050,"USA","Gas Price",6.18393153911836
