"gid","time","value","type"
"AL",2010,1884.08580164521,"withdrawal"
"AL",2012,1299.52050092077,"withdrawal"
"AL",2014,1393.41229759383,"withdrawal"
"AL",2016,1299.36113242474,"withdrawal"
"AL",2018,1378.26977244959,"withdrawal"
"AL",2020,1499.87040534333,"withdrawal"
"AL",2022,1552.08979260957,"withdrawal"
"AL",2024,1659.77866698343,"withdrawal"
"AL",2026,1669.05019584865,"withdrawal"
"AL",2028,1644.58511497183,"withdrawal"
"AL",2030,1648.46720633704,"withdrawal"
"AL",2032,1639.98291966664,"withdrawal"
"AL",2034,1249.83734997986,"withdrawal"
"AL",2036,869.455441873363,"withdrawal"
"AL",2038,480.058387998659,"withdrawal"
"AL",2040,475.823332272325,"withdrawal"
"AL",2042,525.55529061454,"withdrawal"
"AL",2044,457.95012077353,"withdrawal"
"AL",2046,264.591175701353,"withdrawal"
"AL",2048,74.5759375989055,"withdrawal"
"AL",2050,68.1547144407219,"withdrawal"
"AR",2010,73.5493693567752,"withdrawal"
"AR",2012,71.2716766754348,"withdrawal"
"AR",2014,72.9194293966513,"withdrawal"
"AR",2016,37.6459869644163,"withdrawal"
"AR",2018,60.6858124912588,"withdrawal"
"AR",2020,59.9487830310895,"withdrawal"
"AR",2022,59.8821468602622,"withdrawal"
"AR",2024,76.5232462209329,"withdrawal"
"AR",2026,75.3160676992129,"withdrawal"
"AR",2028,71.9788138708636,"withdrawal"
"AR",2030,70.6608730340036,"withdrawal"
"AR",2032,70.048373701287,"withdrawal"
"AR",2034,65.9961538382884,"withdrawal"
"AR",2036,72.0848365008114,"withdrawal"
"AR",2038,73.3278576534337,"withdrawal"
"AR",2040,65.272574965048,"withdrawal"
"AR",2042,65.3766145765249,"withdrawal"
"AR",2044,65.9068246020556,"withdrawal"
"AR",2046,65.8910655437534,"withdrawal"
"AR",2048,67.402054039499,"withdrawal"
"AR",2050,66.0451050012376,"withdrawal"
"AZ",2010,88.9980639000342,"withdrawal"
"AZ",2012,90.0386806231467,"withdrawal"
"AZ",2014,78.3137780123156,"withdrawal"
"AZ",2016,86.195477512385,"withdrawal"
"AZ",2018,90.1877881467357,"withdrawal"
"AZ",2020,85.0246570001257,"withdrawal"
"AZ",2022,83.9527338913665,"withdrawal"
"AZ",2024,71.2959703685154,"withdrawal"
"AZ",2026,71.8670302263686,"withdrawal"
"AZ",2028,72.3017133706574,"withdrawal"
"AZ",2030,71.6809724358599,"withdrawal"
"AZ",2032,71.6287473674709,"withdrawal"
"AZ",2034,72.7156432696042,"withdrawal"
"AZ",2036,72.6445874167298,"withdrawal"
"AZ",2038,73.0362627113903,"withdrawal"
"AZ",2040,72.7495601287545,"withdrawal"
"AZ",2042,72.6086563273691,"withdrawal"
"AZ",2044,72.9570174574603,"withdrawal"
"AZ",2046,53.1448792641374,"withdrawal"
"AZ",2048,44.200021156929,"withdrawal"
"AZ",2050,39.045993909806,"withdrawal"
"CA",2010,1856.28650503934,"withdrawal"
"CA",2012,1813.75553648811,"withdrawal"
"CA",2014,1075.4661455474,"withdrawal"
"CA",2016,1075.07595038694,"withdrawal"
"CA",2018,1065.71404761521,"withdrawal"
"CA",2020,1056.43770015539,"withdrawal"
"CA",2022,1056.40378002679,"withdrawal"
"CA",2024,1057.4397226637,"withdrawal"
"CA",2026,1057.67560557659,"withdrawal"
"CA",2028,1056.06715291775,"withdrawal"
"CA",2030,1043.1030086543,"withdrawal"
"CA",2032,1041.0507791363,"withdrawal"
"CA",2034,1046.43383749639,"withdrawal"
"CA",2036,1037.7502470711,"withdrawal"
"CA",2038,1039.98375422327,"withdrawal"
"CA",2040,1032.239802755,"withdrawal"
"CA",2042,1013.44487738537,"withdrawal"
"CA",2044,993.157589183399,"withdrawal"
"CA",2046,178.165205301509,"withdrawal"
"CA",2048,164.8990623689,"withdrawal"
"CA",2050,155.050072449537,"withdrawal"
"CO",2010,78.1686284705652,"withdrawal"
"CO",2012,74.8808871439412,"withdrawal"
"CO",2014,74.4941266079033,"withdrawal"
"CO",2016,73.1476618172794,"withdrawal"
"CO",2018,56.2637336614494,"withdrawal"
"CO",2020,51.3171836103104,"withdrawal"
"CO",2022,53.1829036954199,"withdrawal"
"CO",2024,56.1041171802952,"withdrawal"
"CO",2026,56.5764675868383,"withdrawal"
"CO",2028,56.1824454527239,"withdrawal"
"CO",2030,55.7319566785031,"withdrawal"
"CO",2032,56.304456956305,"withdrawal"
"CO",2034,57.0706939448364,"withdrawal"
"CO",2036,57.182051078862,"withdrawal"
"CO",2038,57.6055920016214,"withdrawal"
"CO",2040,56.0391087417149,"withdrawal"
"CO",2042,56.0621475305598,"withdrawal"
"CO",2044,53.3599057149898,"withdrawal"
"CO",2046,53.0421620022083,"withdrawal"
"CO",2048,50.5660539133892,"withdrawal"
"CO",2050,47.8118714433107,"withdrawal"
"CT",2010,832.081998229593,"withdrawal"
"CT",2012,741.482386140179,"withdrawal"
"CT",2014,848.016423814117,"withdrawal"
"CT",2016,755.697169520096,"withdrawal"
"CT",2018,755.04058582722,"withdrawal"
"CT",2020,771.380091813182,"withdrawal"
"CT",2022,798.58384189537,"withdrawal"
"CT",2024,798.666499378564,"withdrawal"
"CT",2026,798.677442107488,"withdrawal"
"CT",2028,783.122577567603,"withdrawal"
"CT",2030,792.902627418054,"withdrawal"
"CT",2032,780.143032983509,"withdrawal"
"CT",2034,780.574524885845,"withdrawal"
"CT",2036,483.113589175911,"withdrawal"
"CT",2038,474.027712899895,"withdrawal"
"CT",2040,466.374009338222,"withdrawal"
"CT",2042,462.173537427667,"withdrawal"
"CT",2044,437.655613052727,"withdrawal"
"CT",2046,8.9622270501474,"withdrawal"
"CT",2048,9.33851130464853,"withdrawal"
"CT",2050,9.33420687869568,"withdrawal"
"DE",2010,65.1348789513971,"withdrawal"
"DE",2012,26.5338236831595,"withdrawal"
"DE",2014,3.32665813872694,"withdrawal"
"DE",2016,3.08976946021127,"withdrawal"
"DE",2018,3.53179598967213,"withdrawal"
"DE",2020,3.22104049916146,"withdrawal"
"DE",2022,3.33484636651385,"withdrawal"
"DE",2024,3.24565326491984,"withdrawal"
"DE",2026,3.24299568561465,"withdrawal"
"DE",2028,3.22290797583183,"withdrawal"
"DE",2030,3.35566242237998,"withdrawal"
"DE",2032,3.49112756012805,"withdrawal"
"DE",2034,3.48738769907792,"withdrawal"
"DE",2036,3.49125132490565,"withdrawal"
"DE",2038,3.40280877262845,"withdrawal"
"DE",2040,3.40659026580393,"withdrawal"
"DE",2042,3.48052339159977,"withdrawal"
"DE",2044,3.39630919196049,"withdrawal"
"DE",2046,3.61043157625898,"withdrawal"
"DE",2048,3.34251136740953,"withdrawal"
"DE",2050,3.26685860776545,"withdrawal"
"FL",2010,2397.2829339235,"withdrawal"
"FL",2012,2073.48974663811,"withdrawal"
"FL",2014,2271.36409230953,"withdrawal"
"FL",2016,2202.09486434654,"withdrawal"
"FL",2018,2068.77179380725,"withdrawal"
"FL",2020,2059.80747857284,"withdrawal"
"FL",2022,2054.81875830436,"withdrawal"
"FL",2024,2141.26870029415,"withdrawal"
"FL",2026,2123.43119461612,"withdrawal"
"FL",2028,2157.38820324677,"withdrawal"
"FL",2030,2048.43346848542,"withdrawal"
"FL",2032,1971.21386326577,"withdrawal"
"FL",2034,1881.49828273324,"withdrawal"
"FL",2036,1474.74860150344,"withdrawal"
"FL",2038,1455.6597713074,"withdrawal"
"FL",2040,1423.41946499939,"withdrawal"
"FL",2042,1359.78259615895,"withdrawal"
"FL",2044,999.823112805689,"withdrawal"
"FL",2046,889.246006244263,"withdrawal"
"FL",2048,656.561819986524,"withdrawal"
"FL",2050,629.940859449453,"withdrawal"
"GA",2010,606.761553093722,"withdrawal"
"GA",2012,192.723702544789,"withdrawal"
"GA",2014,314.314499476515,"withdrawal"
"GA",2016,96.1013538627012,"withdrawal"
"GA",2018,126.045503598279,"withdrawal"
"GA",2020,195.370335941512,"withdrawal"
"GA",2022,199.36718493004,"withdrawal"
"GA",2024,258.592447842929,"withdrawal"
"GA",2026,242.27377029535,"withdrawal"
"GA",2028,226.94160611995,"withdrawal"
"GA",2030,249.286671166667,"withdrawal"
"GA",2032,250.877358626383,"withdrawal"
"GA",2034,251.434510630102,"withdrawal"
"GA",2036,248.380734388981,"withdrawal"
"GA",2038,249.793391541777,"withdrawal"
"GA",2040,245.069186130797,"withdrawal"
"GA",2042,247.227180892185,"withdrawal"
"GA",2044,257.369574895675,"withdrawal"
"GA",2046,115.993865298033,"withdrawal"
"GA",2048,104.676715446874,"withdrawal"
"GA",2050,82.3409568533635,"withdrawal"
"IA",2010,945.919328318963,"withdrawal"
"IA",2012,905.335513498954,"withdrawal"
"IA",2014,875.821499535862,"withdrawal"
"IA",2016,633.567853607706,"withdrawal"
"IA",2018,648.188783954397,"withdrawal"
"IA",2020,593.801991740187,"withdrawal"
"IA",2022,709.632287738293,"withdrawal"
"IA",2024,723.623623736454,"withdrawal"
"IA",2026,711.699822296262,"withdrawal"
"IA",2028,722.412669118115,"withdrawal"
"IA",2030,726.950340674615,"withdrawal"
"IA",2032,727.340950186207,"withdrawal"
"IA",2034,730.061742422762,"withdrawal"
"IA",2036,680.992580396817,"withdrawal"
"IA",2038,672.530112927006,"withdrawal"
"IA",2040,657.461717487532,"withdrawal"
"IA",2042,639.824618885863,"withdrawal"
"IA",2044,606.232601237834,"withdrawal"
"IA",2046,601.133559397169,"withdrawal"
"IA",2048,602.369757361443,"withdrawal"
"IA",2050,471.67821497322,"withdrawal"
"ID",2010,0.260149148796289,"withdrawal"
"ID",2012,0.474446695864615,"withdrawal"
"ID",2014,1.27466491423969,"withdrawal"
"ID",2016,0.768392639665372,"withdrawal"
"ID",2018,0.588706459029562,"withdrawal"
"ID",2020,0.587005406032755,"withdrawal"
"ID",2022,0.634352015017452,"withdrawal"
"ID",2024,0.666121592470368,"withdrawal"
"ID",2026,0.729778996280549,"withdrawal"
"ID",2028,0.879702676728648,"withdrawal"
"ID",2030,0.95005282888312,"withdrawal"
"ID",2032,0.951196499870206,"withdrawal"
"ID",2034,0.89338270356817,"withdrawal"
"ID",2036,0.888479490711916,"withdrawal"
"ID",2038,2.13350866075161,"withdrawal"
"ID",2040,3.14872188942633,"withdrawal"
"ID",2042,2.98736238653898,"withdrawal"
"ID",2044,3.6474867885233,"withdrawal"
"ID",2046,3.35906803199449,"withdrawal"
"ID",2048,3.0933192113011,"withdrawal"
"ID",2050,3.04647595609016,"withdrawal"
"IL",2010,3094.77837040974,"withdrawal"
"IL",2012,2247.26154324515,"withdrawal"
"IL",2014,2472.87694240757,"withdrawal"
"IL",2016,1788.08441292953,"withdrawal"
"IL",2018,1443.38787331432,"withdrawal"
"IL",2020,1619.53911476785,"withdrawal"
"IL",2022,1608.10608142862,"withdrawal"
"IL",2024,1730.63119105342,"withdrawal"
"IL",2026,1832.94379759435,"withdrawal"
"IL",2028,1841.8063693717,"withdrawal"
"IL",2030,1741.17660251766,"withdrawal"
"IL",2032,1722.31136037569,"withdrawal"
"IL",2034,1520.24390694118,"withdrawal"
"IL",2036,1555.76355685235,"withdrawal"
"IL",2038,1457.35388964319,"withdrawal"
"IL",2040,1287.7951324567,"withdrawal"
"IL",2042,1034.58391691917,"withdrawal"
"IL",2044,856.534365817737,"withdrawal"
"IL",2046,802.981097952946,"withdrawal"
"IL",2048,353.323250371391,"withdrawal"
"IL",2050,227.365640805498,"withdrawal"
"IN",2010,1607.22722467952,"withdrawal"
"IN",2012,1048.48806915977,"withdrawal"
"IN",2014,1505.12192180705,"withdrawal"
"IN",2016,885.955305342619,"withdrawal"
"IN",2018,917.920947026402,"withdrawal"
"IN",2020,1058.00902722461,"withdrawal"
"IN",2022,1429.20122126049,"withdrawal"
"IN",2024,1458.89504438816,"withdrawal"
"IN",2026,1485.1882928151,"withdrawal"
"IN",2028,1487.17038503139,"withdrawal"
"IN",2030,1293.80405176273,"withdrawal"
"IN",2032,1287.27311276368,"withdrawal"
