"time","type","value"
2010,"consumption",1529.12446988166
2010,"withdrawal",45928.6536066251
2012,"consumption",1383.06298958339
2012,"withdrawal",37967.0157863888
2014,"consumption",1406.97923128797
2014,"withdrawal",38858.3461367263
2016,"consumption",1252.23824361713
2016,"withdrawal",31099.8653073931
2018,"consumption",1297.72282502216
2018,"withdrawal",32007.9802235154
2020,"consumption",1302.78283634259
2020,"withdrawal",32837.5230734396
2022,"consumption",1325.4598612708
2022,"withdrawal",32903.3392887675
2024,"consumption",1322.03727943936
2024,"withdrawal",32965.812499732
2026,"consumption",1286.43994798648
2026,"withdrawal",32172.6511229105
2028,"consumption",1255.37865894137
2028,"withdrawal",31300.3970101537
2030,"consumption",1231.64911405765
2030,"withdrawal",29567.2069727205
2032,"consumption",1206.97099402894
2032,"withdrawal",27661.6209044294
2034,"consumption",1183.57929804449
2034,"withdrawal",22749.1006757201
2036,"consumption",1161.77567968133
2036,"withdrawal",19448.9074960188
2038,"consumption",1135.87107085596
2038,"withdrawal",17360.1136959195
2040,"consumption",1127.1823972843
2040,"withdrawal",16353.5454937466
2042,"consumption",1097.97340100118
2042,"withdrawal",15284.0912991638
2044,"consumption",1068.00388329046
2044,"withdrawal",13450.4050044646
2046,"consumption",1010.74752127516
2046,"withdrawal",9131.26149230736
2048,"consumption",937.85701431844
2048,"withdrawal",7166.72410623021
2050,"consumption",873.41080075386
2050,"withdrawal",5239.51045041023
