"gid","time","tech","value"
"AL",2010,"Nuclear",0.281714791579408
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0152812235198325
"AL",2010,"NG-CT",0.00110574767705137
"AL",2010,"CSP",0
"AL",2010,"Rooftop PV",7.92296880271907e-07
"AL",2010,"Land-based Wind",5.91537554844869e-07
"AL",2010,"Coal",0.188751258490284
"AL",2010,"Geothermal",0
"AL",2010,"NG-CC",0.442874842950595
"AL",2010,"Utility PV",0
"AL",2010,"Hydro",0.070270751948394
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Land-based Wind",5.60215998256648e-07
"AL",2012,"Geothermal",0
"AL",2012,"Rooftop PV",8.86582751734192e-07
"AL",2012,"NG-CC",0.582287486460657
"AL",2012,"Nuclear",0.318415955033089
"AL",2012,"Coal",0.0188037319191334
"AL",2012,"NG-CT",0.00124980197397511
"AL",2012,"Biopower",0.0172720266261562
"AL",2012,"Hydro",0.0619695511882397
"AL",2012,"CSP",0
"AL",2012,"Utility PV",0
"AL",2014,"Imports",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0814804319667932
"AL",2014,"CSP",0
"AL",2014,"Rooftop PV",1.40534672706585e-06
"AL",2014,"Biopower",0.0133536167609471
"AL",2014,"Nuclear",0.307761520080296
"AL",2014,"Geothermal",0
"AL",2014,"NG-CT",0.000869377822620794
"AL",2014,"Utility PV",0
"AL",2014,"Land-based Wind",5.41470753809588e-07
"AL",2014,"Coal",0.0490925668183734
"AL",2014,"NG-CC",0.547440539733489
"AL",2016,"Imports",0
"AL",2016,"Geothermal",0
"AL",2016,"Rooftop PV",2.04171691009547e-06
"AL",2016,"Nuclear",0.314182151358135
"AL",2016,"Coal",0.0310577729475392
"AL",2016,"NG-CT",0.00123645187096316
"AL",2016,"NG-CC",0.574520152326797
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Hydro",0.0643408982330155
"AL",2016,"CSP",0
"AL",2016,"Utility PV",0.00102777407352257
"AL",2016,"Biopower",0.0136322047060067
"AL",2016,"Land-based Wind",5.52767110992376e-07
"AL",2018,"NG-CT",0.000933003216361035
"AL",2018,"Hydro",0.0693316436698742
"AL",2018,"Nuclear",0.331505644014512
"AL",2018,"Imports",0
"AL",2018,"Biopower",0.0143838622941093
"AL",2018,"Utility PV",0.0010725939960434
"AL",2018,"Rooftop PV",3.14276776635076e-06
