"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,31.3481631744
"AL","Nuclear",2036,22.6233881856
"AL","Nuclear",2038,6.980136192
"AL","Nuclear",2040,6.980136192
"AL","Nuclear",2042,0
"AL","Nuclear",2044,0
"AL","Nuclear",2046,0
"AL","Nuclear",2048,0
"AL","Nuclear",2050,0
"AL","Coal",2010,26.8788234349242
"AL","Coal",2012,6.36743051740707
"AL","Coal",2014,17.2461435621096
"AL","Coal",2016,12.3551630983297
"AL","Coal",2018,11.3707255649603
"AL","Coal",2020,13.6898077125323
"AL","Coal",2022,14.7760922340733
"AL","Coal",2024,20.0888028835254
"AL","Coal",2026,24.2309101627478
"AL","Coal",2028,25.76695664
"AL","Coal",2030,22.2953036164102
"AL","Coal",2032,20.9690071638876
"AL","Coal",2034,20.7018958641758
"AL","Coal",2036,24.5510375600285
"AL","Coal",2038,29.4892841982384
"AL","Coal",2040,30.6078825994816
"AL","Coal",2042,32.5495960820662
"AL","Coal",2044,31.9636928996322
"AL","Coal",2046,28.599909297601
"AL","Coal",2048,23.8411324296
"AL","Coal",2050,17.6011041096
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.1454232729839
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.256307497185
"AL","NG-CC",2016,64.6223934613889
"AL","NG-CC",2018,62.5319098124161
"AL","NG-CC",2020,45.3758616216555
"AL","NG-CC",2022,46.0328912743698
"AL","NG-CC",2024,43.8062203136451
"AL","NG-CC",2026,38.5008160381427
"AL","NG-CC",2028,28.5009668471627
"AL","NG-CC",2030,48.9915302807955
"AL","NG-CC",2032,53.7924377455783
"AL","NG-CC",2034,66.4368413899763
"AL","NG-CC",2036,70.5926981717075
"AL","NG-CC",2038,75.6251569118737
"AL","NG-CC",2040,77.8635532769947
"AL","NG-CC",2042,82.1322675229044
"AL","NG-CC",2044,85.7661470504914
"AL","NG-CC",2046,92.6393014666723
"AL","NG-CC",2048,93.2390700497046
"AL","NG-CC",2050,91.7075808359542
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.175354292118206
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.143427131231655
"AL","NG-CT",2026,0.156577937236046
"AL","NG-CT",2028,0.112718417236046
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.109516667446415
"AL","NG-CT",2034,0.0104941631220658
"AL","NG-CT",2036,0.109106585248119
"AL","NG-CT",2038,0.264572832060379
"AL","NG-CT",2040,0.285890511842341
"AL","NG-CT",2042,0.271991853732268
"AL","NG-CT",2044,0.374555697713571
"AL","NG-CT",2046,1.24228385760074
"AL","NG-CT",2048,2.07659534145235
"AL","NG-CT",2050,3.14309503832385
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.37612668616747
"AL","Hydro",2028,8.51814112319663
"AL","Hydro",2030,8.51814112319663
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.54537385419249
"AL","Hydro",2048,8.61442601099456
"AL","Hydro",2050,8.61442601099456
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.95388620386407
"AL","Biopower",2014,1.737749841696
"AL","Biopower",2016,1.4556470871159
