"time","type","value"
2010,"consumption",1501.00717628767
2010,"withdrawal",44450.6838415687
2012,"consumption",1360.09108694291
2012,"withdrawal",36239.0223440268
2014,"consumption",1413.56075361608
2014,"withdrawal",38570.1875339478
2016,"consumption",1258.45677407727
2016,"withdrawal",32315.1263931199
2018,"consumption",1249.91970462284
2018,"withdrawal",30995.563747985
2020,"consumption",1269.77930859851
2020,"withdrawal",31218.1860913261
2022,"consumption",1287.19666216075
2022,"withdrawal",30530.9956943897
2024,"consumption",1304.37548114393
2024,"withdrawal",30694.2991392486
2026,"consumption",1312.04837278028
2026,"withdrawal",30633.5457034666
2028,"consumption",1312.17008956462
2028,"withdrawal",30398.9074075536
2030,"consumption",1289.54068319589
2030,"withdrawal",29167.3706773509
2032,"consumption",1286.50451849116
2032,"withdrawal",27804.2371914515
2034,"consumption",1274.62748025626
2034,"withdrawal",24205.3949973946
2036,"consumption",1278.06071394341
2036,"withdrawal",22191.0853537727
2038,"consumption",1260.79511622331
2038,"withdrawal",20368.7497430037
2040,"consumption",1247.09585895278
2040,"withdrawal",19476.9333681795
2042,"consumption",1209.3758262434
2042,"withdrawal",18142.5914050627
2044,"consumption",1153.45972896984
2044,"withdrawal",15746.1788570027
2046,"consumption",1047.18320669344
2046,"withdrawal",11791.7571631392
2048,"consumption",916.319738794606
2048,"withdrawal",9062.39485226677
2050,"consumption",826.88554923886
2050,"withdrawal",7171.01309276752
