"gid","time","tech","value"
"AL",2010,"Nuclear",0.264541534121658
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0143496842694289
"AL",2010,"NG-CT",0.0010383415978929
"AL",2010,"Offshore Wind",0
"AL",2010,"Utility PV",0
"AL",2010,"Land-based Wind",5.55477585581895e-07
"AL",2010,"Coal",0.177542141304944
"AL",2010,"Geothermal",0
"AL",2010,"Rooftop PV",0
"AL",2010,"NG-CC",0.476540677302381
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0659870659261097
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Geothermal",0
"AL",2012,"Utility PV",0
"AL",2012,"Land-based Wind",6.48982716198454e-07
"AL",2012,"Nuclear",0.309072567134697
"AL",2012,"Coal",0.0491389036798734
"AL",2012,"Rooftop PV",0
"AL",2012,"NG-CC",0.565205537364395
"AL",2012,"Biopower",0.0150779472893203
"AL",2012,"Hydro",0.0601511575258343
"AL",2012,"NG-CT",0.00135323802316318
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0797194504609194
"AL",2014,"Offshore Wind",0
"AL",2014,"Biopower",0.013065014067209
"AL",2014,"Nuclear",0.301110078353749
"AL",2014,"Geothermal",0
"AL",2014,"Utility PV",0
"AL",2014,"NG-CT",0.000850588547327359
"AL",2014,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Land-based Wind",5.48256076795169e-07
"AL",2014,"Coal",0.129662584382074
"AL",2014,"NG-CC",0.475583148463648
"AL",2014,"Rooftop PV",8.58746899614856e-06
"AL",2016,"Geothermal",0
"AL",2016,"Nuclear",0.315580543586174
"AL",2016,"Coal",0.0973545009555198
"AL",2016,"Utility PV",0.000511078646551417
"AL",2016,"NG-CC",0.509203524864763
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Imports",0
"AL",2016,"Rooftop PV",1.76021904811067e-05
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Hydro",0.0646272729097602
"AL",2016,"NG-CT",0.00123489617311049
"AL",2016,"Biopower",0.0114700060699873
"AL",2016,"Land-based Wind",5.74603652210463e-07
"AL",2018,"Hydro",0.0658818275264468
"AL",2018,"Biopower",0.0139586885466498
"AL",2018,"Nuclear",0.321706641904531
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Rooftop PV",4.1707393158243e-05
"AL",2018,"Utility PV",0.00276962413421878
"AL",2018,"NG-CC",0.503041381534425
"AL",2018,"Land-based Wind",6.75456893468707e-07
"AL",2018,"Geothermal",0
"AL",2018,"Imports",0
"AL",2018,"NG-CT",0.001262718119924
"AL",2018,"Offshore Wind",0
"AL",2018,"Coal",0.0913367353837527
"AL",2018,"CSP",0
"AL",2020,"NG-CT",0.00102775925572112
"AL",2020,"Utility PV",0.00311305165812352
"AL",2020,"Coal",0.124822827979817
"AL",2020,"Rooftop PV",4.77040752736991e-05
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0763729826934472
"AL",2020,"NG-CC",0.413596776715833
"AL",2020,"Geothermal",0
"AL",2020,"CSP",0
"AL",2020,"Biopower",0.0158446909362727
"AL",2020,"Imports",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Nuclear",0.365173439903626
"AL",2020,"Land-based Wind",7.66781885294377e-07
"AL",2022,"NG-CC",0.412560667049923
"AL",2022,"Imports",0
"AL",2022,"Rooftop PV",4.69467570492377e-05
"AL",2022,"Coal",0.133158544690973
"AL",2022,"Nuclear",0.359102576742772
"AL",2022,"NG-CT",0.00140949943675412
"AL",2022,"Offshore Wind",0
"AL",2022,"Biopower",0.0155812792529763
"AL",2022,"Geothermal",0
"AL",2022,"Utility PV",0.00302854693017088
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"Land-based Wind",8.62689962550339e-06
"AL",2022,"CSP",0
"AL",2022,"Hydro",0.0751033122397565
"AL",2024,"Coal",0.177059205671789
"AL",2024,"Utility PV",0.00293331268688176
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Rooftop PV",4.65194655914343e-05
"AL",2024,"Biopower",0.0152398671730867
"AL",2024,"Geothermal",0
"AL",2024,"NG-CT",0.00128528779125573
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.378690753281599
"AL",2024,"CSP",0
"AL",2024,"Land-based Wind",5.33475282331034e-05
"AL",2024,"Hydro",0.0734576721339562
"AL",2024,"Imports",0
"AL",2024,"Nuclear",0.351234034267607
"AL",2026,"Coal",0.213005752227041
"AL",2026,"Biopower",0.0153638492784986
"AL",2026,"Offshore Wind",0
"AL",2026,"CSP",0
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"Rooftop PV",4.87237686647574e-05
"AL",2026,"NG-CT",0.00138434184847054
"AL",2026,"Land-based Wind",6.0378915445994e-05
"AL",2026,"Utility PV",0.00292843614395382
"AL",2026,"Imports",0
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0740552781856619
"AL",2026,"NG-CC",0.339061783146586
"AL",2026,"Nuclear",0.354091456485677
"AL",2028,"Utility PV",0.0322449569280427
"AL",2028,"Offshore Wind",0
"AL",2028,"Biopower",0.015992286613605
"AL",2028,"Rooftop PV",5.46160321617455e-05
"AL",2028,"CSP",0
"AL",2028,"Land-based Wind",7.88760822019383e-05
"AL",2028,"Coal",0.237129963047523
"AL",2028,"Imports",0
"AL",2028,"NG-CT",0.00103733298764766
"AL",2028,"Nuclear",0.368575085377377
"AL",2028,"Oil-Gas-Steam",0
"AL",2028,"Geothermal",0
"AL",2028,"Hydro",0.0783913489667442
"AL",2028,"NG-CC",0.266495533964696
"AL",2030,"Utility PV",0.027893857898591
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.013990088353875
