"gid","time","tech","value"
"AL",2010,"Nuclear",0.264541534171244
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0143496842721185
"AL",2010,"NG-CT",0.00103834159808753
"AL",2010,"Offshore Wind",0
"AL",2010,"PV",0
"AL",2010,"Land-based Wind",5.55477585686012e-07
"AL",2010,"Coal",0.177542139046367
"AL",2010,"Geothermal",0
"AL",2010,"NG-CC",0.47654067949612
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0659870659384782
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Land-based Wind",6.489822784143e-07
"AL",2012,"Geothermal",0
"AL",2012,"PV",0
"AL",2012,"NG-CC",0.565205156093798
"AL",2012,"Nuclear",0.309072358643672
"AL",2012,"Coal",0.0491384202581582
"AL",2012,"NG-CT",0.00135323711030965
"AL",2012,"Biopower",0.0150790619621057
"AL",2012,"Hydro",0.0601511169496788
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0797194330336995
"AL",2014,"Offshore Wind",0
"AL",2014,"PV",8.59381025111487e-06
"AL",2014,"Biopower",0.0130650112111072
"AL",2014,"Nuclear",0.301110012529016
"AL",2014,"Geothermal",0
"AL",2014,"NG-CT",0.000850588361382855
"AL",2014,"CSP",0
"AL",2014,"Land-based Wind",5.48255956942622e-07
"AL",2014,"Coal",0.129662537747436
"AL",2014,"NG-CC",0.475583275051151
"AL",2016,"Imports",0
"AL",2016,"Geothermal",0
"AL",2016,"PV",0.000520766980291597
"AL",2016,"Nuclear",0.310848532717934
"AL",2016,"Coal",0.112635758190725
"AL",2016,"NG-CT",0.00101313250586638
"AL",2016,"NG-CC",0.500025014548758
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Hydro",0.0636582114007126
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Biopower",0.0112980176680245
"AL",2016,"Land-based Wind",5.65987687815789e-07
"AL",2018,"NG-CT",0.00125214762221058
"AL",2018,"Hydro",0.0653303159133352
"AL",2018,"Nuclear",0.319013563165113
"AL",2018,"Imports",0
"AL",2018,"Biopower",0.0138418372216892
"AL",2018,"CSP",0
"AL",2018,"PV",0.00278788302421607
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Land-based Wind",6.6980376520692e-07
"AL",2018,"Geothermal",0
"AL",2018,"NG-CC",0.499370935624478
"AL",2018,"Coal",0.0984026476251921
"AL",2018,"Offshore Wind",0
"AL",2020,"PV",0.00311964906708839
"AL",2020,"NG-CT",0.00101413648185377
"AL",2020,"CSP",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Geothermal",0
"AL",2020,"Coal",0.123920484354918
"AL",2020,"Land-based Wind",7.56618322326107e-07
"AL",2020,"NG-CC",0.420616501242924
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0753606718171242
"AL",2020,"Imports",0
"AL",2020,"Biopower",0.0156346722568773
"AL",2020,"Nuclear",0.360333128160893
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"NG-CC",0.391210709179913
"AL",2022,"CSP",0
"AL",2022,"Coal",0.154973071377975
"AL",2022,"Land-based Wind",8.13807210633114e-06
"AL",2022,"Imports",0
"AL",2022,"NG-CT",0.00140805586259775
"AL",2022,"PV",0.00307351806750238
"AL",2022,"Offshore Wind",0
"AL",2022,"Nuclear",0.358734792843215
"AL",2022,"Geothermal",0
"AL",2022,"Hydro",0.0750263933011743
"AL",2022,"Biopower",0.0155653212955154
"AL",2024,"PV",0.00302984152959295
"AL",2024,"CSP",0
"AL",2024,"Nuclear",0.356991411673031
"AL",2024,"Coal",0.192792201262832
"AL",2024,"Land-based Wind",5.70662098563462e-05
"AL",2024,"NG-CT",0.00140121298555768
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Biopower",0.0154896768679443
"AL",2024,"Geothermal",0
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.355576809817635
"AL",2024,"Hydro",0.0746617796535507
"AL",2024,"Imports",0
"AL",2026,"CSP",0
"AL",2026,"Offshore Wind",0
"AL",2026,"Coal",0.218931646017232
"AL",2026,"Nuclear",0.361502469521572
"AL",2026,"PV",0.0176733258005221
"AL",2026,"Imports",0
"AL",2026,"Biopower",0.0156854093873319
"AL",2026,"Land-based Wind",6.85731264423331e-05
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0768870913007859
"AL",2026,"NG-CT",0.00141331564972227
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"NG-CC",0.307838169196392
"AL",2028,"Nuclear",0.356206384526136
"AL",2028,"PV",0.0378506907058996
"AL",2028,"Offshore Wind",0
"AL",2028,"CSP",0
"AL",2028,"Coal",0.215368006507744
"AL",2028,"Imports",0
"AL",2028,"Land-based Wind",8.0149530072718e-05
"AL",2028,"Hydro",0.0757606797132808
"AL",2028,"Biopower",0.0154556149369276
"AL",2028,"Geothermal",0
"AL",2028,"NG-CC",0.298083944285652
"AL",2028,"NG-CT",0.00119452979428761
"AL",2028,"Oil-Gas-Steam",0
"AL",2030,"PV",0.0336704213816871
"AL",2030,"CSP",0
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0139176712275432
"AL",2030,"Land-based Wind",7.20628311065749e-05
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0684400602235249
"AL",2030,"Imports",0
"AL",2030,"NG-CT",0.000816849073199966
"AL",2030,"Nuclear",0.320761313556128
"AL",2030,"Coal",0.178028091814655
"AL",2030,"NG-CC",0.384293529892155
"AL",2030,"Oil-Gas-Steam",0
"AL",2032,"PV",0.0331283107769794
"AL",2032,"Offshore Wind",0
"AL",2032,"CSP",0
"AL",2032,"Geothermal",0
"AL",2032,"Imports",0
"AL",2032,"Land-based Wind",0.00031737360943253
"AL",2032,"Nuclear",0.318953981675408
"AL",2032,"Hydro",0.0680544342220939
"AL",2032,"Biopower",0.0138392520109736
"AL",2032,"NG-CC",0.384284022291768
"AL",2032,"Coal",0.181126234845527
"AL",2032,"NG-CT",0.000296390567817926
"AL",2032,"Oil-Gas-Steam",0
"AL",2034,"CSP",0
"AL",2034,"PV",0.0329097272458051
"AL",2034,"Offshore Wind",0
"AL",2034,"Land-based Wind",0.000310144686803709
"AL",2034,"Geothermal",0
"AL",2034,"Hydro",0.0680052074789788
"AL",2034,"Imports",0
"AL",2034,"Biopower",0.0138292414758566
"AL",2034,"Oil-Gas-Steam",0
"AL",2034,"NG-CT",0.000783347329605733
"AL",2034,"NG-CC",0.399922628633733
"AL",2034,"Nuclear",0.318723268336873
"AL",2034,"Coal",0.165516434812344
"AL",2036,"Biopower",0.0131575023596772
"AL",2036,"Land-based Wind",0.000295510042368573
"AL",2036,"CSP",0
"AL",2036,"NG-CT",0.00112804242069851
"AL",2036,"Geothermal",0
"AL",2036,"Imports",0
"AL",2036,"PV",0.0310573227765618
"AL",2036,"Offshore Wind",0
"AL",2036,"Hydro",0.064701934624334
"AL",2036,"Nuclear",0.303241660979579
"AL",2036,"NG-CC",0.425269103985524
"AL",2036,"Coal",0.161148922811257
"AL",2036,"Oil-Gas-Steam",0
"AL",2038,"Imports",0
"AL",2038,"Land-based Wind",0.000612065829190864
"AL",2038,"Geothermal",0
"AL",2038,"NG-CT",0.00150045605031432
"AL",2038,"Oil-Gas-Steam",0
"AL",2038,"Offshore Wind",0
