"time","type","value"
2010,"consumption",1501.73023269015
2010,"withdrawal",44422.6403999177
2012,"consumption",1360.09108638643
2012,"withdrawal",36239.0189632621
2014,"consumption",1413.56059565254
2014,"withdrawal",38570.1905975436
2016,"consumption",1263.63720931117
2016,"withdrawal",32100.6125744983
2018,"consumption",1251.92364466358
2018,"withdrawal",30615.3142552776
2020,"consumption",1264.5104590559
2020,"withdrawal",30813.7476463442
2022,"consumption",1283.13022680411
2022,"withdrawal",30316.8728458434
2024,"consumption",1306.97061231524
2024,"withdrawal",29747.8762855283
2026,"consumption",1303.99079071797
2026,"withdrawal",29093.2760646579
2028,"consumption",1294.27118288603
2028,"withdrawal",28795.9997336126
2030,"consumption",1279.39788580618
2030,"withdrawal",27691.2572488368
2032,"consumption",1265.69312558116
2032,"withdrawal",25851.8166255877
2034,"consumption",1251.19047358238
2034,"withdrawal",24162.6096209112
2036,"consumption",1219.06407098282
2036,"withdrawal",21582.0138426365
2038,"consumption",1161.20523414612
2038,"withdrawal",18944.0289626536
2040,"consumption",1107.1525984671
2040,"withdrawal",17620.5789868458
2042,"consumption",1046.43348848565
2042,"withdrawal",16717.9124342101
2044,"consumption",970.180713754681
2044,"withdrawal",15487.2878580406
2046,"consumption",861.200403173265
2046,"withdrawal",13913.2178247363
2048,"consumption",760.003093982914
2048,"withdrawal",13081.7452200202
2050,"consumption",684.080372449394
2050,"withdrawal",11652.8265099329
