"time","type","value"
2010,"price",107.71050028124
2012,"price",106.263679645856
2014,"price",109.574714049378
2016,"price",106.633286063235
2018,"price",106.91444104983
2020,"price",108.497411176119
2022,"price",108.05305931468
2024,"price",107.365519371024
2026,"price",109.359347781408
2028,"price",110.204687207902
2030,"price",111.24429302737
2032,"price",112.297075976388
2034,"price",113.037239299866
2036,"price",114.078017807265
2038,"price",117.082748566655
2040,"price",118.635589132615
2042,"price",119.565537328956
2044,"price",123.551309799321
2046,"price",123.061770046844
2048,"price",130.573331743739
2050,"price",130.367000335582
2010,"comp_p",48.7362908729989
2012,"comp_p",33.6012522008106
2014,"comp_p",44.1206006146971
2016,"comp_p",28.8348719678054
2018,"comp_p",33.1502221645766
2020,"comp_p",37.0134212284833
2022,"comp_p",37.5621935652379
2024,"comp_p",38.0573311722315
2026,"comp_p",45.6350945930897
2028,"comp_p",48.7698689420018
2030,"comp_p",46.6189232154219
2032,"comp_p",47.0274637276499
2034,"comp_p",47.7552674182376
2036,"comp_p",50.2071474617458
2038,"comp_p",52.825895213927
2040,"comp_p",54.2262700722409
2042,"comp_p",56.7921354750343
2044,"comp_p",58.2357924712888
2046,"comp_p",62.2495675721729
2048,"comp_p",67.9859100101255
2050,"comp_p",74.2669864266146
