"time","type","value"
2010,"consumption",1501.73024800027
2010,"withdrawal",44422.6402384553
2012,"consumption",1360.0917351821
2012,"withdrawal",36239.0262086373
2014,"consumption",1413.56185640891
2014,"withdrawal",38570.2231445499
2016,"consumption",1258.45899991442
2016,"withdrawal",32315.1566510251
2018,"consumption",1249.91655965678
2018,"withdrawal",30995.5927384945
2020,"consumption",1269.7146619693
2020,"withdrawal",31217.190623424
2022,"consumption",1287.26586152761
2022,"withdrawal",30526.105704822
2024,"consumption",1304.73334946197
2024,"withdrawal",30695.2609742687
2026,"consumption",1240.86211553744
2026,"withdrawal",28857.7567216217
2028,"consumption",1183.51066370781
2028,"withdrawal",27635.4992617285
2030,"consumption",1126.17900481496
2030,"withdrawal",25882.617655374
2032,"consumption",1067.4403588158
2032,"withdrawal",23171.4081601041
2034,"consumption",1021.93706276246
2034,"withdrawal",20732.1680894874
2036,"consumption",951.884555268772
2036,"withdrawal",18685.5187437859
2038,"consumption",883.042331272507
2038,"withdrawal",17100.7056606944
2040,"consumption",821.85120642002
2040,"withdrawal",15694.8399127521
2042,"consumption",748.172731040327
2042,"withdrawal",14515.4439673822
2044,"consumption",664.467104809999
2044,"withdrawal",13582.7810626133
2046,"consumption",557.798112284069
2046,"withdrawal",11765.6825333675
2048,"consumption",452.607393582714
2048,"withdrawal",11130.7775999818
2050,"consumption",392.753184935769
2050,"withdrawal",10306.3848814543
