"gid","time","value","type"
"AL",2010,1828.45053197562,"withdrawal"
"AL",2012,1360.97436109945,"withdrawal"
"AL",2014,1614.0259497194,"withdrawal"
"AL",2016,1392.2394256425,"withdrawal"
"AL",2018,1383.3659166716,"withdrawal"
"AL",2020,1466.39639552781,"withdrawal"
"AL",2022,1480.58230510312,"withdrawal"
"AL",2024,1588.4856783088,"withdrawal"
"AL",2026,1495.43463819685,"withdrawal"
"AL",2028,1441.03801069236,"withdrawal"
"AL",2030,1387.36176224901,"withdrawal"
"AL",2032,1380.40126559506,"withdrawal"
"AL",2034,1229.12569950901,"withdrawal"
"AL",2036,1225.02480647723,"withdrawal"
"AL",2038,1223.23215546657,"withdrawal"
"AL",2040,1223.25513934113,"withdrawal"
"AL",2042,1223.07408571857,"withdrawal"
"AL",2044,1222.84967432783,"withdrawal"
"AL",2046,1222.59531749877,"withdrawal"
"AL",2048,1220.92479937038,"withdrawal"
"AL",2050,1218.71741919343,"withdrawal"
"AR",2010,73.0005766584694,"withdrawal"
"AR",2012,52.0456288321342,"withdrawal"
"AR",2014,71.3582303914504,"withdrawal"
"AR",2016,34.509080204054,"withdrawal"
"AR",2018,51.5291520730981,"withdrawal"
"AR",2020,52.2528627236364,"withdrawal"
"AR",2022,52.8277971398014,"withdrawal"
"AR",2024,52.8163289851097,"withdrawal"
"AR",2026,51.5479572476124,"withdrawal"
"AR",2028,48.2362533956117,"withdrawal"
"AR",2030,45.7534816515786,"withdrawal"
"AR",2032,30.4486975696244,"withdrawal"
"AR",2034,29.4195645780774,"withdrawal"
"AR",2036,29.0223277942653,"withdrawal"
"AR",2038,27.8706730817431,"withdrawal"
"AR",2040,25.8184741847417,"withdrawal"
"AR",2042,24.702416900559,"withdrawal"
"AR",2044,23.9132256912352,"withdrawal"
"AR",2046,24.1117346855609,"withdrawal"
"AR",2048,21.9848600472089,"withdrawal"
"AR",2050,20.8010712997575,"withdrawal"
"AZ",2010,112.171762425209,"withdrawal"
"AZ",2012,113.21801201995,"withdrawal"
"AZ",2014,113.966285284318,"withdrawal"
"AZ",2016,85.8014708620481,"withdrawal"
"AZ",2018,88.5959916226377,"withdrawal"
