"gid","time","value","type"
"AL",2010,1828.59361662663,"withdrawal"
"AL",2012,1360.46112265135,"withdrawal"
"AL",2014,1611.50187953863,"withdrawal"
"AL",2016,1366.40211339969,"withdrawal"
"AL",2018,1407.63393252629,"withdrawal"
"AL",2020,1528.90733919852,"withdrawal"
"AL",2022,1555.94731852871,"withdrawal"
"AL",2024,1561.77124813551,"withdrawal"
"AL",2026,1590.15635856773,"withdrawal"
"AL",2028,1596.19867141189,"withdrawal"
"AL",2030,1583.375571819,"withdrawal"
"AL",2032,1569.87925545305,"withdrawal"
"AL",2034,1567.95016016823,"withdrawal"
"AL",2036,1595.31303959427,"withdrawal"
"AL",2038,1601.11945312151,"withdrawal"
"AL",2040,1601.86729477307,"withdrawal"
"AL",2042,1607.84753257495,"withdrawal"
"AL",2044,1543.94331075195,"withdrawal"
"AL",2046,1407.06288940434,"withdrawal"
"AL",2048,1248.17644075884,"withdrawal"
"AL",2050,1230.54167073982,"withdrawal"
"AR",2010,72.9995661598648,"withdrawal"
"AR",2012,52.0457706760796,"withdrawal"
"AR",2014,71.3465160661279,"withdrawal"
"AR",2016,34.3997428691733,"withdrawal"
"AR",2018,51.3002003799676,"withdrawal"
"AR",2020,52.1531380326855,"withdrawal"
"AR",2022,51.9750762847242,"withdrawal"
"AR",2024,52.8569645995632,"withdrawal"
"AR",2026,53.2700159828772,"withdrawal"
"AR",2028,52.970494002222,"withdrawal"
"AR",2030,52.4721267292878,"withdrawal"
"AR",2032,56.1932452808107,"withdrawal"
"AR",2034,57.677402330295,"withdrawal"
"AR",2036,62.195812942978,"withdrawal"
"AR",2038,62.3709486100733,"withdrawal"
"AR",2040,62.4563465268371,"withdrawal"
"AR",2042,62.6799199758003,"withdrawal"
"AR",2044,63.1194537145962,"withdrawal"
"AR",2046,63.5433836960941,"withdrawal"
"AR",2048,62.6880978169847,"withdrawal"
"AR",2050,62.3688006377703,"withdrawal"
"AZ",2010,112.177717695029,"withdrawal"
"AZ",2012,113.211664628287,"withdrawal"
"AZ",2014,113.977071476202,"withdrawal"
"AZ",2016,85.5364036755712,"withdrawal"
"AZ",2018,88.596052180289,"withdrawal"
"AZ",2020,81.6640052538436,"withdrawal"
"AZ",2022,82.0097915896873,"withdrawal"
"AZ",2024,70.2032792288498,"withdrawal"
"AZ",2026,70.0964914755235,"withdrawal"
"AZ",2028,70.384860792157,"withdrawal"
"AZ",2030,69.4981830452911,"withdrawal"
"AZ",2032,69.0470739685987,"withdrawal"
"AZ",2034,70.1007027620755,"withdrawal"
"AZ",2036,70.0753810057838,"withdrawal"
"AZ",2038,70.2444785538578,"withdrawal"
"AZ",2040,69.8823664915773,"withdrawal"
"AZ",2042,69.8609113597364,"withdrawal"
"AZ",2044,69.4731516506389,"withdrawal"
"AZ",2046,69.8317679638432,"withdrawal"
"AZ",2048,69.6894225721234,"withdrawal"
"AZ",2050,63.5152259270101,"withdrawal"
"CA",2010,1963.37185903094,"withdrawal"
"CA",2012,1807.71209722503,"withdrawal"
"CA",2014,1071.69403974091,"withdrawal"
"CA",2016,1072.07010182699,"withdrawal"
"CA",2018,1051.98884873448,"withdrawal"
"CA",2020,1028.89831189348,"withdrawal"
"CA",2022,1025.17602366237,"withdrawal"
"CA",2024,612.996307715452,"withdrawal"
"CA",2026,184.51289636826,"withdrawal"
"CA",2028,130.889701253016,"withdrawal"
"CA",2030,111.268360419922,"withdrawal"
"CA",2032,110.849210735396,"withdrawal"
"CA",2034,111.277726746415,"withdrawal"
"CA",2036,110.937041439978,"withdrawal"
"CA",2038,110.00492926458,"withdrawal"
"CA",2040,108.817506996041,"withdrawal"
"CA",2042,108.276449294562,"withdrawal"
"CA",2044,109.370108038307,"withdrawal"
"CA",2046,112.636863188687,"withdrawal"
"CA",2048,113.333932274054,"withdrawal"
"CA",2050,103.925756314352,"withdrawal"
"CO",2010,77.8399563960601,"withdrawal"
"CO",2012,75.0835718948621,"withdrawal"
"CO",2014,74.5655165078355,"withdrawal"
"CO",2016,71.6837751994441,"withdrawal"
"CO",2018,56.3033632355896,"withdrawal"
"CO",2020,51.5423955878518,"withdrawal"
"CO",2022,53.9059461203259,"withdrawal"
"CO",2024,54.8275672391676,"withdrawal"
"CO",2026,53.2488057925631,"withdrawal"
"CO",2028,53.4560714727241,"withdrawal"
"CO",2030,53.5496829956704,"withdrawal"
"CO",2032,53.3575104922574,"withdrawal"
"CO",2034,53.6723350024768,"withdrawal"
"CO",2036,54.0915820079527,"withdrawal"
"CO",2038,54.1060583929093,"withdrawal"
"CO",2040,52.563693128741,"withdrawal"
"CO",2042,52.6474848644002,"withdrawal"
"CO",2044,49.592832110963,"withdrawal"
"CO",2046,49.564185224651,"withdrawal"
"CO",2048,47.305546311467,"withdrawal"
"CO",2050,43.6694126614422,"withdrawal"
"CT",2010,772.120340084944,"withdrawal"
"CT",2012,738.189288258652,"withdrawal"
"CT",2014,841.372656254688,"withdrawal"
"CT",2016,752.339855219333,"withdrawal"
"CT",2018,739.825053311981,"withdrawal"
"CT",2020,763.087274534945,"withdrawal"
"CT",2022,773.607538508168,"withdrawal"
"CT",2024,773.683488204714,"withdrawal"
"CT",2026,773.606067150023,"withdrawal"
"CT",2028,770.396798750223,"withdrawal"
"CT",2030,765.457108273632,"withdrawal"
"CT",2032,753.150896131958,"withdrawal"
"CT",2034,749.054421503018,"withdrawal"
"CT",2036,446.091456074459,"withdrawal"
"CT",2038,446.068864307396,"withdrawal"
"CT",2040,445.168915398571,"withdrawal"
"CT",2042,443.14641795108,"withdrawal"
"CT",2044,432.419175004547,"withdrawal"
"CT",2046,2.97318307360369,"withdrawal"
"CT",2048,2.83408762815136,"withdrawal"
"CT",2050,2.82690643881491,"withdrawal"
"DE",2010,65.8268748025575,"withdrawal"
"DE",2012,44.7530845953736,"withdrawal"
"DE",2014,3.27906994251577,"withdrawal"
"DE",2016,3.93628885562469,"withdrawal"
"DE",2018,3.5626066792791,"withdrawal"
"DE",2020,3.36309149100575,"withdrawal"
"DE",2022,3.49355293009778,"withdrawal"
"DE",2024,3.50153510721701,"withdrawal"
"DE",2026,3.37439594621334,"withdrawal"
"DE",2028,3.34352443337702,"withdrawal"
"DE",2030,3.31366903468895,"withdrawal"
"DE",2032,3.31187723435499,"withdrawal"
"DE",2034,3.35710673531314,"withdrawal"
"DE",2036,3.59008372345904,"withdrawal"
"DE",2038,3.67583664587233,"withdrawal"
"DE",2040,3.8181740196364,"withdrawal"
"DE",2042,3.81675427425776,"withdrawal"
"DE",2044,3.87484014875533,"withdrawal"
"DE",2046,3.92905843066035,"withdrawal"
"DE",2048,3.76130206586171,"withdrawal"
"DE",2050,3.85419498957829,"withdrawal"
"FL",2010,2139.93499438108,"withdrawal"
"FL",2012,1963.85276030844,"withdrawal"
"FL",2014,2053.26945807651,"withdrawal"
"FL",2016,1710.02601585401,"withdrawal"
"FL",2018,1719.16470544669,"withdrawal"
"FL",2020,1750.36884445599,"withdrawal"
"FL",2022,1795.8156504788,"withdrawal"
"FL",2024,1781.62405960496,"withdrawal"
"FL",2026,1795.65509975912,"withdrawal"
