"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,31.3481631744
"AL","Nuclear",2036,22.6233881856
"AL","Nuclear",2038,6.980136192
"AL","Nuclear",2040,6.980136192
"AL","Nuclear",2042,0
"AL","Nuclear",2044,0
"AL","Nuclear",2046,0
"AL","Nuclear",2048,0
"AL","Nuclear",2050,0
"AL","Coal",2010,26.8788261357364
"AL","Coal",2012,6.36742241485827
"AL","Coal",2014,17.2461418360006
"AL","Coal",2016,12.3551630983296
"AL","Coal",2018,11.3707260907275
"AL","Coal",2020,13.713358311963
"AL","Coal",2022,15.7566750572457
"AL","Coal",2024,22.7696144405848
"AL","Coal",2026,26.3274119
"AL","Coal",2028,25.9034477537068
"AL","Coal",2030,23.3006838068801
"AL","Coal",2032,22.1386741568485
"AL","Coal",2034,25.0873063945335
"AL","Coal",2036,32.9086915967507
"AL","Coal",2038,34.8583560708502
"AL","Coal",2040,35.8735786204175
"AL","Coal",2042,36.4938166224154
"AL","Coal",2044,35.3119953746409
"AL","Coal",2046,31.651469064
"AL","Coal",2048,26.441564184
"AL","Coal",2050,20.201535864
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.1454267858894
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.2563199908144
"AL","NG-CC",2016,64.6224385417032
"AL","NG-CC",2018,62.5310579779199
"AL","NG-CC",2020,46.3633074976972
"AL","NG-CC",2022,44.4611371160892
"AL","NG-CC",2024,42.6805452516949
"AL","NG-CC",2026,32.9354593723205
"AL","NG-CC",2028,33.3087307871491
"AL","NG-CC",2030,53.2875934797632
"AL","NG-CC",2032,55.6335919869497
"AL","NG-CC",2034,57.6484864495715
"AL","NG-CC",2036,59.7866328627837
"AL","NG-CC",2038,67.0586945675401
"AL","NG-CC",2040,68.117749344799
"AL","NG-CC",2042,73.2573856390793
"AL","NG-CC",2044,66.2064184707363
"AL","NG-CC",2046,73.6723046135759
"AL","NG-CC",2048,77.3355900297113
"AL","NG-CC",2050,80.0858457242279
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.175354292118207
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.157198737236046
"AL","NG-CT",2026,0.156577937236046
"AL","NG-CT",2028,0.142485777236046
"AL","NG-CT",2030,0.102276240728689
"AL","NG-CT",2032,0.089543694317183
"AL","NG-CT",2034,0.149051056048744
"AL","NG-CT",2036,0.2584413084248
"AL","NG-CT",2038,0.397450516732802
"AL","NG-CT",2040,1.58385816347822
"AL","NG-CT",2042,1.97507301342869
"AL","NG-CT",2044,1.72189984260747
"AL","NG-CT",2046,1.14151197118324
"AL","NG-CT",2048,2.14445676070356
"AL","NG-CT",2050,3.94867114748936
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.51814112319663
"AL","Hydro",2028,8.51814112319663
"AL","Hydro",2030,8.54537385419249
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.55867108612406
"AL","Hydro",2048,8.61442601099456
"AL","Hydro",2050,8.61442601099456
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.95391873271917
"AL","Biopower",2014,1.737749841696
"AL","Biopower",2016,1.4556470871159
