"time","type","value"
2010,"consumption",1501.00718221982
2010,"withdrawal",44450.684496735
2012,"consumption",1360.09113904342
2012,"withdrawal",36239.0217118637
2014,"consumption",1413.56066416444
2014,"withdrawal",38570.2023533361
2016,"consumption",1258.45690247211
2016,"withdrawal",32321.9667866984
2018,"consumption",1249.91693454646
2018,"withdrawal",30995.7062658895
2020,"consumption",1265.73102155604
2020,"withdrawal",31033.7992573373
2022,"consumption",1286.09287719213
2022,"withdrawal",29819.6171027775
2024,"consumption",1303.17451177804
2024,"withdrawal",29772.7087104277
2026,"consumption",1295.65330713451
2026,"withdrawal",28803.8419652513
2028,"consumption",1286.19075377979
2028,"withdrawal",28253.7038580083
2030,"consumption",1273.47592045196
2030,"withdrawal",27391.5397796423
2032,"consumption",1264.02495232751
2032,"withdrawal",26888.5663796177
2034,"consumption",1244.98566905647
2034,"withdrawal",23512.0425910472
2036,"consumption",1224.22641147629
2036,"withdrawal",21081.1345608624
2038,"consumption",1175.6127610266
2038,"withdrawal",19303.6643230358
2040,"consumption",1146.6109039792
2040,"withdrawal",17807.9149405374
2042,"consumption",1110.6381369199
2042,"withdrawal",16453.6421489612
2044,"consumption",1066.4358174494
2044,"withdrawal",13991.7684831219
2046,"consumption",987.940319771063
2046,"withdrawal",10886.3712543556
2048,"consumption",900.983268446171
2048,"withdrawal",8421.45968952744
2050,"consumption",819.816172264342
2050,"withdrawal",7058.00417509084
