"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.21874635471247
2010,"USA","Coal Usage (Quads)",19.3338546466196
2010,"USA","Coal Price",2.49986491663362
2010,"USA","Gas Price",5.51592243432281
2012,"USA","Gas Usage (Quads)",9.19257712683569
2012,"USA","Coal Usage (Quads)",14.5719295593539
2012,"USA","Coal Price",2.47540091652254
2012,"USA","Gas Price",3.61519582799765
2014,"USA","Gas Usage (Quads)",8.05079396644415
2014,"USA","Coal Usage (Quads)",16.6865132112743
2014,"USA","Coal Price",2.41160702020756
2014,"USA","Gas Price",5.0124373006896
2016,"USA","Gas Usage (Quads)",10.5006297876827
2016,"USA","Coal Usage (Quads)",11.9420975359157
2016,"USA","Coal Price",2.1468282204529
2016,"USA","Gas Price",2.94990479054173
2018,"USA","Gas Usage (Quads)",9.58938609561927
2018,"USA","Coal Usage (Quads)",12.1512857335201
2018,"USA","Coal Price",2.21269365923114
2018,"USA","Gas Price",3.67326158501992
2020,"USA","Gas Usage (Quads)",8.1599851798076
2020,"USA","Coal Usage (Quads)",12.9884126347257
2020,"USA","Coal Price",2.31190442383488
2020,"USA","Gas Price",4.35801101419966
2022,"USA","Gas Usage (Quads)",8.00428765185769
2022,"USA","Coal Usage (Quads)",13.2995590073844
2022,"USA","Coal Price",2.32246089282392
2022,"USA","Gas Price",4.40617502314681
2024,"USA","Gas Usage (Quads)",7.98230922354668
2024,"USA","Coal Usage (Quads)",13.7363428520877
2024,"USA","Coal Price",2.33470323874513
2024,"USA","Gas Price",4.45926270173777
2026,"USA","Gas Usage (Quads)",7.80459871216496
2026,"USA","Coal Usage (Quads)",14.0705966620951
2026,"USA","Coal Price",2.32619584733293
2026,"USA","Gas Price",4.54275116110112
2028,"USA","Gas Usage (Quads)",7.43741981024854
2028,"USA","Coal Usage (Quads)",14.1626482053584
2028,"USA","Coal Price",2.31083142568032
2028,"USA","Gas Price",4.57478338469719
2030,"USA","Gas Usage (Quads)",7.29215169630101
2030,"USA","Coal Usage (Quads)",13.7604630572557
2030,"USA","Coal Price",2.29370426711834
2030,"USA","Gas Price",4.58616425316203
2032,"USA","Gas Usage (Quads)",7.61610617118153
2032,"USA","Coal Usage (Quads)",13.7411478558729
2032,"USA","Coal Price",2.29740744682404
2032,"USA","Gas Price",4.66207275611557
2034,"USA","Gas Usage (Quads)",7.95936154464873
2034,"USA","Coal Usage (Quads)",13.4743798816402
2034,"USA","Coal Price",2.31460658296658
2034,"USA","Gas Price",4.64779323696351
2036,"USA","Gas Usage (Quads)",8.31775295373666
2036,"USA","Coal Usage (Quads)",13.6741322918295
2036,"USA","Coal Price",2.3416824765439
2036,"USA","Gas Price",4.75712006502186
2038,"USA","Gas Usage (Quads)",8.69852008588118
2038,"USA","Coal Usage (Quads)",13.5396034516079
2038,"USA","Coal Price",2.36519280875411
2038,"USA","Gas Price",4.79890491631487
2040,"USA","Gas Usage (Quads)",9.08118292750237
2040,"USA","Coal Usage (Quads)",13.1859995092377
2040,"USA","Coal Price",2.38066578132508
2040,"USA","Gas Price",4.84982020901272
2042,"USA","Gas Usage (Quads)",9.39285513749264
2042,"USA","Coal Usage (Quads)",12.7278601874936
2042,"USA","Coal Price",2.38478920402684
2042,"USA","Gas Price",4.93379445808091
2044,"USA","Gas Usage (Quads)",9.65237172872595
2044,"USA","Coal Usage (Quads)",12.1032231594843
2044,"USA","Coal Price",2.39412670195832
2044,"USA","Gas Price",5.09802209000304
2046,"USA","Gas Usage (Quads)",10.2493902779452
2046,"USA","Coal Usage (Quads)",11.0365049365469
2046,"USA","Coal Price",2.39766572442124
2046,"USA","Gas Price",5.31692524263395
2048,"USA","Gas Usage (Quads)",10.7052705069212
2048,"USA","Coal Usage (Quads)",9.57375361361498
2048,"USA","Coal Price",2.39283865193513
2048,"USA","Gas Price",5.5370300394441
2050,"USA","Gas Usage (Quads)",10.8526236061302
2050,"USA","Coal Usage (Quads)",8.40845421615656
2050,"USA","Coal Price",2.40086175972472
2050,"USA","Gas Price",5.65687008671626
