"gid","time","tech","value"
"AL",2010,"Nuclear",0.264541557694707
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0143496855481158
"AL",2010,"NG-CT",0.00103834169041855
"AL",2010,"Offshore Wind",0
"AL",2010,"PV",0
"AL",2010,"Land-based Wind",5.55477635079982e-07
"AL",2010,"Coal",0.17754211449792
"AL",2010,"Geothermal",0
"AL",2010,"NG-CC",0.476540673285048
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0659870718061552
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Land-based Wind",6.48982713160861e-07
"AL",2012,"Geothermal",0
"AL",2012,"PV",0
"AL",2012,"NG-CC",0.565205534718925
"AL",2012,"Nuclear",0.309072565688069
"AL",2012,"Coal",0.049138761008884
"AL",2012,"NG-CT",0.00135323801682929
"AL",2012,"Biopower",0.015078094340285
"AL",2012,"Hydro",0.0601511572442941
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0797194285642819
"AL",2014,"Offshore Wind",0
"AL",2014,"PV",8.59275349109466e-06
"AL",2014,"Biopower",0.0130650104786259
"AL",2014,"Nuclear",0.301109995647481
"AL",2014,"Geothermal",0
"AL",2014,"NG-CT",0.000850588313695178
"AL",2014,"CSP",0
"AL",2014,"Land-based Wind",5.48255926205013e-07
"AL",2014,"Coal",0.129662559620103
"AL",2014,"NG-CC",0.475583276366396
"AL",2016,"Imports",0
"AL",2016,"Geothermal",0
"AL",2016,"PV",0.000528692028431802
"AL",2016,"Nuclear",0.315580745976378
"AL",2016,"Coal",0.0973545633915535
"AL",2016,"NG-CT",0.00123489696508228
"AL",2016,"NG-CC",0.509203199251575
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Hydro",0.0646273143569508
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Biopower",0.0114700134260076
"AL",2016,"Land-based Wind",5.74604020719082e-07
"AL",2018,"NG-CT",0.00125577999945269
"AL",2018,"Hydro",0.0655198337852972
"AL",2018,"Nuclear",0.319938995267696
"AL",2018,"Imports",0
"AL",2018,"Biopower",0.0138819912527486
"AL",2018,"CSP",0
"AL",2018,"PV",0.00279590568701698
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Land-based Wind",6.71745532617031e-07
"AL",2018,"Geothermal",0
"AL",2018,"NG-CC",0.505771940338734
"AL",2018,"Coal",0.0908348819235214
"AL",2018,"Offshore Wind",0
"AL",2020,"PV",0.00314232746523572
"AL",2020,"NG-CT",0.00102155490628021
"AL",2020,"CSP",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Geothermal",0
"AL",2020,"Coal",0.124067789381599
"AL",2020,"Land-based Wind",7.62152996804777e-07
"AL",2020,"NG-CC",0.417137618936552
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0759119363250127
"AL",2020,"Imports",0
"AL",2020,"Biopower",0.0157490401320549
"AL",2020,"Nuclear",0.362968970700268
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"NG-CC",0.419002329611689
"AL",2022,"CSP",0
"AL",2022,"Coal",0.125766665830417
"AL",2022,"Land-based Wind",8.64797684538856e-06
"AL",2022,"Imports",0
"AL",2022,"NG-CT",0.00135151790758217
"AL",2022,"PV",0.00308314650748285
"AL",2022,"Offshore Wind",0
"AL",2022,"Nuclear",0.359901378369189
"AL",2022,"Geothermal",0
"AL",2022,"Hydro",0.0752703749450999
"AL",2022,"Biopower",0.0156159388516955
"AL",2024,"PV",0.0029660603173054
"AL",2024,"CSP",0
"AL",2024,"Nuclear",0.349584614183619
"AL",2024,"Coal",0.175349756109962
"AL",2024,"Land-based Wind",5.14172508712695e-05
"AL",2024,"NG-CT",0.00126192824151015
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Biopower",0.0151682996695417
"AL",2024,"Geothermal",0
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.38250521456247
"AL",2024,"Hydro",0.0731127096647202
"AL",2024,"Imports",0
"AL",2026,"CSP",0
"AL",2026,"Offshore Wind",0
"AL",2026,"Coal",0.212638517781091
"AL",2026,"Nuclear",0.355133713290615
"AL",2026,"PV",0.0029859234886379
"AL",2026,"Imports",0
"AL",2026,"Biopower",0.0154090722743299
"AL",2026,"Land-based Wind",5.95518216609971e-05
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0742732575133661
"AL",2026,"NG-CT",0.00138841661414337
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"NG-CC",0.338111547216155
"AL",2028,"Nuclear",0.368293545478947
"AL",2028,"PV",0.0406148877328414
"AL",2028,"Offshore Wind",0
"AL",2028,"CSP",0
"AL",2028,"Coal",0.236948828867923
"AL",2028,"Imports",0
"AL",2028,"Land-based Wind",7.63170696826184e-05
