"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.21874827107233
2010,"USA","Coal Usage (Quads)",19.3338548021893
2010,"USA","Coal Price",2.49986493123148
2010,"USA","Gas Price",5.51592256068253
2012,"USA","Gas Usage (Quads)",9.19257739664032
2012,"USA","Coal Usage (Quads)",14.571936398543
2012,"USA","Coal Price",2.47540126671065
2012,"USA","Gas Price",3.61519578032252
2014,"USA","Gas Usage (Quads)",8.05079374276051
2014,"USA","Coal Usage (Quads)",16.6865279220669
2014,"USA","Coal Price",2.4116075722852
2014,"USA","Gas Price",5.01243832125983
2016,"USA","Gas Usage (Quads)",10.5006297876823
2016,"USA","Coal Usage (Quads)",11.9431222011756
2016,"USA","Coal Price",2.14681861270945
2016,"USA","Gas Price",2.94992011272455
2018,"USA","Gas Usage (Quads)",9.58887063330296
2018,"USA","Coal Usage (Quads)",12.2773349249877
2018,"USA","Coal Price",2.21481778925531
2018,"USA","Gas Price",3.67351793564949
2020,"USA","Gas Usage (Quads)",8.30962523500582
2020,"USA","Coal Usage (Quads)",13.1396815808171
2020,"USA","Coal Price",2.31325135358527
2020,"USA","Gas Price",4.38809780999312
2022,"USA","Gas Usage (Quads)",8.07166095947467
2022,"USA","Coal Usage (Quads)",13.6878142500344
2022,"USA","Coal Price",2.3268267731855
2022,"USA","Gas Price",4.41931681338523
2024,"USA","Gas Usage (Quads)",8.07388275190219
2024,"USA","Coal Usage (Quads)",14.212934773257
2024,"USA","Coal Price",2.33724317026833
2024,"USA","Gas Price",4.48114148269399
2026,"USA","Gas Usage (Quads)",7.85920870439456
2026,"USA","Coal Usage (Quads)",14.3207868360986
2026,"USA","Coal Price",2.32892805551815
2026,"USA","Gas Price",4.54942099341535
2028,"USA","Gas Usage (Quads)",7.50991786363153
2028,"USA","Coal Usage (Quads)",14.363607585302
2028,"USA","Coal Price",2.31194339789837
2028,"USA","Gas Price",4.58414357795901
2030,"USA","Gas Usage (Quads)",7.68512398597836
2030,"USA","Coal Usage (Quads)",13.9708824031686
2030,"USA","Coal Price",2.29569225570196
2030,"USA","Gas Price",4.66960623084994
2032,"USA","Gas Usage (Quads)",8.02668586290028
2032,"USA","Coal Usage (Quads)",14.0582687783136
2032,"USA","Coal Price",2.30096263350027
2032,"USA","Gas Price",4.75156733839577
2034,"USA","Gas Usage (Quads)",8.38340168841829
2034,"USA","Coal Usage (Quads)",13.8998892456026
2034,"USA","Coal Price",2.32099431896567
2034,"USA","Gas Price",4.74024990241909
2036,"USA","Gas Usage (Quads)",8.84933850866452
2036,"USA","Coal Usage (Quads)",14.0455150791378
2036,"USA","Coal Price",2.34694506810288
2036,"USA","Gas Price",4.87581926805102
2038,"USA","Gas Usage (Quads)",9.35744292751723
2038,"USA","Coal Usage (Quads)",13.9099783686417
2038,"USA","Coal Price",2.37078258210929
2038,"USA","Gas Price",4.93997830431634
2040,"USA","Gas Usage (Quads)",9.75094932750513
2040,"USA","Coal Usage (Quads)",13.5540007836625
2040,"USA","Coal Price",2.3852661813579
2040,"USA","Gas Price",4.99799495202186
2042,"USA","Gas Usage (Quads)",10.1843598874749
2042,"USA","Coal Usage (Quads)",13.1743142608388
2042,"USA","Coal Price",2.39268743684034
2042,"USA","Gas Price",5.1076162738314
2044,"USA","Gas Usage (Quads)",10.5650032309725
2044,"USA","Coal Usage (Quads)",12.4988222990295
2044,"USA","Coal Price",2.40106669854786
2044,"USA","Gas Price",5.2969230551519
2046,"USA","Gas Usage (Quads)",11.1718136401266
2046,"USA","Coal Usage (Quads)",11.349727205775
2046,"USA","Coal Price",2.40214667295416
2046,"USA","Gas Price",5.51464568612651
2048,"USA","Gas Usage (Quads)",11.6715349284338
2048,"USA","Coal Usage (Quads)",9.87567756828811
2048,"USA","Coal Price",2.39945147474069
2048,"USA","Gas Price",5.75559974086151
2050,"USA","Gas Usage (Quads)",11.9969392403368
2050,"USA","Coal Usage (Quads)",8.73078940011345
2050,"USA","Coal Price",2.40710861589228
2050,"USA","Gas Price",5.90228531784837
