"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.8788229554546
"AL","Coal",2012,6.36741209255921
"AL","Coal",2014,17.2461624337718
"AL","Coal",2016,12.3551591598784
"AL","Coal",2018,11.3949830312088
"AL","Coal",2020,13.8393304639409
"AL","Coal",2022,17.4253543566699
"AL","Coal",2024,24.0687093114395
"AL","Coal",2026,25.0761539922836
"AL","Coal",2028,24.6623874931988
"AL","Coal",2030,22.5008989614767
"AL","Coal",2032,20.9082586728801
"AL","Coal",2034,21.5813974641758
"AL","Coal",2036,25.2876439286842
"AL","Coal",2038,27.8169530950074
"AL","Coal",2040,27.9716278138283
"AL","Coal",2042,32.0538794129737
"AL","Coal",2044,31.9539115297615
"AL","Coal",2046,28.899408389666
"AL","Coal",2048,25.0831189668292
"AL","Coal",2050,19.4164187616
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.1454223585643
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.2562324550575
"AL","NG-CC",2016,64.6225744093091
"AL","NG-CC",2018,62.5440043696946
"AL","NG-CC",2020,49.5230391849079
"AL","NG-CC",2022,45.226327094189
"AL","NG-CC",2024,42.0382021787389
"AL","NG-CC",2026,33.0407818219899
"AL","NG-CC",2028,35.5685495752486
"AL","NG-CC",2030,55.4836547315163
"AL","NG-CC",2032,57.040589610096
"AL","NG-CC",2034,59.4410103661219
"AL","NG-CC",2036,64.0051127583107
"AL","NG-CC",2038,67.2922230038854
"AL","NG-CC",2040,69.073079929222
"AL","NG-CC",2042,70.4194526527637
"AL","NG-CC",2044,73.4945077408422
"AL","NG-CC",2046,72.690219328219
"AL","NG-CC",2048,79.242579484964
"AL","NG-CC",2050,82.2278566321686
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.175354292118207
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.156469766679988
"AL","NG-CT",2024,0.157198737236046
"AL","NG-CT",2026,0.15624851949988
"AL","NG-CT",2028,0.112718417236046
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0
"AL","NG-CT",2034,0.115116079075493
"AL","NG-CT",2036,0.195399230649454
"AL","NG-CT",2038,0.237646789978144
"AL","NG-CT",2040,0.31549408957743
"AL","NG-CT",2042,0.313505119702611
"AL","NG-CT",2044,0.582626436169096
"AL","NG-CT",2046,1.90518567366884
"AL","NG-CT",2048,1.83969711254278
"AL","NG-CT",2050,3.25839458314794
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.51814112319663
"AL","Hydro",2028,8.51814112319664
"AL","Hydro",2030,8.54537385419249
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.54537385419249
"AL","Hydro",2048,8.55867108612406
"AL","Hydro",2050,8.61442601099456
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.95389157631438
"AL","Biopower",2014,1.737749841696
