"time","type","value"
2010,"price",107.71160223377
2012,"price",106.260533685175
2014,"price",109.532048323151
2016,"price",106.796827051533
2018,"price",106.945463705576
2020,"price",108.521120784773
2022,"price",107.946383972985
2024,"price",107.344597409207
2026,"price",108.832389092326
2028,"price",108.582161660549
2030,"price",108.859566030427
2032,"price",108.910226891661
2034,"price",108.416008219467
2036,"price",108.326914523701
2038,"price",109.443779803002
2040,"price",108.604432002978
2042,"price",107.540290740684
2044,"price",105.925525158052
2046,"price",106.967920527162
2048,"price",108.958663171297
2050,"price",111.086655240753
2010,"comp_p",48.7386465658443
2012,"comp_p",33.6121760966362
2014,"comp_p",44.1759864331658
2016,"comp_p",28.945464158944
2018,"comp_p",33.225689761291
2020,"comp_p",37.1262002022335
2022,"comp_p",37.8053869819998
2024,"comp_p",38.6745777116129
2026,"comp_p",40.0832621552575
2028,"comp_p",40.3433717093549
2030,"comp_p",40.6935604479066
2032,"comp_p",40.7582462447721
2034,"comp_p",41.1701310007937
2036,"comp_p",42.3471405695627
2038,"comp_p",43.8670262746129
2040,"comp_p",44.2546870799849
2042,"comp_p",45.1554786028345
2044,"comp_p",46.6578256971422
2046,"comp_p",48.4237499953929
2048,"comp_p",50.4007502656315
2050,"comp_p",51.5776296922812
