"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.9633524231434
"AL","Coal",2012,6.37201068303595
"AL","Coal",2014,17.2621992323897
"AL","Coal",2016,12.3657292629853
"AL","Coal",2018,11.3949830312088
"AL","Coal",2020,13.6747710374947
"AL","Coal",2022,15.7776526017601
"AL","Coal",2024,22.2505531213726
"AL","Coal",2026,25.0239666314711
"AL","Coal",2028,25.76695664
"AL","Coal",2030,22.0884341884375
"AL","Coal",2032,21.2013436120135
"AL","Coal",2034,20.6098929176833
"AL","Coal",2036,22.629889430608
"AL","Coal",2038,25.4710860269981
"AL","Coal",2040,25.9319506348846
"AL","Coal",2042,27.7555423682155
"AL","Coal",2044,28.8248619404055
"AL","Coal",2046,27.1847839948115
"AL","Coal",2048,22.6410904436265
"AL","Coal",2050,17.1448275984181
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.0895796491882
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.3657273498645
"AL","NG-CC",2016,64.4774754536199
"AL","NG-CC",2018,62.4796756209521
"AL","NG-CC",2020,48.0119869066044
"AL","NG-CC",2022,44.8071739593383
"AL","NG-CC",2024,42.0992455553064
"AL","NG-CC",2026,35.7779688338385
"AL","NG-CC",2028,29.5114641453247
"AL","NG-CC",2030,46.8530812920423
"AL","NG-CC",2032,50.7679421850547
"AL","NG-CC",2034,54.9122969016457
"AL","NG-CC",2036,57.5119642473723
"AL","NG-CC",2038,62.0111758628077
"AL","NG-CC",2040,64.7436634298331
"AL","NG-CC",2042,65.2836370065981
"AL","NG-CC",2044,66.1815429073358
"AL","NG-CC",2046,70.7791906291537
"AL","NG-CC",2048,76.5076213600082
"AL","NG-CC",2050,77.5444316431736
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.17540287629812
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.13722126417414
"AL","NG-CT",2024,0.138094274725306
"AL","NG-CT",2026,0.156577937236046
"AL","NG-CT",2028,0.114802146079821
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.110445823510323
"AL","NG-CT",2034,0.186806199757718
"AL","NG-CT",2036,0.267511561370406
"AL","NG-CT",2038,0.261945566643636
"AL","NG-CT",2040,0.293275837657831
"AL","NG-CT",2042,0.339723439696188
"AL","NG-CT",2044,0.735700603168522
"AL","NG-CT",2046,1.28971160592219
"AL","NG-CT",2048,1.73568158183169
"AL","NG-CT",2050,3.38153070552035
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.47163036084043
"AL","Hydro",2028,8.51814112319664
"AL","Hydro",2030,8.54537385419249
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.54537385419249
"AL","Hydro",2048,8.55867108612406
"AL","Hydro",2050,8.61442601099456
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.9845103189248
