"gid","time","value","type"
"AL",2010,1829.16065193657,"withdrawal"
"AL",2012,1362.20893896996,"withdrawal"
"AL",2014,1614.63728629285,"withdrawal"
"AL",2016,1392.50557285861,"withdrawal"
"AL",2018,1384.23403101949,"withdrawal"
"AL",2020,1466.5207360989,"withdrawal"
"AL",2022,1491.21669876928,"withdrawal"
"AL",2024,1621.37610427316,"withdrawal"
"AL",2026,1623.84912046714,"withdrawal"
"AL",2028,1622.99787190765,"withdrawal"
"AL",2030,1603.39538954675,"withdrawal"
"AL",2032,1593.37826644288,"withdrawal"
"AL",2034,1605.03163736378,"withdrawal"
"AL",2036,1635.80643942213,"withdrawal"
"AL",2038,1662.37438677554,"withdrawal"
"AL",2040,1674.06576021994,"withdrawal"
"AL",2042,1703.04577805652,"withdrawal"
"AL",2044,1625.80077685393,"withdrawal"
"AL",2046,1435.02579938111,"withdrawal"
"AL",2048,1247.77655587603,"withdrawal"
"AL",2050,1242.51896638985,"withdrawal"
"AR",2010,72.9993756536625,"withdrawal"
"AR",2012,52.0431625194631,"withdrawal"
"AR",2014,71.3361747252927,"withdrawal"
"AR",2016,34.4534742246585,"withdrawal"
"AR",2018,51.4382461141033,"withdrawal"
"AR",2020,52.1444351017218,"withdrawal"
"AR",2022,52.6650022280362,"withdrawal"
"AR",2024,52.8395203751153,"withdrawal"
"AR",2026,53.5232904237485,"withdrawal"
"AR",2028,54.9098892132619,"withdrawal"
"AR",2030,55.1146651576761,"withdrawal"
"AR",2032,58.3401063480831,"withdrawal"
"AR",2034,58.2402081087957,"withdrawal"
"AR",2036,60.9200664205586,"withdrawal"
"AR",2038,61.974189574281,"withdrawal"
"AR",2040,62.068924111633,"withdrawal"
"AR",2042,62.1740612978488,"withdrawal"
"AR",2044,62.5667899874702,"withdrawal"
"AR",2046,62.9221332030345,"withdrawal"
"AR",2048,62.3175396294472,"withdrawal"
"AR",2050,62.1335534264928,"withdrawal"
"AZ",2010,112.176194980843,"withdrawal"
"AZ",2012,113.242409255635,"withdrawal"
"AZ",2014,113.989457553004,"withdrawal"
"AZ",2016,85.9388620318422,"withdrawal"
"AZ",2018,88.6343932026438,"withdrawal"
"AZ",2020,81.8264725603595,"withdrawal"
"AZ",2022,82.2544630202047,"withdrawal"
"AZ",2024,70.0805159946418,"withdrawal"
"AZ",2026,70.9215381833041,"withdrawal"
"AZ",2028,70.3461705197677,"withdrawal"
"AZ",2030,68.6270542451319,"withdrawal"
"AZ",2032,68.4028914828617,"withdrawal"
"AZ",2034,68.9379062163344,"withdrawal"
"AZ",2036,69.0247355746098,"withdrawal"
"AZ",2038,69.7554716938914,"withdrawal"
"AZ",2040,69.026843607209,"withdrawal"
"AZ",2042,70.1033515687726,"withdrawal"
"AZ",2044,68.7961128578983,"withdrawal"
"AZ",2046,70.2201202687281,"withdrawal"
"AZ",2048,69.8268261294116,"withdrawal"
"AZ",2050,63.6478564628106,"withdrawal"
"CA",2010,1963.72519796504,"withdrawal"
"CA",2012,1807.7629121801,"withdrawal"
"CA",2014,1071.91147155049,"withdrawal"
"CA",2016,1072.17075950443,"withdrawal"
"CA",2018,1048.61650003869,"withdrawal"
"CA",2020,1035.16075323991,"withdrawal"
"CA",2022,1026.60723294376,"withdrawal"
"CA",2024,619.03810100399,"withdrawal"
"CA",2026,175.567154719579,"withdrawal"
"CA",2028,124.295352353182,"withdrawal"
"CA",2030,100.777838557415,"withdrawal"
"CA",2032,110.418284575739,"withdrawal"
"CA",2034,94.6057696439566,"withdrawal"
"CA",2036,100.709647143703,"withdrawal"
"CA",2038,104.600993605832,"withdrawal"
"CA",2040,96.8858271451576,"withdrawal"
"CA",2042,105.477771201358,"withdrawal"
"CA",2044,105.905555504047,"withdrawal"
"CA",2046,110.987316556442,"withdrawal"
"CA",2048,111.206271837848,"withdrawal"
"CA",2050,101.478219510347,"withdrawal"
"CO",2010,77.8446841471674,"withdrawal"
"CO",2012,75.1021808184314,"withdrawal"
"CO",2014,74.5923094494881,"withdrawal"
"CO",2016,71.7657845113293,"withdrawal"
"CO",2018,56.2792389952971,"withdrawal"
"CO",2020,51.8786572507136,"withdrawal"
"CO",2022,54.3662391080197,"withdrawal"
"CO",2024,55.9401000686414,"withdrawal"
"CO",2026,53.2730995579431,"withdrawal"
"CO",2028,53.3070988678084,"withdrawal"
"CO",2030,53.4014339473028,"withdrawal"
"CO",2032,53.4156097995235,"withdrawal"
"CO",2034,53.6364399665767,"withdrawal"
"CO",2036,53.5834538579712,"withdrawal"
"CO",2038,53.98301544233,"withdrawal"
"CO",2040,52.4553076316527,"withdrawal"
"CO",2042,52.5409621389109,"withdrawal"
"CO",2044,49.7514779699832,"withdrawal"
"CO",2046,49.6101421293956,"withdrawal"
"CO",2048,47.2292807750767,"withdrawal"
"CO",2050,43.7514629461905,"withdrawal"
"CT",2010,772.117280025029,"withdrawal"
"CT",2012,738.189313240213,"withdrawal"
"CT",2014,841.392011187353,"withdrawal"
"CT",2016,752.256015010833,"withdrawal"
"CT",2018,745.508869578308,"withdrawal"
"CT",2020,767.970492339701,"withdrawal"
"CT",2022,773.463869290385,"withdrawal"
"CT",2024,773.463463883393,"withdrawal"
"CT",2026,773.456427136555,"withdrawal"
"CT",2028,773.446652402889,"withdrawal"
"CT",2030,773.180738740267,"withdrawal"
"CT",2032,773.045873520355,"withdrawal"
"CT",2034,773.082695332482,"withdrawal"
"CT",2036,474.665750373541,"withdrawal"
"CT",2038,474.573229992617,"withdrawal"
"CT",2040,471.748640724365,"withdrawal"
"CT",2042,465.624164009047,"withdrawal"
"CT",2044,432.577174857958,"withdrawal"
"CT",2046,3.05392986010556,"withdrawal"
"CT",2048,2.93429317423097,"withdrawal"
"CT",2050,3.00481693767163,"withdrawal"
"DE",2010,65.8268765824652,"withdrawal"
"DE",2012,44.7589602185843,"withdrawal"
"DE",2014,3.27909095475707,"withdrawal"
"DE",2016,3.92649069779992,"withdrawal"
"DE",2018,3.53664650589364,"withdrawal"
"DE",2020,3.33520534027255,"withdrawal"
"DE",2022,3.4877470970284,"withdrawal"
"DE",2024,3.42189666947893,"withdrawal"
"DE",2026,3.51080376160673,"withdrawal"
"DE",2028,3.37734034848965,"withdrawal"
"DE",2030,3.34447412222439,"withdrawal"
"DE",2032,3.42744439022172,"withdrawal"
"DE",2034,3.49596424132746,"withdrawal"
"DE",2036,3.64475105844091,"withdrawal"
"DE",2038,3.78922239121156,"withdrawal"
"DE",2040,3.74681079506595,"withdrawal"
"DE",2042,3.88035705513159,"withdrawal"
"DE",2044,3.93660290073238,"withdrawal"
"DE",2046,3.95448719429387,"withdrawal"
"DE",2048,3.69166490708798,"withdrawal"
"DE",2050,3.65993900424407,"withdrawal"
"FL",2010,2130.4534047013,"withdrawal"
"FL",2012,1985.6214791633,"withdrawal"
"FL",2014,2068.0459198465,"withdrawal"
"FL",2016,2198.36049546044,"withdrawal"
"FL",2018,1822.54231462781,"withdrawal"
"FL",2020,1968.58946505737,"withdrawal"
"FL",2022,1998.88183333493,"withdrawal"
"FL",2024,2031.3307744233,"withdrawal"
"FL",2026,2064.42405744764,"withdrawal"
"FL",2028,2046.35532427123,"withdrawal"
"FL",2030,1986.00528169681,"withdrawal"
"FL",2032,1934.41597772845,"withdrawal"
"FL",2034,1947.69533145639,"withdrawal"
"FL",2036,1964.42652326309,"withdrawal"
"FL",2038,1987.75705213213,"withdrawal"
"FL",2040,1976.85432518077,"withdrawal"
"FL",2042,1908.7811407359,"withdrawal"
"FL",2044,1923.93014331925,"withdrawal"
"FL",2046,1848.17360277769,"withdrawal"
"FL",2048,1667.32494789121,"withdrawal"
"FL",2050,1695.19663265236,"withdrawal"
"GA",2010,508.795440483695,"withdrawal"
"GA",2012,151.39905645341,"withdrawal"
"GA",2014,350.662473761602,"withdrawal"
"GA",2016,107.760830265902,"withdrawal"
"GA",2018,83.4557039891841,"withdrawal"
"GA",2020,107.133619500929,"withdrawal"
"GA",2022,108.289948477816,"withdrawal"
"GA",2024,112.864697268341,"withdrawal"
"GA",2026,115.22759606662,"withdrawal"
"GA",2028,114.746038667186,"withdrawal"
"GA",2030,111.843598941944,"withdrawal"
"GA",2032,113.10623742926,"withdrawal"
"GA",2034,112.298216147421,"withdrawal"
"GA",2036,108.488500627662,"withdrawal"
"GA",2038,108.4595833538,"withdrawal"
"GA",2040,102.799714971434,"withdrawal"
"GA",2042,103.757824575003,"withdrawal"
"GA",2044,108.812196347067,"withdrawal"
"GA",2046,106.363110631802,"withdrawal"
"GA",2048,101.997303761817,"withdrawal"
"GA",2050,89.1176529081325,"withdrawal"
"IA",2010,956.356732057476,"withdrawal"
"IA",2012,936.136103720836,"withdrawal"
"IA",2014,902.910824640546,"withdrawal"
"IA",2016,728.461028559436,"withdrawal"
"IA",2018,703.45230901181,"withdrawal"
"IA",2020,697.171346271337,"withdrawal"
"IA",2022,760.923406684872,"withdrawal"
"IA",2024,749.926640261589,"withdrawal"
"IA",2026,755.493070422333,"withdrawal"
"IA",2028,754.101767068925,"withdrawal"
"IA",2030,754.443234153632,"withdrawal"
"IA",2032,754.372752992889,"withdrawal"
"IA",2034,745.957801277772,"withdrawal"
"IA",2036,687.192626215532,"withdrawal"
"IA",2038,676.527055846244,"withdrawal"
"IA",2040,620.606236275727,"withdrawal"
"IA",2042,600.192479828196,"withdrawal"
"IA",2044,550.589776193994,"withdrawal"
"IA",2046,539.98424687575,"withdrawal"
"IA",2048,526.144089817772,"withdrawal"
"IA",2050,417.135636473927,"withdrawal"
"ID",2010,0.180483339056983,"withdrawal"
"ID",2012,0.691887605372562,"withdrawal"
"ID",2014,0.893003582760757,"withdrawal"
"ID",2016,0.632981533470307,"withdrawal"
"ID",2018,0.44656082012723,"withdrawal"
"ID",2020,0.424811136718283,"withdrawal"
"ID",2022,0.411145917127061,"withdrawal"
"ID",2024,0.526191795626876,"withdrawal"
"ID",2026,0.662644833980893,"withdrawal"
"ID",2028,0.513153864415117,"withdrawal"
"ID",2030,2.21378055089844,"withdrawal"
"ID",2032,3.80137268597922,"withdrawal"
"ID",2034,3.80394424334849,"withdrawal"
"ID",2036,4.18117719755871,"withdrawal"
"ID",2038,4.28651877619159,"withdrawal"
"ID",2040,4.24113964087102,"withdrawal"
"ID",2042,4.04501134963581,"withdrawal"
"ID",2044,4.03229395985923,"withdrawal"
"ID",2046,3.95077484391267,"withdrawal"
"ID",2048,3.60925641622808,"withdrawal"
"ID",2050,3.55582736380296,"withdrawal"
"IL",2010,3063.71339718373,"withdrawal"
"IL",2012,2193.00895247575,"withdrawal"
"IL",2014,2540.34413589447,"withdrawal"
"IL",2016,1748.62209091711,"withdrawal"
"IL",2018,1853.78772803945,"withdrawal"
"IL",2020,1883.12062479727,"withdrawal"
"IL",2022,1896.70824368902,"withdrawal"
"IL",2024,1975.39810176399,"withdrawal"
"IL",2026,2082.05465767226,"withdrawal"
"IL",2028,2045.02174889315,"withdrawal"
"IL",2030,1908.32599040887,"withdrawal"
"IL",2032,1224.74172333058,"withdrawal"
"IL",2034,1079.0590625517,"withdrawal"
"IL",2036,1085.76748571921,"withdrawal"
"IL",2038,1026.06490519635,"withdrawal"
"IL",2040,996.017021582613,"withdrawal"
"IL",2042,883.074597668108,"withdrawal"
"IL",2044,729.694082200436,"withdrawal"
"IL",2046,659.491242724984,"withdrawal"
"IL",2048,235.929251497702,"withdrawal"
"IL",2050,171.533898831088,"withdrawal"
"IN",2010,1612.43325477886,"withdrawal"
"IN",2012,1085.97506995805,"withdrawal"
"IN",2014,1526.09461240598,"withdrawal"
"IN",2016,1064.37836144743,"withdrawal"
"IN",2018,986.894489524474,"withdrawal"
"IN",2020,1121.26060030753,"withdrawal"
"IN",2022,1409.78559715459,"withdrawal"
"IN",2024,1425.15344792059,"withdrawal"
"IN",2026,1447.19480309245,"withdrawal"
"IN",2028,1448.13159449972,"withdrawal"
"IN",2030,1281.59826625622,"withdrawal"
"IN",2032,1236.42744979989,"withdrawal"
"IN",2034,1210.12872299996,"withdrawal"
"IN",2036,1176.93768757291,"withdrawal"
"IN",2038,1181.48588229381,"withdrawal"
"IN",2040,1094.81673614088,"withdrawal"
"IN",2042,1021.28685457875,"withdrawal"
"IN",2044,915.938365280678,"withdrawal"
"IN",2046,701.297176876996,"withdrawal"
"IN",2048,495.21641219817,"withdrawal"
"IN",2050,435.231464954739,"withdrawal"
"KS",2010,263.540163263195,"withdrawal"
"KS",2012,173.539172790711,"withdrawal"
"KS",2014,145.344294806044,"withdrawal"
"KS",2016,91.7432899388116,"withdrawal"
"KS",2018,93.3535381123175,"withdrawal"
"KS",2020,91.4998248772042,"withdrawal"
"KS",2022,94.7017803768823,"withdrawal"
"KS",2024,141.533747136281,"withdrawal"
"KS",2026,145.860426674282,"withdrawal"
