"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.21875266298507
2010,"USA","Coal Usage (Quads)",19.3338368340932
2010,"USA","Coal Price",2.49986446649103
2010,"USA","Gas Price",5.51592438645789
2012,"USA","Gas Usage (Quads)",9.19257353485889
2012,"USA","Coal Usage (Quads)",14.5719323636645
2012,"USA","Coal Price",2.47540016497211
2012,"USA","Gas Price",3.61519338566601
2014,"USA","Gas Usage (Quads)",8.05079414728409
2014,"USA","Coal Usage (Quads)",16.6865294797493
2014,"USA","Coal Price",2.4116015697978
2014,"USA","Gas Price",5.01242838033629
2016,"USA","Gas Usage (Quads)",10.5006297876823
2016,"USA","Coal Usage (Quads)",11.9463908245198
2016,"USA","Coal Price",2.14681174448561
2016,"USA","Gas Price",2.9498682373548
2018,"USA","Gas Usage (Quads)",9.58903172192994
2018,"USA","Coal Usage (Quads)",12.3554957656421
2018,"USA","Coal Price",2.21509642855122
2018,"USA","Gas Price",3.6717416445536
2020,"USA","Gas Usage (Quads)",8.30962523500584
2020,"USA","Coal Usage (Quads)",13.7162366846481
2020,"USA","Coal Price",2.30767795903762
2020,"USA","Gas Price",4.37976454668384
2022,"USA","Gas Usage (Quads)",8.30655195277104
2022,"USA","Coal Usage (Quads)",13.963301206975
2022,"USA","Coal Price",2.31912676714694
2022,"USA","Gas Price",4.45409320731899
2024,"USA","Gas Usage (Quads)",8.31340386070433
2024,"USA","Coal Usage (Quads)",14.3963365910199
2024,"USA","Coal Price",2.33163541456709
2024,"USA","Gas Price",4.51517553560391
2026,"USA","Gas Usage (Quads)",8.09530191767071
2026,"USA","Coal Usage (Quads)",14.6732789684949
2026,"USA","Coal Price",2.33127347679807
2026,"USA","Gas Price",4.5977810964923
2028,"USA","Gas Usage (Quads)",7.97081700877877
2028,"USA","Coal Usage (Quads)",14.8422242779427
2028,"USA","Coal Price",2.31646563595536
2028,"USA","Gas Price",4.68578513326281
2030,"USA","Gas Usage (Quads)",8.20360245460403
2030,"USA","Coal Usage (Quads)",14.6184090077598
2030,"USA","Coal Price",2.30180910024507
2030,"USA","Gas Price",4.77916606098589
2032,"USA","Gas Usage (Quads)",8.61954843046728
2032,"USA","Coal Usage (Quads)",14.8784835447764
2032,"USA","Coal Price",2.30908631752508
2032,"USA","Gas Price",4.86844453056733
2034,"USA","Gas Usage (Quads)",9.33337344631875
2034,"USA","Coal Usage (Quads)",14.6689391696243
2034,"USA","Coal Price",2.32741134094778
2034,"USA","Gas Price",4.92889218328694
2036,"USA","Gas Usage (Quads)",9.97595345680879
2036,"USA","Coal Usage (Quads)",14.9853548964465
2036,"USA","Coal Price",2.35553871067464
2036,"USA","Gas Price",5.10109894329835
2038,"USA","Gas Usage (Quads)",10.8627048751918
2038,"USA","Coal Usage (Quads)",14.9086958925808
2038,"USA","Coal Price",2.37878157847361
2038,"USA","Gas Price",5.24490032629947
2040,"USA","Gas Usage (Quads)",11.7026188545248
2040,"USA","Coal Usage (Quads)",14.7516352127286
2040,"USA","Coal Price",2.39413102295974
2040,"USA","Gas Price",5.39652908955379
2042,"USA","Gas Usage (Quads)",12.6292862422824
2042,"USA","Coal Usage (Quads)",14.2503732429204
2042,"USA","Coal Price",2.39856559148808
2042,"USA","Gas Price",5.60779379350052
2044,"USA","Gas Usage (Quads)",13.4095762088403
2044,"USA","Coal Usage (Quads)",13.4724943332713
2044,"USA","Coal Price",2.40380478059285
2044,"USA","Gas Price",5.88106921988452
2046,"USA","Gas Usage (Quads)",14.8088336974385
2046,"USA","Coal Usage (Quads)",12.172610543098
2046,"USA","Coal Price",2.40184024752291
2046,"USA","Gas Price",6.265873845692
2048,"USA","Gas Usage (Quads)",16.038988254303
2048,"USA","Coal Usage (Quads)",10.637267797281
2048,"USA","Coal Price",2.39815824601713
2048,"USA","Gas Price",6.66634525412752
2050,"USA","Gas Usage (Quads)",16.7518559816508
2050,"USA","Coal Usage (Quads)",9.46231192145966
2050,"USA","Coal Price",2.40478614167596
2050,"USA","Gas Price",6.8995765543762
