"time","tech","value"
2010,"Nuclear",0.199955924046246
2010,"Coal",0.455384868770706
2010,"Oil-Gas-Steam",0.00595504555575498
2010,"NG-CC",0.22243808748116
2010,"NG-CT",0.00151013701327334
2010,"Hydro",0.0668345461329383
2010,"Imports",0.00644082189564246
2010,"Geothermal",0.00464075080483042
2010,"Biopower",0.00975345905377959
2010,"Land-based Wind",0.0261610361654692
2010,"Offshore Wind",0
2010,"CSP",0.000311598133762995
2010,"PV",0.000613724946436198
2012,"Nuclear",0.204336443103982
2012,"Coal",0.353236147949393
2012,"Oil-Gas-Steam",0.00280150187614913
2012,"NG-CC",0.296971856341253
2012,"NG-CT",0.00208881994449547
2012,"Hydro",0.0757028094969173
2012,"Imports",0.0119503482265534
2012,"Geothermal",0.00498806331094529
2012,"Biopower",0.00979627528285466
2012,"Land-based Wind",0.0359620855042665
2012,"Offshore Wind",0
2012,"CSP",0.00032998048840939
2012,"PV",0.00183566847478032
2014,"Nuclear",0.194781297742781
2014,"Coal",0.39792441915251
2014,"Oil-Gas-Steam",0.00308308054054504
2014,"NG-CC",0.260131733249728
2014,"NG-CT",0.00133625400298023
2014,"Hydro",0.0664559939577012
2014,"Imports",0.0116215473088806
2014,"Geothermal",0.00508013676126202
2014,"Biopower",0.0104597171610895
2014,"Land-based Wind",0.0430997410371004
2014,"Offshore Wind",0
2014,"CSP",0.000834915351822065
2014,"PV",0.00519116373360033
2016,"Nuclear",0.197937049731511
2016,"Coal",0.290277279313976
2016,"Oil-Gas-Steam",0.00202217045889035
2016,"NG-CC",0.342502446438728
2016,"NG-CT",0.00176718779917866
2016,"Hydro",0.0685150564631109
2016,"Imports",0.0122604860487712
2016,"Geothermal",0.00521278069168771
2016,"Biopower",0.00966516596966887
2016,"Land-based Wind",0.0566492231112414
2016,"Offshore Wind",2.10380929681312e-05
2016,"CSP",0.00135422722910446
2016,"PV",0.0118158886511636
2018,"Nuclear",0.189675141877453
2018,"Coal",0.295489841872012
2018,"Oil-Gas-Steam",0.00159499175274854
2018,"NG-CC",0.316115684854582
2018,"NG-CT",0.00139551834528687
2018,"Hydro",0.0703207229318648
2018,"Imports",0.00949602681241479
2018,"Geothermal",0.00683046096158212
2018,"Biopower",0.0108900354151847
2018,"Land-based Wind",0.0715747545028723
2018,"Offshore Wind",2.73188613061663e-05
2018,"CSP",0.00133961950196939
2018,"PV",0.0252498823107228
2020,"Nuclear",0.190693134209725
2020,"Coal",0.324582913476738
2020,"Oil-Gas-Steam",0.00221407520562898
2020,"NG-CC",0.272977914950535
2020,"NG-CT",0.00129529242999738
2020,"Hydro",0.0711986298528374
2020,"Imports",0.0092273934974008
2020,"Geothermal",0.0102605043325754
2020,"Biopower",0.0106648357483267
2020,"Land-based Wind",0.0769452072830695
2020,"Offshore Wind",2.71007209169231e-05
2020,"CSP",0.00132883440972265
2020,"PV",0.0285841638825267
2022,"Nuclear",0.186893010384629
2022,"Coal",0.326826468830678
2022,"Oil-Gas-Steam",0.00182062942735238
2022,"NG-CC",0.270853219038501
2022,"NG-CT",0.00133115449282988
2022,"Hydro",0.0705362891047465
2022,"Imports",0.00989312281375028
2022,"Geothermal",0.0101646532209306
2022,"Biopower",0.0108775044085238
2022,"Land-based Wind",0.0787361854763388
2022,"Offshore Wind",2.68459693252321e-05
2022,"CSP",0.00131644415302634
2022,"PV",0.0307244726793679
2024,"Nuclear",0.182292880345364
2024,"Coal",0.33209927391998
2024,"Oil-Gas-Steam",0.00146060732616292
2024,"NG-CC",0.268606816553679
2024,"NG-CT",0.00137295349156324
2024,"Hydro",0.0697515274075009
2024,"Imports",0.0104091517536591
2024,"Geothermal",0.0112155203545874
2024,"Biopower",0.0109326845721339
2024,"Land-based Wind",0.0795767025160179
2024,"Offshore Wind",2.64981103660892e-05
2024,"CSP",0.00129958087474551
2024,"PV",0.0309558027742407
2026,"Nuclear",0.178638863319119
2026,"Coal",0.335221866074873
2026,"Oil-Gas-Steam",0.000384766046524898
2026,"NG-CC",0.263354636865033
2026,"NG-CT",0.00135834659887354
2026,"Hydro",0.0695462914188967
2026,"Imports",0.011973265673358
2026,"Geothermal",0.0119459297795246
2026,"Biopower",0.01090552584722
2026,"Land-based Wind",0.0814055123058765
2026,"Offshore Wind",2.62845779483676e-05
2026,"CSP",0.00128801796977829
2026,"PV",0.0339506935229742
2028,"Nuclear",0.177100107952874
2028,"Coal",0.336023792092828
2028,"Oil-Gas-Steam",0
2028,"NG-CC",0.262253114820209
2028,"NG-CT",0.0013111660698206
2028,"Hydro",0.069062156913922
2028,"Imports",0.0119099226592629
2028,"Geothermal",0.0123178481849851
2028,"Biopower",0.0108290340964554
