"gid","time","tech","value"
"AL",2010,"Nuclear",0.26454190722274
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0143497045077734
"AL",2010,"NG-CT",0.00103834306233732
"AL",2010,"Offshore Wind",0
"AL",2010,"Utility PV",0
"AL",2010,"Land-based Wind",5.55478369010058e-07
"AL",2010,"Coal",0.177541702808509
"AL",2010,"Geothermal",0
"AL",2010,"Rooftop PV",0
"AL",2010,"NG-CC",0.476540627928073
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0659871589921976
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Geothermal",0
"AL",2012,"Utility PV",0
"AL",2012,"Land-based Wind",6.48983308927366e-07
"AL",2012,"Nuclear",0.309072849416863
"AL",2012,"Coal",0.0491422375547768
"AL",2012,"Rooftop PV",0
"AL",2012,"NG-CC",0.565206053577932
"AL",2012,"Biopower",0.0150737587449251
"AL",2012,"Hydro",0.0601512124630912
"AL",2012,"NG-CT",0.00135323925910257
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.079719415355496
"AL",2014,"Offshore Wind",0
"AL",2014,"Biopower",0.0130650083138722
"AL",2014,"Nuclear",0.301109945756287
"AL",2014,"Geothermal",0
"AL",2014,"Utility PV",0
"AL",2014,"NG-CT",0.000850588172760414
"AL",2014,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Land-based Wind",5.48255835363981e-07
"AL",2014,"Coal",0.129662181095029
"AL",2014,"NG-CC",0.475583836999041
"AL",2014,"Rooftop PV",8.47605167941474e-06
"AL",2016,"Geothermal",0
"AL",2016,"Nuclear",0.315556835261163
"AL",2016,"Coal",0.0973471870947738
"AL",2016,"Utility PV",0.000511040261252257
"AL",2016,"NG-CC",0.509240624092247
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Imports",0
"AL",2016,"Rooftop PV",1.73732393803398e-05
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Hydro",0.0646224177169358
"AL",2016,"NG-CT",0.00123480340021804
"AL",2016,"Biopower",0.0114691443735447
"AL",2016,"Land-based Wind",5.7456048449808e-07
"AL",2018,"Hydro",0.0657507837121373
"AL",2018,"Biopower",0.0139309236855555
"AL",2018,"Nuclear",0.321066743665113
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Rooftop PV",4.12502166499275e-05
"AL",2018,"Utility PV",0.00276411558864148
"AL",2018,"NG-CC",0.502293802590058
"AL",2018,"Land-based Wind",6.74113769559238e-07
"AL",2018,"Geothermal",0
"AL",2018,"Imports",0
"AL",2018,"NG-CT",0.001260206480447
"AL",2018,"Offshore Wind",0
"AL",2018,"Coal",0.0928914999476291
"AL",2018,"CSP",0
"AL",2020,"NG-CT",0.00102931785856827
"AL",2020,"Utility PV",0.00311838056101905
"AL",2020,"Coal",0.12805846206178
"AL",2020,"Rooftop PV",4.66279045673326e-05
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0764888027627953
"AL",2020,"NG-CC",0.409661693870644
"AL",2020,"Geothermal",0
"AL",2020,"CSP",0
"AL",2020,"Biopower",0.0158687195015888
"AL",2020,"Imports",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Nuclear",0.365727227534306
"AL",2020,"Land-based Wind",7.67944731275692e-07
"AL",2022,"NG-CC",0.403040200807177
"AL",2022,"Imports",0
"AL",2022,"Rooftop PV",4.54662785870282e-05
"AL",2022,"Coal",0.14118030157524
"AL",2022,"Nuclear",0.360476456964689
"AL",2022,"NG-CT",0.00118343413881609
"AL",2022,"Offshore Wind",0
"AL",2022,"Biopower",0.0156408912212111
"AL",2022,"Geothermal",0
"AL",2022,"Utility PV",0.00304094993749415
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"Land-based Wind",1.65123441975941e-06
"AL",2022,"CSP",0
"AL",2022,"Hydro",0.075390647842365
"AL",2024,"Coal",0.195390808764367
"AL",2024,"Utility PV",0.0029263520626921
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Rooftop PV",4.37549038465211e-05
"AL",2024,"Biopower",0.0151985943848946
"AL",2024,"Geothermal",0
"AL",2024,"NG-CT",0.00118046629165637
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.361663077455626
"AL",2024,"CSP",0
"AL",2024,"Land-based Wind",5.53948283206322e-05
"AL",2024,"Hydro",0.0732587331990799
"AL",2024,"Imports",0
"AL",2024,"Nuclear",0.350282818109517
"AL",2026,"Coal",0.227516564076253
"AL",2026,"Biopower",0.0149542496202555
"AL",2026,"Offshore Wind",0
"AL",2026,"CSP",0
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"Rooftop PV",4.26276357746953e-05
"AL",2026,"NG-CT",0.00134743534556579
"AL",2026,"Land-based Wind",6.07705607148017e-05
"AL",2026,"Utility PV",0.00285098109863206
"AL",2026,"Imports",0
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0729028264407149
"AL",2026,"NG-CC",0.335673153978805
"AL",2026,"Nuclear",0.344651391243284
"AL",2028,"Utility PV",0.00263080765917939
"AL",2028,"Offshore Wind",0
"AL",2028,"Biopower",0.0139353286966811
"AL",2028,"Rooftop PV",3.93374209005419e-05
"AL",2028,"CSP",0
"AL",2028,"Land-based Wind",6.6142635354835e-05
"AL",2028,"Coal",0.234192674506563
"AL",2028,"Imports",0
"AL",2028,"NG-CT",0.000903909272016344
"AL",2028,"Nuclear",0.321168266192251
"AL",2028,"Oil-Gas-Steam",0
"AL",2028,"Geothermal",0
"AL",2028,"Hydro",0.0685268907163158
"AL",2028,"NG-CC",0.358536642900739
"AL",2030,"Utility PV",0.00236545496020536
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0126585800039404
"AL",2030,"Land-based Wind",5.76859048102641e-05
"AL",2030,"Rooftop PV",3.53680244895043e-05
"AL",2030,"CSP",0
"AL",2030,"NG-CT",0.000821093501644319
"AL",2030,"Oil-Gas-Steam",0
"AL",2030,"Nuclear",0.291742970748132
"AL",2030,"Imports",0
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0622484870959925
"AL",2030,"Coal",0.191216376124504
"AL",2030,"NG-CC",0.438853983636281
"AL",2032,"Utility PV",0.00230330263063032
"AL",2032,"Offshore Wind",0
"AL",2032,"Biopower",0.0125282045807729
"AL",2032,"Rooftop PV",3.44229061706657e-05
"AL",2032,"CSP",0
"AL",2032,"Land-based Wind",5.94873898583286e-05
"AL",2032,"Nuclear",0.288738201393623
"AL",2032,"Imports",0
"AL",2032,"NG-CT",0.000245897348036031
"AL",2032,"Oil-Gas-Steam",0
"AL",2032,"Coal",0.206580380614964
"AL",2032,"Geothermal",0
"AL",2032,"Hydro",0.0616073667772716
"AL",2032,"NG-CC",0.427902736358674
"AL",2034,"Utility PV",0.00222307888836919
"AL",2034,"Offshore Wind",0
"AL",2034,"Biopower",0.0121360857642905
"AL",2034,"Land-based Wind",5.57632875078537e-05
"AL",2034,"NG-CC",0.452309751229379
"AL",2034,"Imports",0
"AL",2034,"CSP",0
"AL",2034,"Oil-Gas-Steam",0
"AL",2034,"Rooftop PV",3.32413013757144e-05
"AL",2034,"NG-CT",0.00027401960562179
"AL",2034,"Hydro",0.0598789213205393
"AL",2034,"Geothermal",0
"AL",2034,"Nuclear",0.279701018046738
"AL",2034,"Coal",0.193388120556179
"AL",2036,"Land-based Wind",5.87978272406764e-05
"AL",2036,"Offshore Wind",0
"AL",2036,"Imports",0
"AL",2036,"NG-CT",0.000867866540155493
"AL",2036,"Utility PV",0.00209483321289093
"AL",2036,"Hydro",0.0569886351110888
"AL",2036,"CSP",0
"AL",2036,"Biopower",0.0115502909545699
"AL",2036,"Geothermal",0
"AL",2036,"Nuclear",0.26620017371953
"AL",2036,"Oil-Gas-Steam",0
"AL",2036,"Rooftop PV",3.13232081123062e-05
"AL",2036,"Coal",0.212904491354501
"AL",2036,"NG-CC",0.449303588071911
"AL",2038,"Offshore Wind",0
"AL",2038,"NG-CT",0.00169055931583315
"AL",2038,"Imports",0
"AL",2038,"Rooftop PV",3.00170220042838e-05
"AL",2038,"NG-CC",0.452469614946436
"AL",2038,"Biopower",0.0111801628748878
"AL",2038,"Geothermal",0
"AL",2038,"Hydro",0.055162439203095
"AL",2038,"Nuclear",0.257669812060469
"AL",2038,"CSP",0
"AL",2038,"Oil-Gas-Steam",0
"AL",2038,"Land-based Wind",5.69136559265794e-05
"AL",2038,"Coal",0.219733002810512
"AL",2038,"Utility PV",0.00200747811083716
"AL",2040,"Imports",0
