"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,24.3239479324538
"AL","Coal",2012,6.01519597948958
"AL","Coal",2014,12.9270403371429
"AL","Coal",2016,11.8261038801664
"AL","Coal",2018,11.1601898312088
"AL","Coal",2020,13.8838824442993
"AL","Coal",2022,15.4161179215289
"AL","Coal",2024,22.1267012768618
"AL","Coal",2026,25.0321245059269
"AL","Coal",2028,28.5752810031712
"AL","Coal",2030,23.3208833244384
"AL","Coal",2032,21.6224296213462
"AL","Coal",2034,21.4272557108005
"AL","Coal",2036,21.9405697189454
"AL","Coal",2038,22.2312283235897
"AL","Coal",2040,23.4600447874645
"AL","Coal",2042,24.8026320874945
"AL","Coal",2044,25.1860345427079
"AL","Coal",2046,23.8923257780703
"AL","Coal",2048,18.8381676203316
"AL","Coal",2050,13.9227482232
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,69.9327470671218
"AL","NG-CC",2012,73.2379944786077
"AL","NG-CC",2014,57.3199919372351
"AL","NG-CC",2016,69.2792506998857
"AL","NG-CC",2018,61.3411320604313
"AL","NG-CC",2020,40.9591629350021
"AL","NG-CC",2022,39.3383017756869
"AL","NG-CC",2024,37.3233313515373
"AL","NG-CC",2026,32.2940121377031
"AL","NG-CC",2028,26.8550803091579
"AL","NG-CC",2030,46.3555205243604
"AL","NG-CC",2032,51.156900878178
"AL","NG-CC",2034,53.9096842874712
"AL","NG-CC",2036,56.0973539930885
"AL","NG-CC",2038,59.5289142956835
"AL","NG-CC",2040,62.7779151957286
"AL","NG-CC",2042,63.5971407825589
"AL","NG-CC",2044,65.0963221326068
"AL","NG-CC",2046,70.2047559013606
"AL","NG-CC",2048,69.6958964722833
"AL","NG-CC",2050,74.0480982679239
"AL","NG-CT",2010,0.154660238520684
"AL","NG-CT",2012,0.157198737236046
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.115625761258617
"AL","NG-CT",2024,0.122097144236188
"AL","NG-CT",2026,0.15501356058636
"AL","NG-CT",2028,0.112718417236046
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.112718417236046
"AL","NG-CT",2034,0.0953389224526456
"AL","NG-CT",2036,0.15770984575558
"AL","NG-CT",2038,0.270722633393294
"AL","NG-CT",2040,0.278337098451933
"AL","NG-CT",2042,0.314984258483412
"AL","NG-CT",2044,0.308869492732637
"AL","NG-CT",2046,0.464171835840756
"AL","NG-CT",2048,0.488159848328597
"AL","NG-CT",2050,0.509069783200899
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.37612668616747
"AL","Hydro",2028,8.51814112319663
"AL","Hydro",2030,8.54537385419249
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.54537385419249
"AL","Hydro",2048,8.54537385419249
"AL","Hydro",2050,8.55867108612406
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.9389920898048
